queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03441	LIMEN-SIGNAL-C4986CBD1BC33752	country_gap_no_parent_source		Montserrat generated source-discovery query bundle (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:244	Local row lists generated search prompts/source categories only; no concrete public URL is present.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as parent-source negative unless a later local source-pack names a URL.
BPSE-03442	LIMEN-SIGNAL-C4B55B899D2A1371	country_gap_no_parent_source		Lebanon atlas indicator/profile row (I03 Regulatory sandbox maturity)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:21465	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03443	LIMEN-SIGNAL-C4B8DF3EC9242938	country_gap_no_parent_source		Burundi generated source-discovery query bundle (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:218	Local row lists generated search prompts/source categories only; no concrete public URL is present.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as parent-source negative unless a later local source-pack names a URL.
BPSE-03444	LIMEN-SIGNAL-C4D742365257CC3E	country_gap_no_parent_source		Kuwait generated source-discovery query bundle (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:196	Local row lists generated search prompts/source categories only; no concrete public URL is present.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as parent-source negative unless a later local source-pack names a URL.
BPSE-03445	LIMEN-SIGNAL-C5156ED9B4F889D8	country_gap_no_parent_source		Romania generated source-discovery query bundle (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:207	Local row lists generated search prompts/source categories only; no concrete public URL is present.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as parent-source negative unless a later local source-pack names a URL.
BPSE-03446	LIMEN-SIGNAL-C5770D17D8929058	country_gap_no_parent_source		Papua New Guinea atlas indicator/profile row (I03 Regulatory sandbox maturity)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:36564	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03447	LIMEN-SIGNAL-C5AEA3F66717C0BE	country_gap_no_parent_source		Sudan atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:32465	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	May state only that the local atlas points toward a source category; no source existence or substantive claim.	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03448	LIMEN-SIGNAL-C60BD038147EC116	country_gap_no_parent_source		Malawi generated source-discovery query bundle (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:230	Local row lists generated search prompts/source categories only; no concrete public URL is present.	May state only that this is a generated source-discovery lead; no source existence or substantive claim.	Close as parent-source negative unless a later local source-pack names a URL.
BPSE-03449	LIMEN-SIGNAL-C629C1FF873DD152	parent_source_wrapper		Sint Maarten jurisdiction source-pack (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:247	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
BPSE-03450	LIMEN-SIGNAL-C64E44D4B34A09EC	country_gap_no_parent_source		Solomon Islands atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:37036	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
