signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-C9C8D7A5910A05E2	reject_noise	derived or non-source artifact	Derived local artifact (claim-support-digest.csv) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.csv
LIMEN-SIGNAL-C9D04E4E0A27A04B	source_reviewed_candidate	algorithm register standard site	Names algorithmregister.org / EUROCITIES ATS as a concrete institutional standard surface.	surface existence only; no legality, safety, prevalence, or compliance inference	keep in direct-source queue for bounded surface review	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-C9D11DE33745D3BB	translation_review_needed	Thai official guidance portal	Named ETDA AIGC page is direct but materially Thai-language.	surface plausibility only pending translation-aware review	route for translation-aware direct-source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-latest.jsonl
LIMEN-SIGNAL-C9D152CAF4DACFB0	source_reviewed_candidate	official guidance page	Seed names AESIA guides page with a concrete official URL.	surface existence only; no legality, safety, prevalence, or compliance inference	keep in direct-source queue for bounded surface review	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z
LIMEN-SIGNAL-C9D590C20F864CCD	reject_noise	derived or non-source artifact	Derived local artifact (hermes_multilingual_exploitation.py.bak-tighten-20260604T045254Z) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_multilingual_exploitation.py.bak-tighten-20260604T045254Z
LIMEN-SIGNAL-C9D782C5B8EF1084	negative_evidence_candidate	search-negative record	Local row records official portal checks with no public algorithm register found.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-C9D88C1D1F57E796	negative_evidence_candidate	search-negative record	Local row records legislation-index checks and a bounded no-register result.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-C9DBC943E0EC4DAA	source_reviewed_candidate	official sandbox guidance	BOJ sandbox guidelines/applications are a named official source surface, albeit sectoral.	surface existence only; no legality, safety, prevalence, or compliance inference	keep in direct-source queue for bounded surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-C9DCB309038373A0	reject_noise	derived or non-source artifact	Derived local artifact (PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-C9DD48B8B193C7DC	negative_evidence_candidate	absence warning	Explicit local warning says no public register or comparable inventory was found.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-C9DEECCBC8011E07	needs_named_source_extraction	vendor record bundle	Agent atlas record references a vendor surface but does not expose one reviewable page here.	wrapper metadata only; no direct-source claim until named surface is split out	extract the named underlying source surface into a new row before review	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-111-20260603T051321/records.jsonl
LIMEN-SIGNAL-C9E51A1BE62244F4	negative_evidence_candidate	gazette search negative	Official journal search is a named bounded negative check, not a positive source surface.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv
LIMEN-SIGNAL-C9E554B30270641D	needs_named_source_extraction	claim-support proxy	Snippet names possible Algerian sources but only through a curated claim-support wrapper.	wrapper metadata only; no direct-source claim until named surface is split out	extract the named underlying source surface into a new row before review	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-curated.json
LIMEN-SIGNAL-C9E8EE3E2E7D9A46	reject_noise	derived or non-source artifact	Derived local artifact (hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-C9ED4FF68ABA9634	negative_evidence_candidate	search-negative record	Row says official searches did not find a public algorithm register.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-C9FD3C80AB0BE475	negative_evidence_candidate	gap interpretation	Matrix row records weak/indirect-source limits for I05 rather than a direct source surface.	bounded absence only from checked local trail; not exhaustive or jurisdiction-wide truth	retain as bounded negative-evidence support, not as affirmative source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-C9FE5C34022B1E0E	reject_noise	derived or non-source artifact	Derived local artifact (validation-v0.2.json) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/validation-v0.2.json
LIMEN-SIGNAL-CA00F157647D2EBC	source_reviewed_candidate	official regulator sandbox page	Communications Authority of Kenya sandbox page is a named official surface.	surface existence only; no legality, safety, prevalence, or compliance inference	keep in direct-source queue for bounded surface review	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.csv
LIMEN-SIGNAL-CA03845061949371	reject_noise	derived or non-source artifact	Derived local artifact (spanish-portuguese-language-records.jsonl) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/local-hermes/PCEE241002/data/lanes/spanish-portuguese-language-records.jsonl
LIMEN-SIGNAL-CA0917588232B72F	reject_noise	derived or non-source artifact	Derived local artifact (claim-support-tests-v0.2.3.json) does not itself expose a reviewable direct source surface.	no direct-source claim supported from this derived artifact	remove from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-tests-v0.2.3.json
LIMEN-SIGNAL-CA0E10CADDD190BD	translation_review_needed	official sandbox portal	Named Datatilsynet AI sandbox page is direct but translation-sensitive.	surface plausibility only pending translation-aware review	route for translation-aware direct-source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
