source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	closed_noncase_source_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	EUR-Lex GDPR Regulation 2016/679 EN page			official_legal_text_context	gdpr;policy_law_surface	2016-04-27	European Union	Local EUR-Lex GDPR witness is legal/regulatory context, not a concrete AI edge-case event or finding.	May support legal-context background only.	Do not infer incident, legal violation, compliance status, deployment proof, safety finding, or prevalence from policy/guidance/index text.	Inspected locator line 1: it is the GDPR/EUR-Lex page text/interface, not a named AI case or authority finding.	Need concrete source passage, actor/event, and bounded case claim.	Not eligible without a reviewed case-level claim.	Close as noncase source surface.
/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/dutch-belgian-language-latest.md:58	closed_noncase_source_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/reports/lanes/dutch-belgian-language-latest.md:58	The Algorithm Register of the Dutch government						Netherlands	Local lane report line names the Dutch Algorithm Register as a high-value input; it is a register surface, not a concrete edge-case event/finding record.	Source-surface disposition only; no reviewed-core case claim.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, ranking, or AI harm from this surface.	Local lane report line names the Dutch Algorithm Register as a high-value input; it is a register surface, not a concrete edge-case event/finding record.	Find a public original source for a specific event/action/vulnerability/finding/official record and quote the bounded passage.	Only reconsider after reviewed-core hardening with concrete evidence and bounded claim ceiling.	Close as noncase source surface; no promotion.
/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604t114556z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	closed_noncase_source_surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/analysis/verification/p0-source-packs/raw/verify-gdpr-data-governance-evidence/b70dd85399aee628.txt:1	EUR-Lex GDPR witness page			official_legal_text_context	gdpr;policy_law_surface	2016-04-27	European Union	Snapshot EUR-Lex GDPR witness is legal/regulatory context, not a concrete AI edge-case event or finding.	May support legal-context background only.	Do not infer incident, legal violation, compliance status, deployment proof, safety finding, or prevalence from policy/guidance/index text.	Inspected snapshot locator line 1: it duplicates the GDPR/EUR-Lex witness page rather than an AI case source.	Need concrete source passage, actor/event, and bounded case claim.	Not eligible without a reviewed case-level claim.	Close as noncase source surface.
/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4055	closed_noncase_source_surface	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4055	UN Guatemala Evaluación de IA en Guatemala			official_public_sector_context	ai_governance_assessment;regulatory_sandbox_context		Guatemala	UN Guatemala digest text says UNDP AI Sprint supported responsible AI assessment and noted governance gaps; it does not identify a named deployment or edge-case event.	May support governance-radar context only.	Do not infer actual AI deployment, regulatory sandbox operation, legal compliance gap finding, safety issue, or prevalence.	Inspected local JSON quote_safe_paraphrase: the text explicitly treats the page as governance-radar context, not a named-agent deployment.	Need original public source text plus a concrete event/finding/entity if any case claim is later proposed.	Not eligible without concrete case evidence and claim ceiling.	Close as noncase source surface.
/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4070	closed_noncase_source_surface	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json:4070	UN Guatemala Evaluación de IA en Guatemala			official_public_sector_context	ai_governance_assessment;regulatory_sandbox_context		Guatemala	UN Guatemala digest text says UNDP AI Sprint supported responsible AI assessment and noted governance gaps; it does not identify a named deployment or edge-case event.	May support governance-radar context only.	Do not infer actual AI deployment, regulatory sandbox operation, legal compliance gap finding, safety issue, or prevalence.	Inspected local JSON summary: the text explicitly treats the page as governance-radar context, not a named-agent deployment.	Need original public source text plus a concrete event/finding/entity if any case claim is later proposed.	Not eligible without concrete case evidence and claim ceiling.	Close as noncase source surface.
/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-028/language-delta.json#l10	closed_noncase_source_surface	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-028/language-delta.json#L10	gaia-boost-028 language-delta			none	source-surface context; internal route note		Arabic/Gulf public sector	Local locator records a translation-sensitive evidence route for Arabic/Gulf government, smart-city, healthcare, and public-sector AI evidence, not a primary source.	Internal routing/context only; no public event, finding, deployment, legality, safety, or compliance claim.	Do not infer the existence of any Arabic/Gulf case or public-sector AI deployment from the route note.	Inspected local JSON line 10; it contains task-routing text rather than a source record.	Find a concrete event/action/finding/official record and direct source passage before reviewed-core consideration.	Not ObscureAI material unless a reviewed case-level claim ceiling is later accepted.	Close for extraction; retain only as source-surface accounting.
/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/observability_250_country_matrix.csv:7	closed_noncase_source_surface	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv:7	OBSERVABILITY_250_COUNTRY_MATRIX France row; named CNIL/EUR-Lex/EC/official source list			derived_matrix_context	observability_index;france_governance_context		France	France observability matrix row records governability scores and verification gaps; it is a derived index row, not a concrete AI edge-case event.	May support observability/source-gap context only.	Do not infer France AI Act authority designation, sandbox operation, procurement controls, compliance, deployment, incident, or ranking claim beyond the matrix row.	Inspected CSV line 7: it lists indicators, scores, and human-review gaps rather than a case-level event/finding.	Need primary official source and concrete event/finding with bounded claim.	Not eligible without reviewed case evidence.	Close as noncase source surface.
/srv/tyche/pallas/pallas-ai-agent-observatory/reports/pallas_second_pass_confidence_changes.csv:882	needs_original_source_text	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv:882	Ísland.is / Persónuvernd sandbox evidence		Iceland healthcare AI regulatory sandbox pilot source lead	local_secondary_locator	regulatory sandbox; healthcare AI; official-source lead	2022	Iceland	A local confidence-change row states that official Ísland.is/Persónuvernd sources showed a 2022 healthcare AI regulatory sandbox pilot with supervised guidance and application-opening evidence.	Lead-level local locator only; no independent incident truth, current active status, AI Act sandbox maturity, legality, safety, compliance, deployment, or prevalence claim.	Do not claim the sandbox is currently active, AI Act-compliant, generally mature, successful, harmful, or legally validated without the original official passages.	The local CSV row contains a concrete source lead, but this batch row does not include the underlying public official URLs or source text needed for a hardened case candidate.	Recover the exact Ísland.is and Persónuvernd public URLs/text, dates, pilot scope, application notice, and supervision language.	Not ObscureAI material until original official sources are recovered and a reviewed-core claim ceiling is accepted.	Defer extraction pending original official source text/URLs.
/srv/tyche/pallas/pallas-ai-agent-observatory/reports/pallas_second_pass_sprint_14_country_score_delta.csv:36	closed_noncase_source_surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv:36	PALLAS second-pass France I05 delta; statutory/circular and data.gouv governance dataset notes						France	Local PALLAS score-delta row records confidence about algorithm-transparency infrastructure and lack of one confirmed comprehensive register; it is not a concrete edge-case event/finding record.	Source-surface disposition only; no reviewed-core case claim.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, ranking, or AI harm from this surface.	Local PALLAS score-delta row records confidence about algorithm-transparency infrastructure and lack of one confirmed comprehensive register; it is not a concrete edge-case event/finding record.	Find a public original source for a specific event/action/vulnerability/finding/official record and quote the bounded passage.	Only reconsider after reviewed-core hardening with concrete evidence and bounded claim ceiling.	Close as noncase source surface; no promotion.
/srv/tyche/pallas/pallas-ai-agent-observatory/reports/pallas_second_pass_sprint_4_candidate_matrix_delta.csv:26 plus local lesotho source-pack rows	closed_noncase_source_surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_CANDIDATE_MATRIX_DELTA.csv:26 plus local Lesotho source-pack rows	Lesotho gov.ls and AI policy local hardening metadata						Lesotho	Local PALLAS score-delta row records negative evidence about absence of an algorithm register/system inventory; it is not a concrete edge-case event/finding record.	Source-surface disposition only; no reviewed-core case claim.	Do not infer incident truth, legal/safety/compliance finding, deployment proof, prevalence, guilt, ranking, or AI harm from this surface.	Local PALLAS score-delta row records negative evidence about absence of an algorithm register/system inventory; it is not a concrete edge-case event/finding record.	Find a public original source for a specific event/action/vulnerability/finding/official record and quote the bounded passage.	Only reconsider after reviewed-core hardening with concrete evidence and bounded claim ceiling.	Close as noncase source surface; no promotion.
