as_of_utc	route_row_id	queue_id	focus_case	current_row_state	tested_surface_family	tested_surface_or_probe	observed_state	same_phenomenon_match	evidence_use_now	paper_readiness_delta	what_it_still_does_not_support	next_threshold_event	observatory_hook
2026-06-07T19:33:05Z	FORM-001	LMWCS-20260606-001	Yle AI-drafted appeals row	direct_non_official_broadcaster_row	justice-family positive control	Oikeus.fi query: hallinto-oikeus	Live official search returns concrete court-entity pages.	control_only	Shows the justice-family route is live, so later non-matches are interpretable as semantic non-yield rather than dead-interface failure.	Strengthens reviewer-safe route-validity framing for Finland official corroboration attempts.	Does not corroborate the Yle phenomenon itself.	One exact Finnish official source must still confirm the AI-assisted appeals phenomenon or institutional response named by Yle.	Finland route-validity badge; official-surface control panel
2026-06-07T19:33:05Z	FORM-002	LMWCS-20260606-001	Yle AI-drafted appeals row	direct_non_official_broadcaster_row	police-family search	Poliisi.fi query: tekoäly valitus poliisi	Visible result-bearing police search, but only generic institutional PDFs and administrative reports.	no	Bounded negative evidence for official-route semantic mismatch on the police surface.	Makes Finland methods prose stronger by separating visible-but-off-target police results from exact corroboration.	Does not support official corroboration, prevalence, or broader legal-system contamination.	A phenomenon-specific police, court, or ministry statement remains needed.	Finland blocker-state panel; authority-upgrade funnel
2026-06-07T19:33:05Z	FORM-003	LMWCS-20260606-001	Yle AI-drafted appeals row	direct_non_official_broadcaster_row	justice-family search	Oikeus.fi query: tekoäly valitus	Visible justice-family hits, but only generic decisions indexes and annual-report material.	no	Bounded negative evidence that a second official family is reachable yet semantically off-target.	Improves reviewer-safe explanation that Finland now has both police-family and justice-family mismatch evidence.	Does not support official confirmation of AI-assisted appeals.	A materially different official/document family or exact identifier is still required before another Finland/Yle promotion attempt.	Finland blocker-state panel separating police and justice outcomes
2026-06-07T19:33:05Z	FORM-004	LMWCS-20260606-001	Yle AI-drafted appeals row	direct_non_official_broadcaster_row	justice-family search	Oikeus.fi query: tekoälyn laatimat valitukset	Only lexical false-positive PDF hits.	no	False-positive audit row for quote-adjacent official querying.	Sharpens limitations prose around lexical drift in under-covered-language official retrieval.	Does not support the Yle event or any official court acknowledgment.	Do not replay phrase-tightening on the same surface unless a clearly different identifier appears.	Lexical-drift tooltip; search-quality explainer
2026-06-07T19:33:05Z	FORM-005	LMWCS-20260606-001	Yle AI-drafted appeals row	direct_non_official_broadcaster_row	justice-family search	Oikeus.fi query: itä-suomen hallinto-oikeus tekoäly	Rendered results region with no visible result cards.	no	Institution-specific non-yield evidence for the East Finland court route.	Narrows the next Finland official move away from more generic Oikeus.fi replay.	Does not prove that no official court material exists elsewhere.	Any future Yle-upgrade attempt should use a genuinely different official surface or exact document identifier.	Official-route exhaustion sparkline
2026-06-07T20:46:40Z	FORM-006	LMWCS-20260606-002	Kaleva AI-intimate-image row	preview_text_visible_direct_article_shell_candidate	article-shell preview text	Kaleva article shell is browser-reachable and exposes headline, date, byline, premium state, and bounded preview paragraphs on the article page itself.	yes_bounded_direct_article_shell	Supports a narrow dated direct-article-shell claim with suspicion-stage police-investigation framing and bounded victim/suspect cues visible in preview text.	Keeps Kaleva as the cleanest unresolved Finland row while making clear it now sits above metadata-only and title-gloss-only states.	Does not support full-body chronology, legal interpretation, locality naming beyond generic phrasing, or full event narration.	One stronger public police/document companion or caption-controlled shared-review consumption is still required for a stronger upgrade.	Preview-threshold lane; queue-depth explainer	
2026-06-07T20:46:40Z	FORM-007	LMWCS-20260606-002	Kaleva AI-intimate-image row	preview_text_visible_direct_article_shell_candidate	police-family search	Poliisi.fi query: tekoäly alastonkuvia	Reachable official search with explicit zero-results message.	no	Exact official-route non-recovery evidence tied to AI-plus-intimate-image wording.	Makes the lack of current police-site corroboration reviewer-checkable while preserving that the row already has bounded direct-article-shell support.	Does not prove event absence or lack of official handling elsewhere.	A different public police/document surface is still needed for stronger authority depth, not for proof that the article exists.	Official-companion non-recovery badge; Finland upgrade board
2026-06-07T20:46:40Z	FORM-008	LMWCS-20260606-002	Kaleva AI-intimate-image row	preview_text_visible_direct_article_shell_candidate	police-family search	Poliisi.fi queries: alastonkuva / alastonkuvat / deepfake / syväväärennös	Broad or concept-level police queries yield nearby prevention/extortion items or generic analytic reports, not a same-event companion.	no	Semantic-mismatch evidence for broader official police retrieval.	Shows that widening the query family still stays below event identity, which is useful negative evidence once the article-shell threshold has already been crossed.	Does not support promotion to official-companion or default-visible substantive status.	Do not treat lexical overlap or annual-report hits as incident corroboration.	Semantic-drift lane; deepfake query-family panel
2026-06-07T20:46:40Z	FORM-009	LMWCS-20260606-002	Kaleva AI-intimate-image row	preview_text_visible_direct_article_shell_candidate	legal-database search	Finlex query: seksuaalisten kuvien levittämistä	Public search interface loaded but exposed no visible result links for the derived phrase.	no	Checked-but-non-yielding legal-document route evidence.	Adds one reviewer-safe court/legal-database non-yield state to the Finland route stack while leaving the direct-article-shell mid-state intact.	Does not prove that no later court/legal document exists under other terms or dates.	The next threshold-changing move remains one public police or other official companion source, not another phrase-level Finlex replay.	Court/legal-route non-yield marker; methods appendix row
2026-06-07T20:46:40Z	FORM-010	PACKAGE-LIMEN-C-013	Finland package frontier	Yle=bounded broadcaster row; Kaleva=preview-text-visible direct-article-shell candidate	package-level synthesis	Cross-read of current Finland multilingual route audits	Finland now has reviewer-checkable evidence for two distinct blocker types: official-family semantic mismatch for Yle and preview-text-visible but still authority-limited public-companion non-recovery for Kaleva.	package_level_synthesis	Use now as one compact Finland explainer for Table 1D, Figure 6 notes, reviewer responses, and thesis methods discussion.	Turns scattered Finland route evidence into one chart-ready route-outcome matrix with a cleaner mid-state for Kaleva than metadata-only shorthand allowed.	Does not itself change any row evidence tier, publication bucket, or claim ceiling.	The next substantive multilingual gain still requires one exact Finland threshold event: official corroboration for Yle or a stronger police/official companion for Kaleva beyond the current preview-text shell.	Finland blocker-state explainer; route-outcome Sankey seed
