as_of_utc	family_id	source_family	priority	route_rank	route_a_role	route_b_role	route_c_role	best_current_paper_use	main_limitations_to_state	exact_upgrade_trigger	next_verification_move	dashboard_hook	publication_route_priority_note	route_a_dependency	route_b_dependency	route_c_dependency
2026-06-07T21:06:57Z	sf01	AI Incident Database (AIID)	P0	13	core_methods_or_boundary_layer	supporting_baseline_comparator_layer	out_of_scope_or_thin_for_route_c	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	Strong for overlap, residual-gap detection, and source-baseline discussion; weak alone for legal/compliance or incident-truth claims	one_snapshot_or_field-manifest_appendix_verified	Verify one snapshot-manifest or single-record machine-readable extraction that ties public page labels to field names without broad harvesting	Source-family saturation map; comparator-overlap panel; interoperability readiness board	maintain_current_bounded_use	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf02	OECD AI Incidents Monitor (OECD AIM)	P0	12	core_methods_or_boundary_layer	supporting_baseline_comparator_layer	out_of_scope_or_thin_for_route_c	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	Strong for comparator metadata, vocabulary bridges, and country/language context; still insufficient alone for strong factual or legal claims	stable_list_to_detail_discovery_route_documented	Trace one public detail page back to a stable list/discovery route and document the minimal safe metadata subset	Country/language coverage comparison; vocabulary bridge; incident-monitor interoperability board	maintain_current_bounded_use	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-08T10:58:00Z	sf03	AI Vulnerability Database (AVID)	P0	9	supporting_comparator_or_slice_layer	supporting_security_comparator_layer	supporting_process_or_interoperability_context	Strong for technical mechanism, vulnerability metadata, and two already-populated exact security-row bridges with an explicit reviewer-safe direct-versus-placeholder control surface; still weak for general incident census or for treating placeholder rows as solved joins	Strong for technical mechanism, vulnerability metadata, and two already-populated exact security-row bridges; not a general incident census and not a license to collapse placeholder rows into solved joins	third_canonical_AVID_join_or_exact_negative_match_rule_added	Treat the current AVID appendix as the reviewer-safe control surface; only add a third canonical direct join outside the current Langflow-plus-ToolHive pair or an exact negative-match rule if justified, otherwise return effort to sf08/sf09 authority hardening	Security-edge-case bridge; direct-versus-placeholder join panel; reviewer-safe interoperability appendix	hold_as_reviewer_safe_control_surface	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf04	MITRE ATLAS	P0	8	supporting_comparator_or_slice_layer	supporting_security_comparator_layer	supporting_process_or_interoperability_context	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins with a reviewer-safe appendix; still weak for non-security completeness or direct case-study equivalence claims	Strong for security-technique structure, mitigation framing, and already-operational technique-context joins; weak for non-security completeness or direct case-study equivalence claims	defensible_exact_case_study_ID_or_stronger_cautious_row_anchor_added	Treat the current ATLAS appendix as the reviewer-safe control surface; only add a defensible exact case-study ID or stronger independent anchor for the cautious rows if justified, otherwise return effort to sf08/sf09 authority hardening	Security/agentic crosswalk; technique-coverage heatmap; case-context-versus-cautious-context panel	hold_as_reviewer_safe_control_surface	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-08T15:58:24Z	sf05	MIT AI Risk Repository	P0	10	core_methods_or_boundary_layer	secondary_or_methods_only	out_of_scope_or_thin_for_route_c	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence	Strong for methods, taxonomy, and harm-definition claims; now also supports a bounded structured workbook/taxonomy overlay description, but remains invalid as event evidence	tiny_named_workbook_tab_or_taxonomy_slice_imported_with_CC_BY_and_non_equivalence_cautions_preserved	Import one deliberately tiny MIT AI Risk workbook tab or taxonomy slice with explicit provenance, sheet naming, and CC BY note; keep SharePoint-gated mirror asymmetry and row-level incident non-equivalence explicit	Taxonomy heatmap; residual-category overlay; methods table on definition-layer comparators; workbook-route readiness note	maintain_current_bounded_use_with_verified_workbook_export	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf06	CSET AI Harm taxonomy / overview	P1	5	core_methods_or_boundary_layer	secondary_or_methods_only	out_of_scope_or_thin_for_route_c	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	Strong for appendix-only harm-posture interpretation and related-work positioning; invalid as event evidence or ingest-ready comparator	second_low_drift_review_pass_or_explicit_appendix_only_freeze_recorded	Keep the family explicitly outside machine-ingest claims and add a second low-drift reviewer pass before any row-level posture aggregate is exposed	Harm-taxonomy note; conceptual-support panel; related-work table	appendix_only_freeze_priority	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf07	Regulator and enforcement sources	P0	6	core_empirical_boundary_layer	core_if_claim_ceiling_observed	case_linked_attestation_candidate	Best current family for upgrading weak media or company claims into paper-grade bounded statements	Best current family for upgrading weak media or company claims into paper-grade bounded statements	one_non_US_non_UK_follow_through_row_added	Add one non-U.S./non-UK follow-through row tied to a public record or court-facing document to reduce current geography concentration, while keeping the court-family bottleneck on exact sf08 depth separate	Authority-weighted evidence matrix; regulator-action timeline; jurisdiction map	maintain_current_bounded_use	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-08T17:12:57Z	sf08	Court and tribunal records	P0	1	core_empirical_boundary_layer	core_if_claim_ceiling_observed	case_linked_attestation_candidate	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin	Critical for hostile-reviewer resilience where regulator or agency summaries alone are too thin; current court depth is split between one DOJ-linked image-only charging-document row with stable partial caption OCR (`25 Cr.` only) and one agency-summary row with stable Civil Action No. 1:22-cv-02565 metadata but no open court-originating text after bounded court-surface probes.	open_iTutorGroup_court_document_or_materially_different_public_exact_caption_source_added	Either capture one open complaint, consent decree, docket entry, or judicial order text for the iTutorGroup row from a genuinely different public court-facing surface or clearly labeled open mirror, or use a materially different OCR stack / another public exact-caption source before retrying the Nate suffix; reuse the existing negative-result ledgers so failed EEOC newsroom/node/search, named public-mirror, CourtListener, and Bing browser-UI challenge paths are not repeated.	Regulator-to-court escalation matrix; procedural-posture timeline; Route-B blocker panel	highest_blocker_for_route_b	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf09	Public-sector registers and procurement	P1	2	core_empirical_boundary_layer	core_if_claim_ceiling_observed	out_of_scope_or_thin_for_route_c	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	Strong for disclosure-surface heterogeneity and public-body-existence claims; still weak for buyer-side traceability, capability, legality, or impact claims	buyer_side_tender_award_contract_or_public_impact_assessment_companion_added	Add one buyer-side tender, award, contract, or public impact-assessment companion for either register row, or keep the family bounded at register-plus-non-register disclosure surfaces	Jurisdiction/language map; disclosure-field completeness chart; register-versus-project-page-versus-regulator panel	highest_blocker_for_route_b	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
2026-06-07T21:06:57Z	sf10	Company and platform notices	P1	11	supporting_comparator_or_slice_layer	core_if_claim_ceiling_observed	supporting_process_or_interoperability_context	Useful for timing and remediation claims; should rarely stand alone for incident characterization	Useful for timing and remediation claims; should rarely stand alone for incident characterization	missing_direct_vendor_remediation_details_verified_for_Langflow_or_CrewAI	Verify missing direct vendor remediation details for Langflow and CrewAI while preserving the advisory-vs-issue distinction	Remediation timeline overlay; issuer-vs-independent-source comparison table	maintain_current_bounded_use	Source-family saturation map; taxonomy heatmap; legal uncertainty matrix; duplicate-review graph; provisional evidence-tier funnel; authoritative document-depth facet; public-sector disclosure asymmetry panel	Jurisdiction/language visibility map; evidence-tier funnel; public-sector disclosure asymmetry panel; security/agentic crosswalk excerpt	Authoritative document-depth facet; security/agentic governance crosswalk excerpt; downstream dashboard artifact audit
