queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03537	LIMEN-SIGNAL-DAD509DFA17DE1D0	country_gap_no_parent_source		Brunei atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:19492	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03538	LIMEN-SIGNAL-DB2C984D6993B75C	parent_source_wrapper		Kenya jurisdiction source-pack (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:227	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
BPSE-03539	LIMEN-SIGNAL-DBF58B936E866610	country_gap_no_parent_source		Macau atlas indicator/profile row (I03 Regulatory sandbox maturity)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:22077	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03540	LIMEN-SIGNAL-DC5887383989BDD2	country_gap_no_parent_source		Libya atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:31400	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03541	LIMEN-SIGNAL-DCC55B45DFAE712A	parent_source_wrapper		Barbados jurisdiction source-pack (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:205	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
BPSE-03542	LIMEN-SIGNAL-DDC86BE47EF196D5	country_gap_no_parent_source		Zambia atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:29109	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03543	LIMEN-SIGNAL-DE3254CA13721A7F	country_gap_no_parent_source		Norfolk Island atlas indicator/profile row (I05 Public algorithm registers / transparency)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:35971	Atlas indicator/profile score row; nearby country metadata has no matching parent URL for this indicator.	source-pack/index metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Treat as gap/profile metadata; do not promote without a separate named source URL.
BPSE-03544	LIMEN-SIGNAL-DE3770ADBA69B49B	parent_source_wrapper		Puerto Rico jurisdiction source-pack (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:199	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
BPSE-03545	LIMEN-SIGNAL-DE731A4D0AC7E186	parent_source_wrapper		Saint Martin jurisdiction source-pack (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:211	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
BPSE-03546	LIMEN-SIGNAL-DEAC9402F051B9F8	parent_source_wrapper		Puerto Rico jurisdiction source-pack (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:199	Local row is a jurisdiction/query pack with multiple target source types and no selected parent URL.	source-pack metadata only; no source existence, incident truth, legality, safety, deployment, prevalence, ranking, or compliance claim	Human select one named official/institutional parent source before source review.
