signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-D1013318057B277F	needs_named_source_extraction	proxy_wrapper_surface	Wrapper/profile row points toward a direct source, but the named reviewable surface is not isolated yet.	Only infer that an underlying direct source is named nearby.	Extract the named underlying source first.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-D111B34075E11747	reject_noise	derived_internal_artifact	Derived manuscript/config/script material, not a direct-source surface.	No direct-source claim should be taken from this artifact.	Drop from the direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z
LIMEN-SIGNAL-D1124DC429BF10FC	negative_evidence_candidate	negative_gap_record	Negative check / gap evidence	Negative or gap evidence only; no absence or prevalence claim.	Keep as bounded negative evidence; do not overread.	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_7_SOURCE_PACK.csv
LIMEN-SIGNAL-D138AD230220E7CB	needs_named_source_extraction	proxy_wrapper_surface	Wrapper/profile row points toward a direct source, but the named reviewable surface is not isolated yet.	Only infer that an underlying direct source is named nearby.	Extract the named underlying source first.	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/sources/cycle-260/cycle260-dubai-oyoon-oxford-bb6a7c67c10b.html
LIMEN-SIGNAL-D138C4C73472B21F	reject_noise	derived_internal_artifact	Derived internal artifact that should not stay in the direct-source queue.	No direct-source claim should be taken from this artifact.	Drop from the direct-source queue.	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-D15F7BD055152FCC	merge_existing_surface	existing_modeled_surface	Duplicate row for the already modeled Dutch algorithm-register surface.	Deduplicate to an already modeled surface only.	Link to existing surface; do not promote duplicate.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
LIMEN-SIGNAL-D164AAEF7C89B04B	merge_existing_surface	existing_modeled_surface	Duplicate row for the already modeled Government of Canada AI Register surface.	Deduplicate to an already modeled surface only.	Link to existing surface; do not promote duplicate.	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-D16B85108D0AB11D	negative_evidence_candidate	negative_gap_record	Local metadata records a bounded search-negative or gap warning rather than a promotable source surface.	Negative or gap evidence only; no absence or prevalence claim.	Keep as bounded negative evidence; do not overread.	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-D17A61AD64697636	merge_existing_surface	existing_modeled_surface	Duplicate row for the already modeled Government of Canada AI Register surface.	Deduplicate to an already modeled surface only.	Link to existing surface; do not promote duplicate.	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/deployed-gap-map-field-coding-template-v0.1.csv
LIMEN-SIGNAL-D17F3ACC2A1B11A9	reject_noise	derived_internal_artifact	Derived manuscript/config/script material, not a direct-source surface.	No direct-source claim should be taken from this artifact.	Drop from the direct-source queue.	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-candidate-only-boundaries-update.md
