queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00985	LIMEN-SIGNAL-B446BB15E35AFF27	parent_source_wrapper		BOSCO case-study source bundle	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/trace-x/cases/es-bosco/case-study.md:15	Chronology names several BOS sources (BOS-001, BOS-008, BOS-003, BOS-016); no single parent URL is selected.	processing-state parent-source URL triage only; no core promotion or substantive claim	Human choose intended BOS parent source before requeue.
BPSE-00986	LIMEN-SIGNAL-B4B1F3394F89C6D9	source_url_extracted	http://data.europa.eu/eli/reg/2016/679/oj	EUR-Lex GDPR legal resource	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/b7/b70dd85399aee62844e380d6.html:49-57	Cached official HTML exposes explicit ELI URL for Regulation 2016/679.	processing-state parent-source URL triage only; no core promotion or substantive claim	Use ELI URL as source surface; keep article-level citation discipline.
BPSE-00987	LIMEN-SIGNAL-B509078E5711026F	parent_source_wrapper		UK DSIT Humphrey public-sector AI suite	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/cycle-17-active-lanes-2-harvest-log.md:16-21	Harvest log bundles multiple Humphrey/Consult/Minute/AI Exemplars surfaces without selecting one URL.	processing-state parent-source URL triage only; no core promotion or substantive claim	Human choose the intended UK source surface from the suite/ledger.
BPSE-00988	LIMEN-SIGNAL-B525A531E8EAF0E9	country_gap_no_parent_source		Kyrgyzstan research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:16	Generic country research prompt lists desired topics only; no parent source URL is present.	processing-state parent-source URL triage only; no core promotion or substantive claim	Run source discovery separately before review.
BPSE-00989	LIMEN-SIGNAL-B53F6B0522F0A2BC	country_gap_no_parent_source		Palau research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:69	Generic country research prompt lists desired topics only; no parent source URL is present.	processing-state parent-source URL triage only; no core promotion or substantive claim	Run source discovery separately before review.
BPSE-00990	LIMEN-SIGNAL-B5532FF02BB665EA	country_gap_no_parent_source		UAE country index row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv:26-29	Country index summarizes gaps and examples; the queued line is not a selected parent source.	processing-state parent-source URL triage only; no core promotion or substantive claim	Select a concrete source row/URL from the source pack if needed.
BPSE-00991	LIMEN-SIGNAL-B578B7ADFBC1CEFB	country_gap_no_parent_source		Country readiness matrix row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv:12	Country matrix gives scored gaps and summary text, not a named parent source URL.	processing-state parent-source URL triage only; no core promotion or substantive claim	Resolve from source pack or run source discovery.
BPSE-00992	LIMEN-SIGNAL-B5A2CCB0BBBF81E8	country_gap_no_parent_source		Cayman Islands research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:51	Generic country research prompt lists desired topics only; no parent source URL is present.	processing-state parent-source URL triage only; no core promotion or substantive claim	Run source discovery separately before review.
BPSE-00993	LIMEN-SIGNAL-B5DE9B677F3B0B20	country_gap_no_parent_source		Tajikistan research queue row	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:28	Generic country research prompt lists desired topics only; no parent source URL is present.	processing-state parent-source URL triage only; no core promotion or substantive claim	Run source discovery separately before review.
BPSE-00994	LIMEN-SIGNAL-B5E96AF2985ED18A	country_gap_no_parent_source		Gap-sprint target evidence placeholder	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json:2779-2784	Placeholder names evidence types such as algorithm register entry but no concrete source URL.	processing-state parent-source URL triage only; no core promotion or substantive claim	Discover a concrete source before review.
