row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01165	LIMEN-SIGNAL-8C6CFE49637D080D	needs_named_url_extraction	P3	regulator_or_public_authority	official_source_surface	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	241	"8,EC,Ecuador,I10,,1,M,2,M,,true,,""Candidate +1 because SPDP Resolution 2026-0009-R requires risk management, impact assessment, security measures, RAT inclusion of qualifying AI automated decisions, and audits for personal-data AI systems;"	Local artifact names a concrete official, institutional, register, regulator, statute, or dataset surface suitable for bounded source-surface review.	surface existence/reviewability only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01166	LIMEN-SIGNAL-9160621676597EBF	needs_named_url_extraction	P3	regulator_or_public_authority	cached_official_sandbox_page	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1150	<p>The Sandbox isn’t just for start-ups that may need to be authorised in the future.</p><p>We accept applications from authorised firms seeking to trial new products and services, and technology companies that want to help regulated firms	cached FCA sandbox page exposes a concrete official source surface in local HTML.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01167	LIMEN-SIGNAL-9586B72753AA9A9A	needs_named_url_extraction	P3	regulator_or_public_authority	named official / regulator source surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	3096	"why: ""Canonical financial regulatory sandbox model useful for comparison to AI Act sandbox design."""	Local metadata names a concrete official source surface with enough detail for bounded source-surface review.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01168	LIMEN-SIGNAL-98466680C2D869DE	needs_named_url_extraction	P3	regulator_or_public_authority	direct_official_source_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1227	<h2>Regulatory Sandbox tests</h2><p>Firms will have a dedicated case manager to provide support in the development and implementation of a test.</p><p>Sandbox tests are expected to have a clear objective and a clear positive impact on consu	Local cache exposes a named official sandbox page suitable for source-surface review.	May claim bounded existence of this official source surface only.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01169	LIMEN-SIGNAL-99A07AC1D76E1A16	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z	2454	"title: ""Singapore MAS FinTech Regulatory Sandbox"","	local metadata names a concrete direct source surface sufficient for bounded review	existence of named source surface only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01170	LIMEN-SIGNAL-9AC6AB5F3F04776F	needs_named_url_extraction	P3	regulator_or_public_authority	official_sandbox_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	66	"headline: ""Regulatory Sandbox"","	Local cached page identifies FCA Regulatory Sandbox with canonical official FCA URL.	Names a concrete source surface only; no incident, legality, compliance, safety, deployment, prevalence, or ranking inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01171	LIMEN-SIGNAL-9C98F3F90138C85D	needs_named_url_extraction	P3	regulator_or_public_authority	needs_source_resolution	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	120	<title>Regulatory Sandbox | FCA</title>	Cached page exposes a concrete official FCA sandbox surface.	source-surface existence only; no truth, legality, safety, compliance, or prevalence claims	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01172	LIMEN-SIGNAL-9DB30FAECDB8D88A	needs_named_url_extraction	P3	regulator_or_public_authority	direct_official_or_regulator_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	28863	"claim_role: ""sectoral regulatory sandbox"""	Local atlas context names an official regulator source surface with publisher/title/URL; review only source-surface existence.	May state only that a named official/regulator source surface is locally queued; no incident, compliance, legality, deployment, or prevalence claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01173	LIMEN-SIGNAL-A22B57AE18D88AE7	needs_named_url_extraction	P3	regulator_or_public_authority	named_institutional_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1808	13,JE,Jersey,I03,,1,M,1,H,,true,,JFSC Innovation Hub and Digital Economy Framework harden evidence for innovation support and planned expansion of regulatory sandbox opportunities. No formal operational AI sandbox or statutory sandbox progr	Second-pass local row names a concrete institutional source surface, but claims are limited to surface existence.	source-surface existence only; no maturity, adequacy, compliance, or coverage claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01174	LIMEN-SIGNAL-A36EBB887D3709E7	needs_named_url_extraction	P3	regulator_or_public_authority	direct_official_or_regulator_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	34690	"title: ""FinTech Regulatory Sandbox Guideline"","	Local atlas context names an official regulator source surface with publisher/title/URL; review only source-surface existence.	May state only that a named official/regulator source surface is locally queued; no incident, compliance, legality, deployment, or prevalence claim.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
