source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.6027/tn2013-501	1	LIMEN-SIGNAL-2A6208CF482D576F	bulk_named_source_autoresolve	doi.org	https://doi.org/10.6027/tn2013-501	doi.org	regulatory sandbox	Local metadata is a proxy/index/wrapper that points toward a source but does not expose a named reviewable surface here.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.6028/nist.ir.7313	1	LIMEN-SIGNAL-E1F476740E521841	bulk_named_source_autoresolve	doi.org	https://doi.org/10.6028/nist.ir.7313	doi.org	algorithm register	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.6028/nist.sp.2000-01	1	LIMEN-SIGNAL-213484C42880AA72	bulk_named_source_autoresolve	doi.org	https://doi.org/10.6028/nist.sp.2000-01	doi.org	regulatory sandbox	Indicator JSON names a sandbox indicator with source_count but no canonical named source surface yet.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.61737/epfy3906	2	LIMEN-SIGNAL-D056D34E33D6CDA0; LIMEN-SIGNAL-EDE87C24E08AE8BB	bulk_named_source_autoresolve	doi.org	https://doi.org/10.61737/epfy3906	doi.org	algorithm register	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.61737/tfce3938	1	LIMEN-SIGNAL-FE1A1927C511E555	bulk_named_source_autoresolve	doi.org	https://doi.org/10.61737/tfce3938	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.61737/xwlr8836	1	LIMEN-SIGNAL-5C1378AA6E81ACFD	bulk_named_source_autoresolve	doi.org	https://doi.org/10.61737/xwlr8836	doi.org	algorithm register	This row points to a scholarly/report wrapper rather than a direct source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.62062/tgzaa012023	1	LIMEN-SIGNAL-EF31FF3737F3D87E	bulk_named_source_autoresolve	doi.org	https://doi.org/10.62062/tgzaa012023	doi.org	regulatory sandbox	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.62311/nesx/rrpsx1d24	1	LIMEN-SIGNAL-2AB3363A7BB0CD5A	bulk_named_source_autoresolve	doi.org	https://doi.org/10.62311/nesx/rrpsx1d24	doi.org	public sector AI	Local metadata is a proxy/index/wrapper that points toward a source but does not expose a named reviewable surface here.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.62328/sp.v37i1.10	1	LIMEN-SIGNAL-DAFD4BE176B2B207	bulk_named_source_autoresolve	doi.org	https://doi.org/10.62328/sp.v37i1.10	doi.org	public sector AI	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.62802/ejr09s21	1	LIMEN-SIGNAL-E494145BAFF7A205	bulk_named_source_autoresolve	doi.org	https://doi.org/10.62802/ejr09s21	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
