view_id	view_title	scope	row_dimension	row_key	column_dimension	column_key	cell_count	member_ids	safe_reading	paper_thesis_use	dashboard_hook	blocking_note	access_date
AIW-OBS-001	Publication role by authority posture badge	including_sidecars_and_queue	publication_role	main_text_core_row	authority_posture_badge	settled_regulator_order	2	LIMEN-000001; LIMEN-000002	publication_role=main_text_core_row and authority_posture_badge=settled_regulator_order currently intersect in 2 row(s) in the live shard-009 package.	Heatmap or Sankey showing that the default AI-washing core is currently anchored by two settled SEC finance exemplars.	ai_washing_observatory_cells; view=publication_role_x_authority_posture	Editorial role and authority posture are package-control signals, not prevalence or truth rankings.	2026-06-07
AIW-OBS-001	Publication role by authority posture badge	including_sidecars_and_queue	publication_role	main_text_core_row_with_caution	authority_posture_badge	authoritative_charging_stage	1	LIMEN-000005	publication_role=main_text_core_row_with_caution and authority_posture_badge=authoritative_charging_stage currently intersect in 1 row(s) in the live shard-009 package.	Heatmap or Sankey showing that the only current non-finance core row remains an accusation-stage hidden-human contrast case.	ai_washing_observatory_cells; view=publication_role_x_authority_posture	Charging-stage placement is useful for posture comparison but is not adjudicated fact or final-authority closure.	2026-06-07
AIW-OBS-001	Publication role by authority posture badge	including_sidecars_and_queue	publication_role	limitations_queue_row	authority_posture_badge	negative_result_control	1	QUEUE-HUMAN-AS-AI-001	publication_role=limitations_queue_row and authority_posture_badge=negative_result_control currently intersect in 1 row(s) in the live shard-009 package.	Heatmap or queue card showing that shard 009 still keeps one explicit final-authority hidden-human gap visible in the main package.	ai_washing_observatory_cells; view=publication_role_x_authority_posture	Do not read the queue row as a case or as proof that no such exemplar exists outside the bounded package.	2026-06-07
AIW-OBS-001	Publication role by authority posture badge	including_sidecars_and_queue	publication_role	sidecar_only_diversification	authority_posture_badge	official_nonfinance_ftc	1	LIMEN-000010	publication_role=sidecar_only_diversification and authority_posture_badge=official_nonfinance_ftc currently intersect in 1 row(s) in the live shard-009 package.	Sidecar badge or inset showing that one official non-finance FTC diversification row exists without changing the default core denominator.	ai_washing_observatory_cells; view=publication_role_x_authority_posture	Do not silently convert sidecar presence into a five-row default core or hidden-human closure.	2026-06-07
AIW-OBS-001	Publication role by authority posture badge	including_sidecars_and_queue	publication_role	appendix_or_overlay_only	authority_posture_badge	ftc_detector_governance	1	LIMEN-000011	publication_role=appendix_or_overlay_only and authority_posture_badge=ftc_detector_governance currently intersect in 1 row(s) in the live shard-009 package.	Optional overlay or appendix note showing that detector-governance evidence is present but intentionally not part of the default substantive ladder.	ai_washing_observatory_cells; view=publication_role_x_authority_posture	Overlay-only placement is a branch-governance decision, not evidence of low social importance.	2026-06-07
AIW-OBS-002	Sector scope by shared table role	including_comparator_and_queue	sector_scope	regulated_finance	shared_table_role	Settled regulated-finance anchor row	2	LIMEN-000001; LIMEN-000002	sector_scope=regulated_finance and shared_table_role=Settled regulated-finance anchor row currently intersect in 2 row(s) in the live shard-009 package.	Reviewer-facing cell showing that settled support is repeated but currently finance-concentrated.	ai_washing_observatory_cells; view=sector_scope_x_shared_role	Sector concentration is a bounded package property, not cross-market prevalence evidence.	2026-06-07
AIW-OBS-002	Sector scope by shared table role	including_comparator_and_queue	sector_scope	non_finance_ecommerce	shared_table_role	Authoritative non-finance lower-posture contrast row	1	HUMAN-AS-AI-SDNY-2025-001	sector_scope=non_finance_ecommerce and shared_table_role=Authoritative non-finance lower-posture contrast row currently intersect in 1 row(s) in the live shard-009 package.	Dashboard cell showing that non-finance hidden-human support exists, but only at charging-stage posture.	ai_washing_observatory_cells; view=sector_scope_x_shared_role	Do not flatten charging-stage contrast into settled cross-sector maturity.	2026-06-07
AIW-OBS-002	Sector scope by shared table role	including_comparator_and_queue	sector_scope	municipal_public_administration	shared_table_role	Non-official comparator row kept outside the authoritative ladder	1	LMWCS-20260606-005	sector_scope=municipal_public_administration and shared_table_role=Non-official comparator row kept outside the authoritative ladder currently intersect in 1 row(s) in the live shard-009 package.	Methods/limitations cell showing why public-sector AI-theater comparators remain useful but below official-text threshold.	ai_washing_observatory_cells; view=sector_scope_x_shared_role	Comparator status does not imply falsity; it marks source-authority and publication-role limits.	2026-06-07
AIW-OBS-002	Sector scope by shared table role	including_comparator_and_queue	sector_scope	non_finance_legal_service_automation	shared_table_role	Official non-finance sidecar row	1	LIMEN-000010	sector_scope=non_finance_legal_service_automation and shared_table_role=Official non-finance sidecar row currently intersect in 1 row(s) in the live shard-009 package.	Diversification-sidecar cell showing that official non-finance AI-claim support now exists beyond finance without default-core promotion.	ai_washing_observatory_cells; view=sector_scope_x_shared_role	Do not equate complaint/final-order FTC posture with hidden-human support or denominator revision.	2026-06-07
AIW-OBS-002	Sector scope by shared table role	including_comparator_and_queue	sector_scope	hidden_human_final_authority_gap_after_diversification	shared_table_role	Explicit hidden-human gap row	1	QUEUE-HUMAN-AS-AI-001	sector_scope=hidden_human_final_authority_gap_after_diversification and shared_table_role=Explicit hidden-human gap row currently intersect in 1 row(s) in the live shard-009 package.	Queue/limitations cell showing that diversification does not retire the final-authority hidden-human blocker.	ai_washing_observatory_cells; view=sector_scope_x_shared_role	Gap control is negative-result infrastructure, not substantive event evidence.	2026-06-07
