row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01034	LIMEN-SIGNAL-9C98F3F90138C85D	needs_named_url_extraction	P3	regulator_or_public_authority	needs_source_resolution	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	120	<title>Regulatory Sandbox | FCA</title>	Cached page exposes a concrete official FCA sandbox surface.	source-surface existence only; no truth, legality, safety, compliance, or prevalence claims	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01035	LIMEN-SIGNAL-9E91569848532A3A	needs_named_url_extraction	P3	regulator_or_public_authority	official_regulator_page	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1238	<h2>Regulatory Sandbox tools</h2><p>The Regulatory Sandbox gives firms access to regulatory expertise and a set of tools to facilitate testing. The tools your firm will need will depend on the nature of your business and your test.</p>	Local HTML is an FCA Regulatory Sandbox page with concrete regulator-owned surface content.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01036	LIMEN-SIGNAL-9F9742A4A3559AD1	needs_named_url_extraction	P3	regulator_or_public_authority	official_regulator_page	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	68	"3,BW,,I03,,1,L,2,M,,true,,""Bank of Botswana official fintech portal shows a Regulatory Sandbox, application artefact, and sandbox resources/guidelines. This supports sectoral sandbox maturity but remains non-AI-specific and the application"	Local metadata already names a Bank of Botswana official sandbox portal with application and guideline surfaces.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01037	LIMEN-SIGNAL-A2E05CC3BE0C50FB	needs_named_url_extraction	P3	regulator_or_public_authority	official_or_institutional_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	217	"3,TZ,,I03,,1,L,1,M,,TRUE,,""Bank of Tanzania official FinTech Regulatory Sandbox page verifies a sectoral controlled test-and-learn environment. It is financial-sector only, so retain maturity score 1 while raising confidence."",,,tz-source-h"	Row names Bank of Tanzania FinTech Regulatory Sandbox page.	surface-level existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01038	LIMEN-SIGNAL-AA6AA8DA4F306C0F	needs_named_url_extraction	P3	regulator_or_public_authority	named_direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	160	"5,FJ,Fiji,I03,,1,L,2,M,,TRUE,,""Reserve Bank of Fiji has official FinTech Regulatory Sandbox guideline and launch notice with risk-management, consumer-protection, redress, and test-parameter principles; this supports sectoral sandbox maturi"	Reserve Bank of Fiji sandbox guideline/launch notice are named official source surfaces.	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01039	LIMEN-SIGNAL-AB0D8270612FD265	needs_named_url_extraction	P3	court_or_tribunal	official_judiciary_surface	legal-research	court AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	736	"6,PW,Palau,I01,,0,L,1,M,,TRUE,,""Official Supreme Court AI-use policy dated 2025-02-25 is direct AI-specific public evidence, but it is sectoral judiciary policy rather than horizontal national AI law or AI Act implementation."",,,,,,,,pw-sou"	Local metadata names an official Supreme Court AI-use policy as a concrete judiciary source surface.	source-surface existence only; no policy inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01040	LIMEN-SIGNAL-AEAAA91598D512A2	needs_named_url_extraction	P3	regulator_or_public_authority	source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_COUNTRY_SCORE_DELTA.csv	124	"VU,I03,1,L,2,H,""RBV official National Regulatory Sandbox Guideline verifies a functioning regulatory sandbox framework with application, testing/monitoring, reporting, and exit controls; scope appears fintech/payments, not AI."",TRUE,vu-sour"	Local row names the RBV National Regulatory Sandbox Guideline, a concrete official sandbox surface; scope noted as fintech/payments, not AI-specific.	source-surface existence/posture only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01041	LIMEN-SIGNAL-AFFE8FA3FE54A6B5	needs_named_url_extraction	P3	regulator_or_public_authority	official_sandbox_page	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1588	"<div class=""views-row""><div class=""views-field views-field-nid""><span class=""field-content""><div class=""rhn__item""><a href=""/firms/innovation/regulatory-sandbox/stablecoins-cohort"">Regulatory Sandbox: stablecoins cohort </a></div></span></d"	Named official sandbox page is a concrete direct source surface.	Existence of named source surface only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01042	LIMEN-SIGNAL-B4BDE505C23E6EF1	needs_named_url_extraction	P3	regulator_or_public_authority	official_sectoral_sandbox	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_COUNTRY_SCORE_DELTA.csv	54	"CX,I03,1,L,1,M,""ASIC Enhanced Regulatory Sandbox is an official sectoral sandbox source, replacing generic ITU context, but it is financial-services-focused and not AI/Christmas-Island-specific."",TRUE,cx-source-hardening"	ASIC Enhanced Regulatory Sandbox is a concrete official sandbox surface even though it is sectoral and not AI-specific.	source-surface existence only from local metadata/files	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01043	LIMEN-SIGNAL-B657E9F5D7CA4C58	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	133	"2,RW,Rwanda,I03,,1,L,2,M,,true,,""Official BNR regulatory sandbox page and Regulation No 41/2022 verify a formal fintech regulatory sandbox with live testing safeguards. It is sectoral and not AI-specific, so human review should decide wheth"	Local review row names official BNR sandbox page and Regulation No 41/2022.	surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
