queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTPS-00093	LIMEN-SIGNAL-8615EEE63EC71DCB	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	24	Spanish official PDF guidance is AI procurement-adjacent; local notes say it discusses traceability/auditability before contracting but is not mandatory procurement control. translation locator: https://www.argentina.gob.ar/sites/default/files/guia_ai-final-2025.pdf	AI guidance/procurement-adjacent surface only; no mandatory-control claim	Extract bounded guide fields with explicit non-mandatory procurement warning.
BTPS-00094	LIMEN-SIGNAL-8AFE93ACA875493B	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	6555	Local JSON names an official Åland legislative proposal and sandbox chapter with high confidence, but source is Swedish. translation locator: https://www.regeringen.ax/sites/default/files/attachments/page/LFxx20252026_280126_rem.pdf	candidate source-surface for original-language extraction; no sandbox maturity or legal-effect finding yet	Extract bounded Swedish quotations for the sandbox chapter before any parent promotion
BTPS-00095	LIMEN-SIGNAL-8F062E51126C2621	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv	54	Local delta row states official Icelandic sources support a 2022 healthcare AI sandbox pilot, but this batch lacks the underlying source URLs/quotes. translation locator: /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_13_COUNTRY_SCORE_DELTA.csv:54	candidate processing state only; no active-status, maturity, or legal finding	Locate local parent source rows and extract bounded original-language evidence before promotion
BTPS-00096	LIMEN-SIGNAL-915E4C9F50A9803A	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/dutch-belgian-language-records.jsonl	44	Official Dutch algorithm-register surface is concrete; local snippet warns English descriptions are automatically translated and Dutch is canonical. translation locator: https://algoritmes.overheid.nl/en	official register source-surface only; no entry-level factual claim from machine translation	extract canonical Dutch register/source text and keep translation caveats
BTPS-00097	LIMEN-SIGNAL-9303DC991D0582BE	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl	73	Portuguese ANPD page is an official source and the local snippet explicitly frames an AI regulatory sandbox. translation locator: https://www.gov.br/anpd/pt-br/assuntos/projetos-acoes-iniciativas/sandbox/por-que-inteligencia-artificial	official sandbox-source extraction candidate only; no compliance, impact, or legal finding	extract original Portuguese text and record translation caveats
BTPS-00098	LIMEN-SIGNAL-9805A27F1E0C6106	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	156	Thai ETDA page is an official source and local snippet explicitly names a Generative AI governance guideline. translation locator: https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	official guideline-source extraction candidate only; no safety or compliance finding	extract original Thai text with bounded translation notes
BTPS-00099	LIMEN-SIGNAL-9C8E8E5E35F772BA	translation_candidate_parent_source_extraction	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	70	Spanish official regulation row explicitly describes AI-specific sandbox lifecycle requirements and post-market-monitoring plan. translation locator: https://www.boe.es/eli/es/rd/2023/11/08/817	sandbox-scoped AI lifecycle source-surface; no full national evidence-operation or compliance finding	Extract bounded parent-source fields for BOE sandbox regulation with sandbox-scope warning.
BTPS-00100	LIMEN-SIGNAL-9DEEEEF27E6AED7B	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	103	French official BOSA observatory row describes a regularly updated public-sector AI project cartography. translation locator: https://bosa.belgium.be/fr/AI4Belgium/observatoire	partial transparency/project-inventory source-surface; not a legally mandated algorithm register claim	Extract bounded observatory/project-inventory fields and preserve non-register caveat.
BTPS-00101	LIMEN-SIGNAL-A3F92DF7D2B81A52	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	303	Norwegian official Digdir page is concrete AI procurement guidance with local notes on access control, logging, audit, and rollout controls. translation locator: https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546	official AI procurement guidance source-surface; no binding-law, compliance, or implementation-outcome claim	Extract bounded Norway procurement-guidance fields with guidance-only caveat.
BTPS-00102	LIMEN-SIGNAL-A424D9B84B30D707	translation_candidate_parent_source_extraction	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1692	Italian official law archive row names a 2026 regulatory-sandbox framework law, with implementation caseload unverified. translation locator: https://www.consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/documento17156738.html	sandbox legal-basis source-surface; no operational caseload, AI-specific, or outcome claim	Extract bounded statutory sandbox source fields and preserve implementation-unknown warning.
