signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-6756E1F2CA54EF28	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-675BF65C2B3E9EE5	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps gaia-agent-atlas-facts-v0.1.csv; this row is a sample, derivative, or duplicate surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/downloads/gaia-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-675E491F7FE2FBC7	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded search-negative or gap statement, not a positive direct source surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-676F1390E18321D1	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/gaia/tyche-research-vault/notes/session-resume-2026-05-23-evening.md
LIMEN-SIGNAL-676FE8D2ED5A5C74	translation_review_needed	named_translation_sensitive_source_surface	Local metadata names a concrete Finnish Yle article, but the source surface is translation-sensitive.	source posture only; translation-sensitive	run bounded translation-aware source review	/srv/tyche/projects/limen-ai-edge-case-atlas/results/multilingual/compliant-discovery-route-matrix-v0.1.tsv
LIMEN-SIGNAL-67726BB1EC461E86	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-6778108A9F5BE6F2	reject_noise	internal_or_derived_artifact	Local row is an internal note, scholarly index, summary, error log, config, or other derived artifact.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/papers/eatf-agent-card-attestation-lab/wave3-worldcards/reference-atlas.seed.jsonl
LIMEN-SIGNAL-677932651CCC7C7E	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/exports/global-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-678115C2F4B35077	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps Helsinki AI Register; this row is a sample, derivative, or duplicate surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-sample-records-v0.2.csv
LIMEN-SIGNAL-6785F59715EAB21C	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded search-negative or gap statement, not a positive direct source surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-679205D835EBB637	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps facts.jsonl; this row is a sample, derivative, or duplicate surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/facts.jsonl
LIMEN-SIGNAL-679AA27C3487129D	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded search-negative or gap statement, not a positive direct source surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-679E732E07D526DE	merge_existing_surface	registry_surface_already_modeled	Local metadata already maps Dutch algorithm-register municipality surface; this row is a sample, derivative, or duplicate surface.	source posture only	deduplicate to the canonical existing surface record	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-v0.1.csv
LIMEN-SIGNAL-67A08618B19E35EA	negative_evidence_candidate	search_negative_or_gap	Local row is a bounded search-negative or gap statement, not a positive direct source surface.	negative evidence only; no broader absence claim	retain only as negative-evidence support	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-67A1E34C893EACAE	needs_named_source_extraction	wrapper_or_proxy_to_source	Local row points toward one or more underlying sources but does not isolate a single reviewable direct surface.	source posture only	extract the underlying named direct source before review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/seeds/external-lanes-seeds.json
LIMEN-SIGNAL-67A43D72B324C475	reject_noise	internal_or_derived_artifact	Local row is an internal note, scholarly index, summary, error log, config, or other derived artifact.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/inbox/local-hermes/PCEE241002/data/lanes/spanish-portuguese-language-latest.jsonl
LIMEN-SIGNAL-67A8204CFCD4D67F	reject_noise	internal_or_derived_artifact	Local row is an internal note, scholarly index, summary, error log, config, or other derived artifact.	none beyond local artifact description	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl
