category_code	category_label	staged_seed_case_count	live_lineage_count_33_25	delta_live_minus_staged	staged_denominator_contract	frontier_overlay_state	fragility_flags	paper_safe_interpretation_now	next_smallest_publishability_move
unlawful_or_allegedly_unlawful_use	Unlawful or allegedly unlawful use	5	5	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; procedure_posture_mixed	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
security_risk	Security risk	9	9	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
agentic_control_failure	Agentic control failure	9	9	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	overlay_ready_security_7_of_23	single_jurisdiction_concentrated; single_language_concentrated; mixed_authority_with_single_public_dependence; framework_security_slice_global_english_skew	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
institutional_absurdity	Institutional absurdity	3	3	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	queue_or_methods_guardrail	all_single_public_source; translation_caution_exposed; media_heavy_authority_thin	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
public_sector_misuse_or_gap	Public-sector misuse or evidence gap	7	7	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; heterogeneous_surface_not_one_proof_class	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
deepfake_or_synthetic_identity	Deepfake or synthetic identity	3	3	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed; direct_authority_gap	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
legal_procedural_contamination	Legal/procedural contamination	2	3	1	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	pair_only; mixed_authority_with_single_public_dependence; translation_caution_exposed; one_document_anchor_one_broadcaster_anchor	Live duplicate-collapsed lineage count exceeds staged Figure 2 count by 1; do not reuse staged count as live headline prose without a regeneration pass.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
health_medical_or_mental_health	Health, medical, or mental-health misuse	0	0	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	queue_or_methods_guardrail	zero_seed_methods_guardrail	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
education_workplace_or_hr	Education, workplace, or HR	4	5	1	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	mixed_authority_with_single_public_dependence; translation_caution_exposed	Live duplicate-collapsed lineage count exceeds staged Figure 2 count by 1; do not reuse staged count as live headline prose without a regeneration pass.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
finance_insurance_or_market	Finance, insurance, or market	2	2	0	31_visible_rows/23_unique_lineages; 12_seeded_categories/15; 11_authority_backed/1_candidate_only/3_zero_seed	seeded_but_not_overlay_promoted	pair_only; single_jurisdiction_concentrated; single_language_concentrated; authority_anchor_heavy; sector_concentrated_finance_heavy	Staged Figure 2 count matches current live duplicate-collapsed lineage count; remaining risk is denominator-layer confusion, not category-count drift.	Use this row-level delta as the preflight check before any future Figure 2 / Table 2 regeneration; only promote count-bearing prose after the staged heatmap and its dependent surfaces are patched together.
