queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00241	LIMEN-SIGNAL-0D29874400CBCF80	review_queue_summary	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	32	Research-queue row lists public-sector AI themes, not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00242	LIMEN-SIGNAL-0D6FEFEA7DEC54A8	review_queue_summary	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	60	Research-queue row lists AI procurement themes, not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00243	LIMEN-SIGNAL-0D86DE9C7B21D044	atlas_gap_proxy	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	2338	Atlas gap-sprint row names a source family only, not a stable direct surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00244	LIMEN-SIGNAL-0DF520E64C13C439	review_load_summary	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv	28	Country hardening summary aggregates multiple indicators and does not isolate one named source surface here.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00245	LIMEN-SIGNAL-0DF99DCE67E74D6E	review_queue_summary	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	67	Research-queue row lists algorithm-register themes, not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00246	LIMEN-SIGNAL-0E169923E02BD1F7	review_queue_summary	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	137	Country matrix summary discusses visibility and gaps but not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00247	LIMEN-SIGNAL-0E2BBACE2E0D1971	review_queue_summary	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	53	Research-queue row lists public-sector AI themes, not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00248	LIMEN-SIGNAL-0E5339ED87FC1280	review_queue_summary	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	51	Research-queue row lists sandbox themes, not one extracted source surface.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00249	LIMEN-SIGNAL-0E7E25817354132B	review_load_summary	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	40	Country review-load summary aggregates many sources and does not isolate one named source surface here.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract named direct source
BPSE-00250	LIMEN-SIGNAL-0ECC6B60A37F3646	proxy_or_wrapper_row	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	2833	Local row points toward a source family or known surface but does not preserve the reviewable source cleanly.	source-family or wrapper evidence only	extract the named source surface from local artifacts
BPSE-00251	LIMEN-SIGNAL-0EEF361812FEFBB9	proxy_or_wrapper_row	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json	3653	Local row points toward a source family or known surface but does not preserve the reviewable source cleanly.	source-family or wrapper evidence only	extract the named source surface from local artifacts
