signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-35E99D7947A849E4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	153	sha256:858f7706756c352830df771fa13bc6cb62101068213d4fc5b8a5c0cd3699e1f3	"CI,Ivory Coast,35.0,30.9,D thin visibility,0.61,40.0,26.7,33.3,46.7,33.3,17,11,2,0,high,8,10,Medium: candidate score increase review,""I01: Official SNIA 2030 is strong evidence of a national AI policy/implementation roadmap, including governance and; I05: No p"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-35F8D37893E1B596	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/country-readiness/pallas-country-ai-readiness-v0.2.md	151	sha256:5e59e426e87b95e67cf0b9d4e8e75779570505a019f2b8e73f46fa95107c8318	| Public algorithm register / transparency | supported | 279 | The Algorithm Register of the Dutch government - https://algoritmes.overheid.nl/en |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-361A48704FE93637	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	16	sha256:232a19a439b409533a189586d957cdb87111b3c485c569534c34957281e5736b	ACC-NL-015,P0,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,active_register,NL-ALG-95642143,Anonymise,https://algoritmes.overheid.nl/en/algoritme/95642143,200,official HTML listing page plus detail page,yes,resolved_existing_active_source,n	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-361F913D32CD5221	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	29	sha256:11ac7811608a6401fca5628f13f640762212f08c9f6fa3e97ba7ad20903e49a4	"ALL-NL-ALG-REG-0028,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-58166273,""Automatic text recognition """"Loghi"""""",https://algoritmes.overheid.nl/en/algoritme/58166273,In use,deployed_or_production_or_in_use,yes,official Dutch Algorit"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3631AF42FB84DA81	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	66	sha256:5450a6a2eb12045406021e24b29364d9fd9772cbdccca14817dffa1cc1d68c47	"5,AS,American Samoa,Oceania / Antarctic / territories,10,1,5,10,1.000,16,Medium: warning present,""The official American Samoa Government and Fono sources did not reveal AI-specific law, AI implementation, sandbox, or algorithm-register materials in public page"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-36359F665B0ACDFA	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	53	sha256:a84da1d87c53fc9dbc79015173386a23f48ab92c63a0062e82a62213f97c115e	ALL-NL-ALG-REG-0052,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-36469521,Struck AI,https://algoritmes.overheid.nl/en/algoritme/36469521,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk CSV row with	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-36377205B865B80F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	8	sha256:3390b925de1d70acc832368f74af8c3a7966b2670010e72c2d55fa23d530a67c	ALL-NL-ALG-REG-0007,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-94412765,Anonymise,https://algoritmes.overheid.nl/en/algoritme/94412765,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk CSV row with	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3637E2732F421999	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/global-south-brazil-latest.jsonl	4	sha256:966292b77c77137eefc3d5ff2b9b2a29ed589fe83b0c00a82269a9eef4b687fe	"{""access_method"": ""reader-api"", ""already_in_main_dataset"": false, ""category"": ""brazil-pki"", ""content_hash"": ""cf2c001f0e0aad645a7fc042162de4748956beceff57adcba3061a0430e25c5d"", ""content_type"": ""text/plain; charset=utf-8"", ""dates_found"": [], ""domain"": ""www.gov.b"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-363E1F026E3713D8	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.json	3516	sha256:3ee9375f60e5c79f660afe500bb418542c2f9c1323bbb17cea6c15ebb76ba7e0	"text: ""--- title: \""Tyche Thesis Atlas: A Curated Corpus for AI Governance, Standards, and Evidence Infrastructure\"" author: \""Anton Sokolov\"" date: \""2026-06-05\"" --- # Abstract The Tyche Thesis Atlas is a remote-only research corpus for studying AI governa"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-36767FB515ACCA13	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	1422	sha256:b74ecbdc170292971dd7fda1ab19004add923105ca1f00fe1f42fc0ba55d38e3	ALL-CA-AI-REG-0007,CA-AI-REG,Government of Canada AI Register,Canada,2526-CBSA-ASFC-004,Primary Inspection Kiosk,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI R	needs direct source, source-pack resolution, or translation-aware review before example promotion
