queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-01970	LIMEN-SIGNAL-0CEE1018B37CE63D	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	143	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01971	LIMEN-SIGNAL-0DB5A1A3C0C97B81	research_queue_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	116	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01972	LIMEN-SIGNAL-0DEAC2DDF4E61469	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	118	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01973	LIMEN-SIGNAL-0E052B1001F63ECA	research_queue_wrapper	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	170	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01974	LIMEN-SIGNAL-0E0A156193470F03	research_queue_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	160	observability research queue row lists country/topic search prompts rather than a named reviewable source surface	no direct-source claim until named source is extracted	extract the smallest named official/vendor/regulator source or downgrade as gap evidence
BPSE-01975	LIMEN-SIGNAL-0E476A5EAC522852	country_query_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	175	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
BPSE-01976	LIMEN-SIGNAL-0E90658C0271FB13	country_query_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	120	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
BPSE-01977	LIMEN-SIGNAL-0EABA5B18DF7169C	country_query_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	117	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
BPSE-01978	LIMEN-SIGNAL-0F5CBA16A034843A	country_query_pack	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	129	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
BPSE-01979	LIMEN-SIGNAL-121B086E62BB76F0	unresolved_metadata_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1428	Local metadata does not expose a named reviewable source surface.	May claim only that source resolution is required.	Resolve a concrete direct source surface before review.
BPSE-01980	LIMEN-SIGNAL-129042E6FF716371	country_query_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	154	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
BPSE-01981	LIMEN-SIGNAL-12C83E25C6C42ED4	country_query_pack	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	178	Row is a country/query pack listing desired searches, not a named reviewable source surface.	May claim only that a named source still needs extraction.	Resolve one concrete official/institutional source from the query pack.
