queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02714	LIMEN-SIGNAL-94BBA2B952948F50	country_gap_no_parent_source		Atlas country profile placeholder: algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:8893	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02715	LIMEN-SIGNAL-97409C785CD3C63B	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:11552	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02716	LIMEN-SIGNAL-9775F9372A00A863	country_gap_no_parent_source		Observability research queue placeholder: public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:134	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02717	LIMEN-SIGNAL-999DC417CD5A57C1	country_gap_no_parent_source		Observability research queue placeholder: regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:137	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02718	LIMEN-SIGNAL-9A7AC83E7ED03063	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:17833	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02719	LIMEN-SIGNAL-9DA4D2AEA1466B19	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:18293	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02720	LIMEN-SIGNAL-9DF2B33929472CA7	country_gap_no_parent_source		Atlas country profile placeholder: algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:16242	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02721	LIMEN-SIGNAL-A04BD6DB1E688613	country_gap_no_parent_source		Observability research queue placeholder: regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:136	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02722	LIMEN-SIGNAL-A0C7DDAF332EA888	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15630	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02723	LIMEN-SIGNAL-A333E5FB953BD655	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:13026	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02724	LIMEN-SIGNAL-A5E767C672B42F8F	country_gap_no_parent_source		Atlas country profile placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:15536	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02725	LIMEN-SIGNAL-A8F9C4CFE837E8BD	country_gap_no_parent_source		Atlas country profile placeholder: algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:12719	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02726	LIMEN-SIGNAL-ACACBB7AC866DCFF	parent_source_wrapper		Montserrat I08 procurement top_sources (3 explicit URLs)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:16046,16055,16064	Local profile lists multiple explicit procurement parent URLs; human selection or split is needed.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	choose one procurement parent source or split into separate source candidates
BPSE-02727	LIMEN-SIGNAL-AD9500D425D19C46	country_gap_no_parent_source		Observability research queue placeholder: regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:135	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02728	LIMEN-SIGNAL-ADAF94CA912BD934	country_gap_no_parent_source		Observability research queue placeholder: regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:136	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
BPSE-02729	LIMEN-SIGNAL-AFDE9FA0A6856175	country_gap_no_parent_source		Observability research queue placeholder: AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:135	Local country-level gap/profile/queue placeholder has no explicit parent source URL in inspected local context.	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking inference	identify a named source surface before any direct review
