signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-91700762E90EAC9F	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-fields-v0.2.csv	6	sha256:c49ed82a62613f705210bf3edc92ab7d6b7c7bff07b6178118376acba38aeb77	cybersecurity_controls_incident_readiness,Cybersecurity controls and incident-readiness evidence,P0,cybersecurity_controls_and_incident_readiness_evidence,incident-reporting evidence; risk-management file; provenance receipt,provider; security officer; csirt;	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-9181C75EB0CA8ACB	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/global-south-brazil-history.jsonl	13	sha256:afd44539aad8d237e8853446a732551a7ab5dae44c0033cb159ecfd4116fbada	"{""already_in_main_dataset"": false, ""authors"": [""Miguel Oliveira Mirilli""], ""category"": ""scholarly-index-result"", ""container_title"": ""OTC Brasil"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.4043/24339-ms"", ""domain"": ""doi.org"", ""factory_record_id"": ""edd7b1b703"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-918255EE7B86B785	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_CANDIDATE_MATRIX_DELTA.csv	4	sha256:5fc3e05ff6b625c1a8d57f8e4a2c0a1efa814e8326b041072d92d3f6f19108ec	hm-source-hardening,HM,Heard Island and McDonald Islands,I03,1,L,0,L,score_decrease,No public HM-specific AI regulatory sandbox evidence found; parent Australian AI policy pages were not sufficient sandbox evidence in this lane.,TRUE	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-91828C69417743BE	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_COUNTRY_SCORE_DELTA.csv	156	sha256:0cef57448c76461b20818780fee88dff6795af72b8d87bb97e45663c22c80cc0	"TO,I05,0,L,0,M,""Official portal/Citizen Portal/AGO checks found no algorithm register or automated-decision transparency register; confidence improves for absence, not for capability."",true,to-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-918316A82C9F8EB1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-packages/tyche-thesis-atlas-v0.2.3-preprint/analysis/evidence-package/ai-evidence-package-profile-v0.2.schema.json	53	sha256:a5da6b6d177635b07516b33f682e08ffa8a0f8722e56d540ba52ee450f1cabf2	"description: ""Cybersecurity controls and incident-readiness evidence. Cybersecurity requirements are where AI evidence meets operational security, vulnerability handling, and post-quantum transition planning."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-918AAF4F471E1109	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-refresh-v0.2.csv	11	sha256:e6cad29d7ea2680172f01f8f566db04c0caeee1597cfff86da7c5d886af64403	public_algorithm_registers_as_public_schemas,Public-sector AI evidence packages,Public algorithm registers are early public evidence schemas that can be linked to richer verifier-only evidence packages.,Register field extraction and public/private evidence bou	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-918AD0291C076952	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	69	sha256:b03d96a93c781ee5cd7f97a4ea6ceda6331556dbb55f4fafac24534eea225072	PW,Palau,high,D thin visibility,high,Palau AI Act implementation competent authority; Palau algorithm register public sector AI; Palau AI regulatory sandbox; Palau AI procurement public sector guidance; Palau AI audit logs provenance post-market monitoring; Pa	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-918D0944871D4E3C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	2629	sha256:b1a58b57147fe4ad37675b8f1b75081e0e821db43538ae465f062e487d8ecbc5	2. Regulatory sandbox (I03)	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-919390B11063CB8B	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl	42	sha256:cdaf09941c4918a1faeb8c7822466ce0b83439e613d0db0685e42980fced6db1	"{""already_in_main_dataset"": false, ""authors"": [""Marta Boura""], ""category"": ""scholarly-index-result"", ""container_title"": ""Athens Journal of Law"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.30958/ajl.10-3-8"", ""domain"": ""doi.org"", ""factory_record_id"": ""d0ac2da5"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-9194FD77F7F265CA	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-1a7f2679ef4e5517.bin	16	sha256:f4022290c7663ac496c042cc2190665e9c205d49bb44002b103b34eddbb78adf	<title>International House Helsinki Chatbot Into | City of Helsinki AI Register</title>	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-9194FFBE649508E4	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	297	sha256:51d87aeec725b7e0669aeb9f7d7ede1c7efa4efd17a0eddbdb0b9094a5c7ae91	"{""already_in_main_dataset"": false, ""authors"": [""Gary E. Marchant""], ""category"": ""scholarly-index-result"", ""container_title"": ""SSRN Electronic Journal"", ""doi"": ""10.2139/ssrn.6719698"", ""domain"": ""doi.org"", ""is_referenced_by_count"": 0, ""lane"": ""books-theory"", ""la"	needs direct source, source-pack resolution, or translation-aware review before example promotion
