queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-00433	LIMEN-SIGNAL-32D60CD7A7421607	country_gap_no_parent_source		Iran research-queue source targets	OBSERVABILITY_RESEARCH_QUEUE.csv:36	Generic Iran country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named official source is locally added
BPSE-00434	LIMEN-SIGNAL-332AD71C3B142290	country_gap_no_parent_source		Liechtenstein research-queue source targets	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:38	Generic Liechtenstein country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named official source is locally added
BPSE-00435	LIMEN-SIGNAL-341C80AD12EA064E	country_gap_no_parent_source		Zimbabwe research-queue source targets	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:84	Generic Zimbabwe country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named official source is locally added
BPSE-00436	LIMEN-SIGNAL-342B0FB3E93F3EF8	source_url_extracted	https://www.digital.nsw.gov.au/policy/artificial-intelligence/ai-assessment-register	AI assessment register	PALLAS_SECOND_PASS_REVIEW_QUEUE.csv:1559; PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv:55	Review row references NSW register evidence; local AU source-refresh row explicitly lists this URL, with broken-URL caveat.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted URL to bounded source review with broken-link caveat
BPSE-00437	LIMEN-SIGNAL-343D529AE18670A3	country_gap_no_parent_source		Ireland research-queue source targets	OBSERVABILITY_RESEARCH_QUEUE.csv:13	Generic Ireland country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
BPSE-00438	LIMEN-SIGNAL-3443B645511EB15D	country_gap_no_parent_source		Bangladesh research-queue source targets	OBSERVABILITY_RESEARCH_QUEUE.csv:85	Generic Bangladesh country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
BPSE-00439	LIMEN-SIGNAL-34515E51EA679F84	country_gap_no_parent_source		Honduras research-queue source targets	OBSERVABILITY_RESEARCH_QUEUE.csv:24	Generic Honduras country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
BPSE-00440	LIMEN-SIGNAL-34728E7A198D363F	parent_source_wrapper		Estonia-Finland case-study scaffold	PALLAS_GRAND_PROGRAM_RESULTS.md:2044	Internal case-study summary aggregates multiple Estonia/Finland evidence streams and names no single parent-source URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	human/source-resolution pass must choose a concrete cited source before review
BPSE-00441	LIMEN-SIGNAL-34D638458E46875E	country_gap_no_parent_source		Pitcairn Islands research-queue source targets	OBSERVABILITY_RESEARCH_QUEUE.csv:71	Generic Pitcairn Islands country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
BPSE-00442	LIMEN-SIGNAL-34D6B9486465C2E7	source_url_extracted	https://www.gov.uk/algorithmic-transparency-records/natural-england-ai4peat-computer-vision-map	Natural England AI4Peat peat-feature mapping system	v02-coverage-gap-sprint.manifest.json:3292-3305; global-agent-atlas-facts-v0.1.csv:1393	Manifest row names AI4Peat; local Gaia source-pack fact preserves the UK ATRS URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted ATRS URL to bounded source review
BPSE-00443	LIMEN-SIGNAL-3501F34BF0353485	source_url_extracted	https://www.boz.zm/financial-stability/regulatory-sandbox	Regulatory Sandbox	PALLAS_SECOND_PASS_SPRINT_3_HARDENING_SUMMARY.csv:7; PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv:303	Zambia hardening summary points to BoZ sandbox evidence; local source-refresh row explicitly lists the BoZ regulatory-sandbox URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted regulator page to bounded source review
BPSE-00444	LIMEN-SIGNAL-3536B5655E6AB6BC	country_gap_no_parent_source		Ireland research-queue source targets	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:13	Generic Ireland country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
BPSE-00445	LIMEN-SIGNAL-35B19FBF8327BF26	parent_source_wrapper		Fayda Digital ID biometric authentication for social-protection service delivery	v02-gap-sprint.json:2739-2753; global-agent-atlas-facts-v0.1.csv:1015,1188-1189	Gap-sprint row names Fayda but no URL; local source pack has multiple possible parent sources, requiring human selection.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	choose one parent source in a source-resolution pass before review
BPSE-00446	LIMEN-SIGNAL-35FBC74A5FF50501	source_url_extracted	https://dataprotection.govmu.org/Pages/Data%20Subjects/Automated-Individual-decision-making.aspx	Automated Individual decision making	PALLAS_SECOND_PASS_SPRINT_2_CANDIDATE_MATRIX_DELTA.csv:78; PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv:230	Mauritius I10 row mentions automated-decision pages; local source-refresh row explicitly lists the DPO automated-decision URL.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	route extracted DPO page to bounded source review
BPSE-00447	LIMEN-SIGNAL-361B1D4595D91A3C	country_gap_no_parent_source		Antarctica research-queue source targets	PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:44	Generic Antarctica country source-hunting row lists source classes only; no concrete URL is present.	processing-state parent-source URL triage only; no incident truth, legal, safety, compliance, prevalence, or ranking claim	keep as source-hunting gap until a named source is locally added
