signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-819EB1FDBB00E3AB	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-81B58B201DF2655E	negative_evidence_candidate	source_surface_triage	Aggregate country/matrix row records source gaps, warnings, or absence/evidence limits.	bounded aggregate negative-evidence metadata only	retain as negative-evidence candidate or resolve named source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv
LIMEN-SIGNAL-81CF4E756B29377E	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-82490F5CB6410F7F	reject_noise	source_surface_triage	Atlas UI label/derived field, not a named source surface.	no source-surface claim	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-82603AC72946D70B	reject_noise	source_surface_triage	Atlas UI label/derived field, not a named source surface.	no source-surface claim	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-82756F60138CFF20	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-82DAD0859801436D	source_reviewed_candidate	source_surface_triage	Second-pass note names a concrete official/regulator source surface for bounded review.	source-surface existence only	open bounded direct-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-82DC68FCC4160158	reject_noise	source_surface_triage	Markdown section heading only; no source evidence or named surface.	no source-surface claim	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-83105AFCD27803C8	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-8353B45C87DA7D0D	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-83B87ABC66CA0428	negative_evidence_candidate	source_surface_triage	Second-pass local note records bounded absence, weak-source warning, or evidence-limit finding.	bounded local negative-evidence note only	retain as negative-evidence candidate if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-840DED64E1B548A7	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-8411027AFACCC10C	negative_evidence_candidate	source_surface_triage	Second-pass local note records bounded absence, weak-source warning, or evidence-limit finding.	bounded local negative-evidence note only	retain as negative-evidence candidate if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-842EB9525EC77D0A	negative_evidence_candidate	source_surface_triage	Second-pass local note records bounded absence, weak-source warning, or evidence-limit finding.	bounded local negative-evidence note only	retain as negative-evidence candidate if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-843C6C9F8E26EF15	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-847CA062D127F78A	negative_evidence_candidate	source_surface_triage	Weak-source/gap warning records absence or evidence limits rather than a direct source surface.	bounded local negative-evidence note only	retain as negative-evidence candidate if needed	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-8489E52A43E5B4F5	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-848DA38517CB013B	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-8542FC0BAFEDF074	source_reviewed_candidate	source_surface_triage	Source-pack row names a concrete official/regulator source surface with local URL metadata.	source-surface existence only	open bounded direct-source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-854DC3BC21ED32F4	needs_named_source_extraction	source_surface_triage	Research-queue row lists search targets/query pack but no named reviewable source surface.	local query-pack metadata only	extract named source surface before review	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
