signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-455BFEC5F6693A3E	reject_noise	derived_or_internal_artifact	internal manuscript note cites other artifacts rather than naming a direct source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/gaia/tyche-research-vault/notes/nekropolis-publication-program-2026-05-23.md
LIMEN-SIGNAL-455CB229B3C8C8DE	merge_existing_surface	already_modeled_surface	local snapshot names a City of Helsinki AI Register page that is already a modeled register surface	already-modeled surface only; do not count as a new direct-source promotion	deduplicate against the existing modeled surface	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-4eab32bd3c3812da.bin
LIMEN-SIGNAL-455EF637295C3D3E	needs_named_source_extraction	source_proxy_or_wrapper	manifest metadata says algorithm or AI register entry but does not name the underlying source surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/v02-coverage-gap-sprint.manifest.json
LIMEN-SIGNAL-45618B0913430733	needs_named_source_extraction	source_proxy_or_wrapper	country queue row lists several possible public-sector targets but no named reviewable source surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-4562CE56E4E6E389	needs_named_source_extraction	source_proxy_or_wrapper	country queue row lists several possible public-sector targets but no named reviewable source surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-45681D7C9BEBEB92	merge_existing_surface	already_modeled_surface	local snapshot is another City of Helsinki AI Register surface already represented elsewhere in the local registry materials	already-modeled surface only; do not count as a new direct-source promotion	deduplicate against the existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-9b3e4d8c07f744a5.bin
LIMEN-SIGNAL-456CBEEA92EC3CEB	merge_existing_surface	already_modeled_surface	local proxy row points to Amsterdam entries within the already-modeled Dutch Algorithm Register surface	already-modeled surface only; do not count as a new direct-source promotion	deduplicate against the existing modeled surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.csv
LIMEN-SIGNAL-4574C0D29534893B	needs_named_source_extraction	source_proxy_or_wrapper	source document metadata names Canada only and does not expose a concrete official source surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-120-20260603T0704/source_documents.jsonl
LIMEN-SIGNAL-4576D75653DD5230	reject_noise	derived_or_internal_artifact	claim-support digest is a derived evidence note rather than a direct source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193348Z/claim-support-digest.csv
LIMEN-SIGNAL-457D932DDCF94515	needs_named_source_extraction	source_proxy_or_wrapper	country queue row lists multiple Mexico targets but no named reviewable sandbox surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-4584B50FF7287003	reject_noise	derived_or_internal_artifact	scholarly index record is literature metadata rather than a direct official source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-458EA4DA5EC3D53E	needs_named_source_extraction	source_proxy_or_wrapper	country legislation profile is interpretive metadata and does not expose a named direct source surface	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/country_legislation.jsonl
LIMEN-SIGNAL-458F9B1EA10499DA	reject_noise	derived_or_internal_artifact	claim-support JSON is a derived research artifact rather than a direct source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-010/article-a-table-claim-support-v0.1.json
LIMEN-SIGNAL-459465B7D5DD9A91	needs_named_source_extraction	source_proxy_or_wrapper	backup seed config gives a title hint only and not a bounded named source packet for review	possible source family only; underlying named surface still unresolved in local materials	extract the named source title and URL from local provenance before requeueing	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z
LIMEN-SIGNAL-4596021717BEB77D	reject_noise	derived_or_internal_artifact	query seed text is search scaffolding and not a source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-45A166F0658F92EB	negative_evidence_candidate	negative_gap_evidence	weak-source warning records a planned sandbox only and no operational named source surface	negative or absence evidence only; no positive source-existence claim beyond the logged gap statement	retain in negative-evidence or gap-tracking lane	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-45A4401C073FD4AF	source_reviewed_candidate	named_direct_source_surface	local sources table names a concrete Crossref work API record for the NEJM DOI	source-surface existence only; no truth, legality, safety, or prevalence inference	retain for bounded direct-source review	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/sources.md
LIMEN-SIGNAL-45AA37982051B1D8	reject_noise	derived_or_internal_artifact	executive brief prose is internal synthesis rather than a direct source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/briefs/tyche-atlas-v0.2-executive-brief-20260601.md
LIMEN-SIGNAL-45AA94476F5E8644	negative_evidence_candidate	negative_gap_evidence	country review load row is a no-overclaim warning about weak evidence rather than a positive source surface	negative or absence evidence only; no positive source-existence claim beyond the logged gap statement	retain in negative-evidence or gap-tracking lane	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv
LIMEN-SIGNAL-45AC8588A420CB10	reject_noise	derived_or_internal_artifact	scholarly DOI metadata is literature indexing and not a direct source surface for this queue	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl
LIMEN-SIGNAL-45B585E63521FFB9	merge_existing_surface	already_modeled_surface	EU agent-atlas record points to a Helsinki AI Register item already modeled as a local registry surface	already-modeled surface only; do not count as a new direct-source promotion	deduplicate against the existing modeled surface	/srv/tyche/gaia/tyche-research-vault/submissions/eu-agent-atlas-release-2026-06-01/02-zenodo-artifact/artifact/data/eu-agent-atlas-v0.1/records.jsonl
LIMEN-SIGNAL-45C47EDF644FCBE8	reject_noise	derived_or_internal_artifact	scholarly index record is not a direct official source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/spanish-portuguese-language-history.jsonl
LIMEN-SIGNAL-45D1ACEDCAA6B41B	reject_noise	derived_or_internal_artifact	lane manifest query text is search scaffolding and not a source surface	derived/internal artifact only; not a direct source surface	remove from the direct-source review queue	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/lane-manifests/lane-12-international-target-rotation.manifest.json
