signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-C9C8D7A5910A05E2	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T192929Z/claim-support-digest.csv	150	sha256:3f06293f8bac68681a3fdbd4141e9545abb9b2fd544a4d166ea14996beb9ccf5	13cc5c236a7cf15240219246,evidence-package-design,strong,117.2204,use cautiously with cited support,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/papers/03-tyche-thesis-atlas-data-method-v0.2.1.md,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/preprint-p	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D04E4E0A27A04B	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.preview.csv	6	sha256:d9aaec75b2c9011644a3e77dbb0185d776de22837e93c922584c38d8cd948c30	GM-SRC-EUROCITIES-ATS,EUROCITIES-ATS,,Algorithmic Transparency Standard / algorithmregister.org,reference_schema,schema_template,substantive_page,European cities,Europe,,en,https://www.algorithmregister.org/,2026-06-05,licence_unresolved,Public website; standa	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D11DE33745D3BB	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-latest.jsonl	1	sha256:d200e5c6de99a8840f714ecd6855d287367ac846f2c30453318de7f95712522f	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": ""9cf6c99dc3c0920787c42966bc601ace449f9727218e23d8499112a23cab9190"", ""content_type"": ""text/html; charset=utf-8"", ""dates_found"": [], ""domain"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D152CAF4DACFB0	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-arabic-official-seeds-20260605T041340Z	3249	sha256:859361fdfb89b7c4da7039e42e49a08630fa04dc36852924631fa35c72bb2414	"title: ""AESIA guides from the Spanish AI regulatory sandbox pilot"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D590C20F864CCD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_multilingual_exploitation.py.bak-tighten-20260604T045254Z	106	sha256:4537c3c32970ccdf1c93438e28129cc6a37c1395aaf9871d3c1eb29c00df4db6	('Sandbox / experimentation','sandbox evidence plan; controlled-test log; exit report; learning report',['sandbox','regulatory sandbox','sand box','experimentation','test environment','سینڈ باکس','الصندوق التنظيمي']),	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D782C5B8EF1084	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_COUNTRY_SCORE_DELTA.csv	46	sha256:bc6aa7ea07b6ab6e4ce9d46e93f131609710acb95cc4c723f56590ca34e06d24	"MA,I05,0,L,0,M,""Official open-data, ministry and procurement portals were checked for algorithm-register signals; no public algorithm register found in this pass."",true,ma-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9D88C1D1F57E796	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	480	sha256:744aaff8871bbaf6a916d6a783e58215704677c8c664f9d5b563d358d6e80032	6,MH,Marshall Islands,I05,,0,L,0,M,,TRUE,,Official legislation index checked for algorithm/automated-decision evidence and no public algorithm register was found. Keep 0 with improved source trail; absence is public-evidence only.,,,,,,,,mh-source-hardening,co	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9DBC943E0EC4DAA	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_COUNTRY_SCORE_DELTA.csv	4	sha256:ea6b346b85427e876def7c8639d29da391440624d1ec9ba2aeefa7abb038b756	"JM,I03,2,H,2,H,""BOJ 2024 sandbox guidelines and application requirements are strong current official evidence for a mature fintech regulatory sandbox, but not AI-specific. No score change needed."",false,jm-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9DCB309038373A0	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	982	sha256:6d813b9329b591ddbd3a9c9a7414759a8369eef3299dd8dbda1646ab25912ae1	2. I03 regulatory sandbox maturity	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9DD48B8B193C7DC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	1945	sha256:e6c394117b8538b50378200736a6efd574b1e8d2fd7d23c9134436ebd7a0768c	- No public algorithm register, automated decision-system register or comparable public inventory was found.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9DEECCBC8011E07	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-111-20260603T051321/records.jsonl	180	sha256:89fc19e55ab8f2ce677f0b6fc5b165836dbf39da4fb89fb9f27ac812db6b982d	"{""agent_id"": ""converzai-virtual-recruiter"", ""agent_type"": ""enterprise recruiting conversation and workflow agent"", ""article50_flags"": [""direct_interaction_disclosure_possible""], ""audit_logs_provenance_claims"": ""No specific audit-log or provenance claim was rev"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9E51A1BE62244F4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	118	sha256:2c5b99382824c3442d6fedd62b5aa3f0d74519d3c42ee05b152eff04ed91467e	DJ,Djibouti,I03,eJO official journal search: sandbox / bac a sable,Journal Officiel de la République de Djibouti,https://www.journalofficiel.dj/?s=sandbox,2026-05-30,official_legal_gazette_search,negative_evidence,L,Official eJO searches for sandbox and bac a	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9E554B30270641D	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-curated.json	1843	sha256:936b0c61be9e8777e4cb7dfcb81ec2d232f3981c76f7cb40b2e5204ff51d489f	"text: ""ARPCE consultations and Bank of Algeria digital-payments material do not by themselves evidence sandbox maturity.,,,dz-source-hardening,,,,,, 3,DZ,,I04,,1,L,1,M,,true,,\""ISO member profile and IANOR technical-committee pages improve standards-baseline"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9E8EE3E2E7D9A46	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z	2474	sha256:859a26424a37b058a77840ba35c75c42685e1c70cb59257d8d960582bd8ac136	"why: ""SPDX is an established BOM vocabulary that can be extended or compared to AI evidence packages."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C9ED4FF68ABA9634	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	29	sha256:919331bebb9de45690efc580192d7b5cfac57a41105d989e839ed793f2f06b44	1,KY,Cayman Islands,I05,Americas remainder,0,L,0,M,confidence_only,TRUE,Medium,Official searches did not find a public algorithm register or automated-decision-system transparency register. Keep zero with bounded negative-evidence caveat.,,,,,,,,,	needs direct source, source-pack resolution, or translation-aware review before example promotion
