source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://cnbs.gob.hn/hub-de-innovacion-fin	1	LIMEN-SIGNAL-5BB7D35A988EE0F9	bulk_translation_source_review	cnbs.gob.hn	https://www.cnbs.gob.hn/hub-de-innovacion-fin/	Hub de Innovación Financiera de Honduras	regulatory sandbox	Spanish CNBS page supports a fintech innovation hub/consultation surface, not controlled-testing sandbox rules or cohorts.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cnbs.gob.hn/hub-de-innovacion-financiera-de-honduras	1	LIMEN-SIGNAL-E98BA2494FF66E89	bulk_parent_source_extraction	cnbs.gob.hn	https://www.cnbs.gob.hn/hub-de-innovacion-financiera-de-honduras/	CNBS Hub de Innovacion Financiera de Honduras	regulatory sandbox	Rollup explicitly gives CNBS innovation-hub URL; companion BCH URL was 404.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cnil.fr/fr/bac-sable-intelligence-artificielle-et-services-publics-la-cnil-accompagne-8-projets-innovants	2	LIMEN-SIGNAL-637C249ACD0135F3; LIMEN-SIGNAL-81BDD0BF49A56516	bulk_parent_source_extraction; bulk_translation_parent_source_extraction	cnil.fr	https://www.cnil.fr/fr/bac-sable-intelligence-artificielle-et-services-publics-la-cnil-accompagne-8-projets-innovants	Bac à sable intelligence artificielle et services publics: la CNIL accompagne 8 projets innovants	regulatory sandbox	Mayotte hardening summary names the CNIL AI public-services sandbox; source_refresh provides the official CNIL URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cnil.fr/fr/bilan-bac-a-sable-IA-services-publics	1	LIMEN-SIGNAL-B1896500C4D6C69E	bulk_translation_parent_source_extraction	cnil.fr	https://www.cnil.fr/fr/bilan-bac-a-sable-IA-services-publics	CNIL	regulatory sandbox	Local row explicitly provides CNIL AI/public-services sandbox report URL and warns it is French national, not French Guiana-local evidence.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/documento17156738.html	2	LIMEN-SIGNAL-A424D9B84B30D707; LIMEN-SIGNAL-517E660E77A37FBF	bulk_translation_parent_source_extraction; bulk_translation_source_review	consigliograndeegenerale.sm	https://www.consigliograndeegenerale.sm/on-line/home/archivio-leggi-decreti-e-regolamenti/documento17156738.html	Consiglio Grande e Generale	regulatory sandbox	Local source-pack row explicitly gives San Marino law-archive URL for 2026 sandbox framework law.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://cosqc.gov.iq	1	LIMEN-SIGNAL-BE9ECEB5602F2023	bulk_named_source_autoresolve	cosqc.gov.iq	https://cosqc.gov.iq/	cosqc.gov.iq	AI procurement	Local row is a source-pack/proxy/adjacent artifact; extract the named direct source surface first.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://crfm.stanford.edu/2023/03/13/alpaca.html	1	LIMEN-SIGNAL-676F1390E18321D1	bulk_parent_source_extraction	crfm.stanford.edu	https://crfm.stanford.edu/2023/03/13/alpaca.html	Stanford CRFM Alpaca page	retraction	Session note names Stanford Alpaca; local Nekropolis SOURCES ledger gives the CRFM public page URL.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://csrc.nist.gov/pubs/fips/203/final	1	LIMEN-SIGNAL-DE3FEFFA5F2BF89B	bulk_named_source_autoresolve	csrc.nist.gov	https://csrc.nist.gov/pubs/fips/203/final	csrc.nist.gov	regulatory sandbox	semantic-link record is internal linkage metadata, not a named source surface	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://csrc.nist.gov/pubs/fips/204/final	4	LIMEN-SIGNAL-129FF96EDCD30244; LIMEN-SIGNAL-44C774B16B42B544; LIMEN-SIGNAL-6983BFDCDDA40C4B; LIMEN-SIGNAL-E995E7BCDEBB1C70	bulk_named_source_autoresolve	csrc.nist.gov	https://csrc.nist.gov/pubs/fips/204/final	csrc.nist.gov	content provenance; C2PA	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://data.gov.ge	1	LIMEN-SIGNAL-005340A6AD9C4DF7	bulk_named_source_autoresolve	data.gov.ge	https://data.gov.ge/	data.gov.ge	regulatory sandbox	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	noncase_source_surface_context_only	closed_noncase_source_surface	source_family_accounting	Current cluster remains source-surface/context rather than a case-level record.	A concrete public event/finding and direct source passage would be required before reviewed-core consideration.	Not ObscureAI material without case hardening and reviewed-core acceptance.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
