signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-48EC745E8672CC99	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	paper mill	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md	185	sha256:586a63617ed0ab24f910fb0bc959954340842b028bc12b3be8c22c69328c48ec	The current cause taxonomy contains categories for paper mills or third-party involvement, compromised peer review, computer-generated content, plagiarism or attribution, duplication, data/results/methods integrity, ethics/consent/human-subject issues, authors	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48ED43CC1030927B	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv	5	sha256:0859ad0c4000b3275e7243e13ad5b343cd6cd4924942f934a46eb70412c9231b	"IT,Italy,3.0,3,3,3,3,1,M,30,generic_only,0,ai_act_decrees_pending_or_unverified;ai_sandbox_not_confirmed_as_operational;no_central_algorithm_register_found;ai_procurement_guidance_in_consultation;ai_evidence_lifecycle_partial,""Italy shows strong general digita"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48F251C00405C8E4	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-sample-records-v0.2.csv	7	sha256:15715c732db42113510191c76670a65f3201032fce833e7e9cf2f488a7e80ecf	"FI-HEL-AI-SAMPLE-3,FI-HEL-AI,City of Helsinki AI Register,""Helsinki, Finland"",Finland,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,2026-06-05,Parking chatbot,City of Helsinki,yes,partial,partial,partial,no,unknown"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48F34D80BD06B158	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	procurement AI	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-paper-architecture/article-dashboard-thesis-consumer-matrix-v0.1.json	15	sha256:e77dba0e74fb01bc2863a389d8b338d7eb5806234ce27522ed95b490aced465d	"strongest_supportable_claim: ""In the current bounded strict denominator, visible procurement AI signals do not yet yield any high-confidence register links, and that null result is informative as an evidence-infrastructure finding rather than a compliance co"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48F6D329287FA066	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/article-a-table-source-provenance-matrix-v0.1.json	486	sha256:3c2cf06fbafa689a918440f3fc1246d48fdc37acf20116ce6d3f749ffa5a3ebd	"row_source_family_or_pair: ""Hilma + Helsinki AI Register"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-490038D5E7F73413	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	108	sha256:71e19ce88735a3f0f5fc03faee5d2851e7314a1235ab4c2a58d3bdc3de1e7884	"TJ,Tajikistan,38.3,34.9,D thin visibility,0.70,53.3,13.3,66.7,33.3,16.7,21,13,1,0,high,7,10,Medium: gap interpretation,""human review required for I01, I02, I03, I05, I08, I09, I10; weak or indirect source evidence remains for I03, I05, I09"",no_ai_act_law_found"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4912A91BE872E8A5	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/records.jsonl.bak-cycle172	339	sha256:319eeccff2146579f0be8fb57d252aba94982c15d768f995c260e441d823dd0e	"{""agent_id"": ""canada-ircc-chinook-immigration-triage-tool"", ""agent_type"": ""public-sector immigration application triage and officer-support tool"", ""article50_flags"": [""none_or_unknown""], ""audit_logs_provenance_claims"": ""Public evidence gives deployment/capabil"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4912AA9C6121418D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	18	sha256:69d93f9e6e2ac7263e4eb693415e0bea112f4e6a6a13291160ce86f42b8b338c	BO,Bolivia,high,D thin visibility,high,Bolivia AI Act implementation competent authority; Bolivia algorithm register public sector AI; Bolivia AI regulatory sandbox; Bolivia AI procurement public sector guidance; Bolivia AI audit logs provenance post-market mo	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49170882E2F36CFE	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/systematic-literature-screening-20260608.csv	6	sha256:7363e5163e8a66ccdbb68e43b3e6f83e7e4c5e417d43de1c5f5aad19aae65360	"Crossref,registers,""""""algorithm register"""" transparency public sector"",2709287,3,Financial Sector Transparency and Net Interest Margins: Should the Private or Public Sector lead Financial Sector Transparency?,,10.2139/ssrn.3618604,SSRN Electronic Journal,https"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-491C8F98A9C13FE6	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.preview.csv	6	sha256:d9aaec75b2c9011644a3e77dbb0185d776de22837e93c922584c38d8cd948c30	GM-SRC-EUROCITIES-ATS,EUROCITIES-ATS,,Algorithmic Transparency Standard / algorithmregister.org,reference_schema,schema_template,substantive_page,European cities,Europe,,en,https://www.algorithmregister.org/,2026-06-05,licence_unresolved,Public website; standa	needs direct source, source-pack resolution, or translation-aware review before example promotion
