signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-00029C910032ADA5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	1514	sha256:309bd759a0d0732f420df7db2d0e2512f85d6b0a55603ff12a74aaa4b6dd1be2	- I05 algorithm registers: no central public algorithm/AI register was found. DPA transparency sources are only adjacent evidence.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-000E8DA78F1AEC22	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	137	sha256:ddeacbce27a964f778d9dcb026693080795595aec083bd399f9c204c853214ab	ACC-SCOT-006,P0,SCOT-AI-REG,Scottish AI Register,Scotland,active_register,SCOT-46,Dynamic page for all systems - Scottish AI Register,https://scottishairegister.com/ai-system/maxqda-with-ai-assist-for-social-research/46,200,official Scottish AI Register listin	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0024864383C32241	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	18	sha256:69d93f9e6e2ac7263e4eb693415e0bea112f4e6a6a13291160ce86f42b8b338c	BO,Bolivia,high,D thin visibility,high,Bolivia AI Act implementation competent authority; Bolivia algorithm register public sector AI; Bolivia AI regulatory sandbox; Bolivia AI procurement public sector guidance; Bolivia AI audit logs provenance post-market mo	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-003049B85DE6C163	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl	319	sha256:57a903e5d7035b5dddf3928faa263ef41433c495ce8bd504a7bd516fb9c052bf	"{""category"": ""external-index-error"", ""corpus_version"": ""v0.2-working"", ""error"": ""<HTTPError 429: 'Too Many Requests'>"", ""factory_record_id"": ""34ffdbac6de895ac167cb6f8"", ""lane"": ""books-theory"", ""lane_id"": ""books-theory"", ""language_confidence"": ""marker-detected"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-004B3D3A78EF9954	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	623	sha256:365e68e04fdb38cd928b4570a119ef751636ac014af523e6c8015354a503d4da	"7,RE,Reunion,I05,,0,L,0,M,,true,,""Search found national/public examples of algorithm inventories hosted on data.gouv.fr and national CRPA transparency law context, but no official Reunion public algorithm register or systematic transparency practice was verifi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-0062F28CE30A41FF	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv	7	sha256:626b0d9bee7f6158634f2f6c877e1a26f62ec2f0b43c166a5c62564e28315fea	AG,Antigua and Barbuda,I03,Antigua and Barbuda Digital Readiness Analysis,Government of Antigua and Barbuda / UNDP,https://ab.gov.ag/digitaltransformation/pdf/ud_dra_stakholder_workshop_survey/antigua_and_barbuda_digital_readiness_analysis.pdf,2026-05-31,offic	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-00878D0BF063C00C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	138	sha256:21b0ada56fbd45e80b34e9831fb3e8f6d01a0fb7ba2573a4e68bbe1c811001f0	GA,Gabon,I03,Government Presidency ARCEP searches for sandbox terms,Government of Gabon / Presidency / ARCEP,https://gouvernement.ga/,2026-05-30,official_site_searches,negative_evidence,L,Official portal searches for sandbox/bac à sable/fintech did not produce	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-008901EC02C0D766	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	34	sha256:ecdfc88f2799bb74f39d4864589df1a8d46443bc3890b160b03d8107a41a8cce	"IN,India,58.3,55.1,C fragmented but observable,0.81,53.3,33.3,100.0,60.0,66.7,29,24,0,0,high,10,10,Medium: gap interpretation,""human review required for I01, I02, I03, I04, I05, I06, I07, I08, I09, I10"",I01_no_standalone_AI_Act_found;I02_no_single_AI_competent"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-009D24A2B2EA7E95	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	310	sha256:baa42d3b6c43cd8c092802c0ffe4584c8959705b0515dab84aab72ae6d1d62a8	SA,Saudi Arabia,I05,Digital Government Policies,Digital Government Authority (DGA),https://dga.gov.sa/en/regulatory-documents/Digital-government-policies,2026-05-31,official policy page,transparency/governance context only,M,Official DGA URL returned Cloudflar	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-009E40603B9EA0D0	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv	1054	sha256:cc8dd3d0bd7017466819f582fc50a5395971e89a11e54da47ab7f5ac0f042a4a	batch-24-mr-sc,official/legal/regulatory,candidate score-bearing source,source hardening before score update,SC,Seychelles,official/legal/regulatory,Regulatory sandbox,Financial Services Authority Seychelles,https://fsaseychelles.sc/regulatory-sandbox/,undated	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-00A0B2CEF05DBC7B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:27:28Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	2025	sha256:b65736026b1c11c210c12dc2e2783992eec990c8588121d05165682e6d327893	Tokelau is classified as D thin visibility with a raw observability score of 31.7 and a confidence-adjusted score of 27.4. The visible strengths are I02 2/M; I09 2/M. The main thin points are I01 0/L; I03 1/L; I04 1/L; I05 0/L; I06 1/L; I07 1/L. Source confide	needs direct source, source-pack resolution, or translation-aware review before example promotion
