queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BTR-00465	LIMEN-SIGNAL-3E481DC88134CC7D	official_statutory_source	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_SOURCE_REFRESH.csv	149	Row names Chile’s official Ley 20.285 source, but the surface is materially Spanish-language and title-sensitive.	source-surface existence only; no register or legal-effect claim	route to Spanish-capable review of the named statutory source
BTR-00466	LIMEN-SIGNAL-3E640F18A5EF6CF7	translation_sensitive_official_page	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	146	ARMP Gabon legal texts page is a plausible official procurement surface; local evidence is French.	Surface existence/posture only; translation-sensitive local evidence.	queue translation-aware source review
BTR-00467	LIMEN-SIGNAL-3F2121BB037B4C82	translation_sensitive_official_pdf	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	211	MICITT ENIA sandbox plan PDF is a plausible official source; local evidence is Spanish.	Surface existence/posture only; translation-sensitive local evidence.	queue translation-aware source review
BTR-00468	LIMEN-SIGNAL-3F95E79219FF759B	translation_sensitive_official_guidance	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	48	Malaysia government AI governance guidelines are official but local evidence is Malay-sensitive.	Surface existence/posture only; translation-sensitive local evidence.	queue translation-aware source review
BTR-00469	LIMEN-SIGNAL-3FF42E02A5251AD5	translation_sensitive_official_guidance	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	98	ETDA Generative AI guideline is official but local evidence is Thai.	Surface existence/posture only; translation-sensitive local evidence.	queue translation-aware source review
BTR-00470	LIMEN-SIGNAL-40E755190C193C44	translation_sensitive_official_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	178	Named ETDA AI Governance Center official page appears in Thai and needs translation-aware review.	source-surface existence only after translation-sensitive check	queue translation-aware source-surface review
BTR-00471	LIMEN-SIGNAL-415057CA958E96E4	translation_sensitive_official_surface	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1032	Named AFA Innovació & FinTech regulator page is plausible but Catalan-language and translation-sensitive.	source-surface existence only after translation-sensitive check	queue translation-aware source-surface review
BTR-00472	LIMEN-SIGNAL-41805BF49FBD8AA5	translation_sensitive_official_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	180	Named Malaysia government AI guidance page is official but Malay-language and translation-sensitive.	source-surface existence only after translation-sensitive check	queue translation-aware source-surface review
BTR-00473	LIMEN-SIGNAL-42B656C6F40D6D50	non_english_direct_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	122	Official Talgildu Føroyar strategy page is materially non-English and translation-sensitive.	surface existence only translation-sensitive	route for translation-aware review
BTR-00474	LIMEN-SIGNAL-42D2FAC3186C52B1	non_english_direct_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southern-europe-language-history.jsonl	98	Local multilingual record names the Italian Garante Privacy AI page and is translation-sensitive.	surface existence only translation-sensitive	route for translation-aware review
BTR-00475	LIMEN-SIGNAL-4376D8A62B4337B9	non_english_direct_surface	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1863	Official AGETIC page is Spanish-titled and should be translation-reviewed before bounded source use.	surface existence only translation-sensitive	route for translation-aware review
BTR-00476	LIMEN-SIGNAL-43C456266673042A	non_english_direct_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/persian-urdu-language-history.jsonl	17	Local Persian official-source seed is plausible direct evidence but translation-sensitive and locally timed out.	surface existence only translation-sensitive	route for translation-aware review
BTR-00477	LIMEN-SIGNAL-44DAF0B5BDD96FA3	non_english_official_surface	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	712	Named official source is local (Peru AI law regulation guidance page), but the evidence is materially non-English and translation-sensitive.	source-surface existence only, pending translation-aware confirmation	route to translation-aware source review with bounded context
BTR-00478	LIMEN-SIGNAL-453B0212E2836854	non_english_official_surface	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SOURCE_REFRESH.csv	89	Named official source is local (Marchés publics de la Nouvelle-Calédonie), but the evidence is materially non-English and translation-sensitive.	source-surface existence only, pending translation-aware confirmation	route to translation-aware source review with bounded context
BTR-00479	LIMEN-SIGNAL-4634EDD4CA9BDE6C	translation_sensitive_direct_source	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/southeast-asian-language-records.jsonl	166	local JSONL row names a direct multilingual official source with non-English original-language handling	direct source surface appears local but interpretation is translation-sensitive	route to translation-aware source review
BTR-00480	LIMEN-SIGNAL-4652AA5F4587A6AF	translation_sensitive_direct_source	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/dutch-belgian-language-history.jsonl	45	local row names the Dutch Government Algorithm Register and flags translation-sensitive multilingual handling	direct source surface appears local but interpretation is translation-sensitive	route to translation-aware source review
