signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-0FE73CF539C11F67	negative_evidence_candidate	official_portal_negative_search	Official e-services portal only; snippet says no public algorithm register.	bounded absence/evidence-limit only; no broader jurisdiction or compliance inference	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv
LIMEN-SIGNAL-0FEB6AD8BB354F39	merge_existing_surface	existing_registry_surface	Canada AI Register record already sits in a modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/stratified-record-review-frame-20260608.csv
LIMEN-SIGNAL-100C6A9254B06E34	translation_review_needed	translated_law_export	Foreign-language law export names a direct instrument but needs translation-safe review.	translation-sensitive source-surface review only; no policy/legal conclusion from machine translation	route to translation-aware source review	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/laws.jsonl.bak-cycle-347-active-lanes-61-foreign-language-and-pacific-law-hardening
LIMEN-SIGNAL-10148BBDEEB22C0B	reject_noise	translation_digest_theme	Digest theme line names no reviewable source surface.	derived/internal artifact only; not suitable for direct-source promotion	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/daily/gaia-foreign-language-digest-latest.json
LIMEN-SIGNAL-101567E8B0F094D0	reject_noise	derived_country_summary	Confidence-burden summary is a derived country narrative, not a named source.	derived/internal artifact only; not suitable for direct-source promotion	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json
LIMEN-SIGNAL-101A306C15CB4DA5	negative_evidence_candidate	official_site_search_negative	Official AKSHI site search is a bounded negative-result surface.	bounded absence/evidence-limit only; no broader jurisdiction or compliance inference	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv
LIMEN-SIGNAL-1021364B07046FD1	negative_evidence_candidate	official_portal_negative_search	Official open-data portal search is local negative evidence only.	bounded absence/evidence-limit only; no broader jurisdiction or compliance inference	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv
LIMEN-SIGNAL-10286E467AF74872	needs_named_source_extraction	derived_page_reference	Derived facts row points to an eGovAI developer page but does not preserve the named source cleanly.	metadata points toward a source but no named reviewable direct surface is preserved yet	extract named direct source from local artifact	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-289-active-lanes-34-bahrain-parliamentary-chatbot-use-case/facts.jsonl
LIMEN-SIGNAL-102B6B3F1CA0DAEC	merge_existing_surface	existing_registry_surface	Dutch Algorithm Register record duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-102E87A9F3F4EBDC	translation_review_needed	translated_law_digest	Digest points to named deep-synthesis provisions but the local evidence is translation-sensitive.	translation-sensitive source-surface review only; no policy/legal conclusion from machine translation	route to translation-aware source review	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json
LIMEN-SIGNAL-104124579E0721AF	negative_evidence_candidate	official_portal_negative_search	Official government root was used as a bounded negative source check.	bounded absence/evidence-limit only; no broader jurisdiction or compliance inference	retain as bounded negative evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_6_SOURCE_PACK.csv
LIMEN-SIGNAL-104332C2A7D401AD	needs_named_source_extraction	monitor_wrapper	Governance-monitor history row points to a legislation database, not the underlying direct source.	metadata points toward a source but no named reviewable direct surface is preserved yet	extract named direct source from local artifact	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl
LIMEN-SIGNAL-104FC2B87FD36E1B	merge_existing_surface	existing_registry_surface	Dutch register depth-audit row duplicates an already modeled registry surface.	dedupe to existing modeled surface only; no new substantive source claims	dedupe to existing surface record	/srv/tyche/projects/public-ai-registry/data/record-level-depth-audit-v0.11.csv
