signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-BF0A2D3C9627E8E1	translation_review_needed	translation_sensitive_surface	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/manuscript.md
LIMEN-SIGNAL-BF0AA38EABAFFB8C	merge_existing_surface	existing_registry_surface	Derived row duplicates an already-modeled registry/register surface.	reuse the canonical surface only	deduplicate to existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-BF0B91148FBB13E2	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/draft.md
LIMEN-SIGNAL-BF1BAADB32D8A675	merge_existing_surface	existing_registry_surface	Derived row duplicates an already-modeled registry/register surface.	reuse the canonical surface only	deduplicate to existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv
LIMEN-SIGNAL-BF22070F249B3E78	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-BF2D014855B988BB	needs_named_source_extraction	source_pack_or_proxy_row	Local packet points toward a source but does not expose one named reviewable surface yet.	named-surface extraction only	extract canonical source title and URL locally	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T193210Z/claim-support-digest.json
LIMEN-SIGNAL-BF30C64960BF3300	needs_named_source_extraction	source_pack_or_proxy_row	Local packet points toward a source but does not expose one named reviewable surface yet.	named-surface extraction only	extract canonical source title and URL locally	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-BF674B5140F716E4	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/source-rights-capture-mode-appendix-mini-table-v0.1.csv
LIMEN-SIGNAL-BF67B013E46D2C35	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/mcmc.gov.my-808be6e10f923475.bin
LIMEN-SIGNAL-BF7B26F7BADF44E8	merge_existing_surface	existing_registry_surface	Derived row duplicates an already-modeled registry/register surface.	reuse the canonical surface only	deduplicate to existing surface record	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-018/ca-ai-reg-gap-row-starter-pack-v0.1.csv
LIMEN-SIGNAL-BF7FFBF9E3A25B3E	source_reviewed_candidate	patent_or_register_surface	Row names a concrete patent/register surface reviewable as a direct source.	source-surface existence review only	keep in direct source review queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/patents/combined-patent-index-v0.2.csv
LIMEN-SIGNAL-BF80952B713D5A60	needs_named_source_extraction	source_pack_or_proxy_row	Local packet points toward a source but does not expose one named reviewable surface yet.	named-surface extraction only	extract canonical source title and URL locally	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-015/court-route-blocker-ladder.tsv
LIMEN-SIGNAL-BF84927617AB85C0	translation_review_needed	translation_sensitive_surface	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/south-asian-language-latest.jsonl
LIMEN-SIGNAL-BF87ABF9816E514F	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/09-eu-official-radar-comparison/paper/venue/bds-ai-governance-observability-anon.md
LIMEN-SIGNAL-BF8B9AF60B9DA210	translation_review_needed	translation_sensitive_surface	Row names a plausible direct source but local evidence is translation-sensitive.	translation-safe source-surface review only	route to translation-aware source review	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md
LIMEN-SIGNAL-BF96A6686370D0A2	needs_named_source_extraction	source_pack_or_proxy_row	Local packet points toward a source but does not expose one named reviewable surface yet.	named-surface extraction only	extract canonical source title and URL locally	/srv/tyche/pallas/pallas-ai-agent-observatory/program/10-pallas-gaia-bridge/data/pallas_gaia_agent_observability_stress_test.csv
LIMEN-SIGNAL-BF9E8A9BBE3206EE	negative_evidence_candidate	negative_summary_row	Local row records search-negative, gap, or weak-source evidence.	absence/gap signal only	keep as negative evidence, not direct source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-BFA262AFB97B39F1	reject_noise	internal_or_derived_noise	Internal or derived artifact is not a direct source surface.	not a direct-source queue item	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-fields-v0.2.jsonl
