signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-42163DB412BC883D	needs_named_source_extraction	proxy_or_wrapper_surface	Wrapper/proxy metadata in PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md
LIMEN-SIGNAL-422DA9409E09A626	reject_noise	derived_or_internal_noise	next.md is an internal, manuscript, aggregate, or scholarly artifact rather than a direct-source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/projects/public-ai-registry/next.md
LIMEN-SIGNAL-4230C39475D9F58D	negative_evidence_candidate	negative_evidence_row	Local row is a negative or evidence-limit artifact from PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv, not a direct source surface.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_COUNTRY_MATRIX.csv
LIMEN-SIGNAL-4238B97DEDCE3E78	negative_evidence_candidate	negative_evidence_row	Local row is a negative or evidence-limit artifact from country-readiness-world-matrix.json, not a direct source surface.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/country-readiness-world-matrix.json
LIMEN-SIGNAL-423AF204EE3B6B27	negative_evidence_candidate	negative_evidence_row	Local row records bounded negative evidence: not found,PUBLIC_REGISTER_WEAK,1,1,ES.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-gap-flag-normalization-v0.1.csv
LIMEN-SIGNAL-4240EC4BDFA076C7	reject_noise	derived_or_internal_noise	sandboxes-cases-latest.jsonl is an internal, manuscript, aggregate, or scholarly artifact rather than a direct-source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-424208CF0BA26B69	negative_evidence_candidate	negative_evidence_row	Local row records bounded negative evidence: no official public cross-sector AI or AI Act-style sandbox found in this pass. Bank page could not be revalidated due 40.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_COUNTRY_SCORE_DELTA.csv
LIMEN-SIGNAL-4242D93EEC0C1397	needs_named_source_extraction	proxy_or_wrapper_surface	Wrapper/proxy metadata in OBSERVABILITY_RESEARCH_QUEUE.csv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-424305C5F4206F33	needs_named_source_extraction	proxy_or_wrapper_surface	Wrapper/proxy metadata in claim-support-digest.json points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193348Z/claim-support-digest.json
LIMEN-SIGNAL-42451DB7139A95BF	negative_evidence_candidate	negative_evidence_row	Local row records bounded negative evidence: broken. The current NSW AIAF supports agency AI-register practice for high/critical use cases, but not a public federal.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_16_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-4250959B6B907EF3	merge_existing_surface	duplicate_existing_surface	Seed row duplicates the Netherlands Algorithm Register, which is already represented locally with a direct URL.	dedupe to existing surface only	merge into existing modeled surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-425B2D2566294A7A	needs_named_source_extraction	proxy_or_wrapper_surface	Wrapper/proxy metadata in security-agentic-watch-v0.1.tsv points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source	/srv/tyche/projects/limen-ai-edge-case-atlas/results/security/security-agentic-watch-v0.1.tsv
LIMEN-SIGNAL-42672B87C67D844B	needs_named_source_extraction	proxy_or_wrapper_surface	Wrapper/proxy metadata in claim-support-curated.json points toward a source but does not expose one named reviewable surface yet.	needs named source before review	extract one named underlying source	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T193210Z/claim-support-curated.json
LIMEN-SIGNAL-42685777D0151951	negative_evidence_candidate	negative_evidence_row	Local row records bounded negative evidence: no live public algorithm register was located.,,,,cr-source-hardening,none.	bounded absence/evidence-limit only	route to negative-evidence queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv
LIMEN-SIGNAL-426D6D202731E138	reject_noise	derived_or_internal_noise	project-paper-lab-matrix-v0.1.csv is an internal, manuscript, aggregate, or scholarly artifact rather than a direct-source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/programme/project-paper-lab-matrix-v0.1.csv
LIMEN-SIGNAL-427301634767865B	merge_existing_surface	duplicate_existing_surface	Semantic-link row points to the already-modeled Amsterdam Algorithm Register surface.	dedupe to existing surface only	merge into existing modeled surface	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-semantic-links-v0.2.jsonl
