signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-22A0189D753F3E11	negative_evidence_candidate	negative_or_gap_surface	Local metadata records a bounded negative/gap check tied to PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv, not a promotable positive source surface.	bounded negative/gap evidence only	retain as bounded negative evidence; do not promote as positive surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_9_SOURCE_REFRESH.csv
LIMEN-SIGNAL-22A0F20CF6DF482D	merge_existing_surface	existing_modeled_surface	Local row points to already-modeled surface Government of Canada AI Register; dedupe record-level or wrapper entry.	dedupe to existing local source surface only	merge into existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-candidates-20260607.csv
LIMEN-SIGNAL-22BD283893AFB6C1	source_reviewed_candidate	direct_source_surface	Local metadata names direct official/institutional surface CBSL FinTech Regulatory Sandbox Framework page suitable for bounded source-surface review.	named source-surface existence and bounded posture only	review named source page/PDF only	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv
LIMEN-SIGNAL-22C09DFE0AEC65AA	merge_existing_surface	existing_modeled_surface	Local row points to already-modeled surface Algorithm Register of the Dutch government; dedupe record-level or wrapper entry.	dedupe to existing local source surface only	merge into existing surface record	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-22CD4D06EA1FFAB7	reject_noise	derived_or_internal_noise	Local artifact books-theory-latest.jsonl is derived, internal, or scholarly rather than a direct public source surface for this queue.	no direct-source claim from this artifact	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-22CFCE84439E650D	source_reviewed_candidate	direct_source_surface	Local metadata names direct official/institutional surface EUR-Lex page suitable for bounded source-surface review.	named source-surface existence and bounded posture only	review named source page/PDF only	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/verification/p0-source-packs/p0-verification-source-packs-v0.2.md
LIMEN-SIGNAL-22D7787DC3CEED9E	source_reviewed_candidate	direct_source_surface	Local metadata names direct official/institutional surface Accelerate Estonia experimentation framework page suitable for bounded source-surface review.	named source-surface existence and bounded posture only	review named source page/PDF only	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/staged-preprint-packages/atlas-data-method-staged-package-20260607T080358Z/sources/sources.md
LIMEN-SIGNAL-22D93F6938913414	needs_named_source_extraction	wrapper_or_proxy	Local artifact points toward a source family but does not yet expose a stable named review surface; extract from evidence-delta.json.	source-family pointer only until named surface is extracted	extract named source surface and direct URL from local artifact	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/evidence-delta.json
LIMEN-SIGNAL-22EF3E5360BE64FD	translation_review_needed	translation_sensitive_surface	Local metadata points to plausible direct surface PALLAS_READINESS_WORLD_SOURCE_PACK.csv, but language-sensitive handling is needed before bounded review.	surface existence only pending language-aware review	route to translation-aware source review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-230CD763DCE849E2	merge_existing_surface	existing_modeled_surface	Local row points to already-modeled surface Government of Canada AI Register; dedupe record-level or wrapper entry.	dedupe to existing local source surface only	merge into existing surface record	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-231347060CC847D6	negative_evidence_candidate	negative_or_gap_surface	Local metadata records a bounded negative/gap check tied to PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv, not a promotable positive source surface.	bounded negative/gap evidence only	retain as bounded negative evidence; do not promote as positive surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-2317CDA3EE2F4774	needs_named_source_extraction	wrapper_or_proxy	Local artifact points toward a source family but does not yet expose a stable named review surface; extract from claim-support-curated.json.	source-family pointer only until named surface is extracted	extract named source surface and direct URL from local artifact	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-curated.json
LIMEN-SIGNAL-23260D2896D6AF86	negative_evidence_candidate	negative_or_gap_surface	Local metadata records a bounded negative/gap check tied to PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv, not a promotable positive source surface.	bounded negative/gap evidence only	retain as bounded negative evidence; do not promote as positive surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv
LIMEN-SIGNAL-233A041C0B7357F1	negative_evidence_candidate	negative_or_gap_surface	Local metadata records a bounded negative/gap check tied to PALLAS_READINESS_WORLD_SOURCE_PACK.csv, not a promotable positive source surface.	bounded negative/gap evidence only	retain as bounded negative evidence; do not promote as positive surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-233ABAEBB6037287	needs_named_source_extraction	wrapper_or_proxy	Local artifact points toward a source family but does not yet expose a stable named review surface; extract from www.jdn.gov.my-f924004cb4c399c0.html.	source-family pointer only until named surface is extracted	extract named source surface and direct URL from local artifact	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/snapshots/www.jdn.gov.my-f924004cb4c399c0.html
