objection_id	cluster_id	cluster_status	authority_band	hostile_reviewer_confidence	graph_review_surface_status	materialized_vs_expected_edges	reviewer_objection	evidence_response	publication_safe_claim	not_safe_to_claim	primary_support	visual_or_manuscript_hook	next_smallest_publishability_move	as_of_utc
DUP-HRO-001	REVIEW-IDCOLLISION-LIMEN-000001	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	3/3	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-002	REVIEW-IDCOLLISION-LIMEN-000002	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	3/3	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-003	REVIEW-IDCOLLISION-LIMEN-000003	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	1/1	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-004	REVIEW-IDCOLLISION-LIMEN-000004	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	1/1	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-005	REVIEW-IDCOLLISION-LIMEN-000005	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	1/1	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-006	REVIEW-IDCOLLISION-LIMEN-000006	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	1/1	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-007	REVIEW-IDCOLLISION-LIMEN-000007	identifier_collision_blocker	high_document_or_authoritative_bundle	high	graph_expected_identifier_collision	1/1	A reviewer may say Figure 4 mixes true recurrence with schema noise.	Identifier-collision edges are explicit join-safety controls with file-qualified case keys and do not represent same-event duplication.	LIMEN can claim Figure 4 includes a bounded schema-governance layer that prevents false joins across unrelated lineages.	Do not call these edges duplicates, recurrence, or empirical event clusters.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 legend / methods join-safety note	Patch any Figure 4 consumer that still calls collision blockers duplicate evidence.	2026-06-08T09:50:06Z
DUP-HRO-008	REVIEW-NOMERGE-CODEEXEC-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	medium-high	graph_expected_reviewed_nonmerge	1/1	A reviewer may say the overlay edges overclaim recurrence or prevalence.	Reviewed non-merge edges are bounded subtype-preserving overlays: distinct products, actors, or records with a narrow shared failure mode or authority family, kept separate in the ledger.	LIMEN can claim bounded repeated failure-mode or regulator-family patterns without collapsing cases into one event.	Do not convert these overlays into prevalence claims, same-event duplicates, or category-completeness proof.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 overlay caption / reviewer-response appendix	Prefer one exact overlay-specific caption sentence for each reused reviewed non-merge edge.	2026-06-08T09:50:06Z
DUP-HRO-009	REVIEW-NOMERGE-CODEEXEC-002	reviewed_not_duplicate	high_document_or_authoritative_bundle	medium-high	graph_expected_reviewed_nonmerge	1/1	A reviewer may say the overlay edges overclaim recurrence or prevalence.	Reviewed non-merge edges are bounded subtype-preserving overlays: distinct products, actors, or records with a narrow shared failure mode or authority family, kept separate in the ledger.	LIMEN can claim bounded repeated failure-mode or regulator-family patterns without collapsing cases into one event.	Do not convert these overlays into prevalence claims, same-event duplicates, or category-completeness proof.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 overlay caption / reviewer-response appendix	Prefer one exact overlay-specific caption sentence for each reused reviewed non-merge edge.	2026-06-08T09:50:06Z
DUP-HRO-010	REVIEW-NOMERGE-CREWAI-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	medium-high	graph_expected_reviewed_nonmerge	1/1	A reviewer may say the overlay edges overclaim recurrence or prevalence.	Reviewed non-merge edges are bounded subtype-preserving overlays: distinct products, actors, or records with a narrow shared failure mode or authority family, kept separate in the ledger.	LIMEN can claim bounded repeated failure-mode or regulator-family patterns without collapsing cases into one event.	Do not convert these overlays into prevalence claims, same-event duplicates, or category-completeness proof.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 overlay caption / reviewer-response appendix	Prefer one exact overlay-specific caption sentence for each reused reviewed non-merge edge.	2026-06-08T09:50:06Z
DUP-HRO-011	REVIEW-NOMERGE-ICO-001	reviewed_not_duplicate	high_document_or_authoritative_bundle	medium-high	graph_expected_reviewed_nonmerge	1/1	A reviewer may say the overlay edges overclaim recurrence or prevalence.	Reviewed non-merge edges are bounded subtype-preserving overlays: distinct products, actors, or records with a narrow shared failure mode or authority family, kept separate in the ledger.	LIMEN can claim bounded repeated failure-mode or regulator-family patterns without collapsing cases into one event.	Do not convert these overlays into prevalence claims, same-event duplicates, or category-completeness proof.	results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-059/duplicate-claim-use-confidence-board.tsv; results/dashboard/duplicate-review-graph.tsv; results/clusters/status.md	Figure 4 overlay caption / reviewer-response appendix	Prefer one exact overlay-specific caption sentence for each reused reviewed non-merge edge.	2026-06-08T09:50:06Z
