queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00889	LIMEN-SIGNAL-9C80C541701F149C	direct_surface_candidate	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	21	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00890	LIMEN-SIGNAL-9C8835E31D16333B	direct_surface_candidate	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	74	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00891	LIMEN-SIGNAL-9C8B37EC2CCB501D	direct_surface_candidate	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	72	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00892	LIMEN-SIGNAL-9C9324BB05AECF12	needs_source_resolution	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	1890	Country profile implies sources but names no reviewable surface.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00893	LIMEN-SIGNAL-9C9C36AA1A6EEA19	direct_surface_candidate	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	666	Country profile implies sources but names no reviewable surface.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00894	LIMEN-SIGNAL-9CA82C4328467ACF	direct_surface_candidate	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	43	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00895	LIMEN-SIGNAL-9CE242B44100B88B	direct_surface_candidate	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	76	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00896	LIMEN-SIGNAL-9DB688EDE9CBCD09	direct_surface_candidate	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	31	Research-queue row is a country prompt, not a named source.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00897	LIMEN-SIGNAL-9E300A856082541B	direct_surface_candidate	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	30	Country matrix suggests underlying Dutch sources without naming one here.	underlying source may exist, but this row does not expose it yet	extract named source from local artifact
BPSE-00898	LIMEN-SIGNAL-9E711246BC490E71	wrapper_or_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	84	Country queue row lists query targets only and does not expose a named direct source surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00899	LIMEN-SIGNAL-9E71FCD4E9B7C74E	wrapper_or_proxy	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/cause-comparability-evidence-type-table-20260520T174625Z.json	40	Evidence-type summary names source families like Retraction Watch but not a specific reviewable source record.	metadata names a source family only	extract named source from local packet
BPSE-00900	LIMEN-SIGNAL-9E9021945A4862FF	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_CANDIDATE_MATRIX_DELTA.csv	114	Derived matrix row names ASIC Enhanced Regulatory Sandbox but still points through local synthesis rather than a direct packet.	metadata names a source family only	extract named source from local packet
BPSE-00901	LIMEN-SIGNAL-9E9BEC44CFE6B29F	wrapper_or_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	37	Country queue row lists possible Jordan sources but does not name a concrete reviewable surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00902	LIMEN-SIGNAL-9EC58FBBF68EFBAC	wrapper_or_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_COUNTRY_SCORE_DELTA.csv	96	Derived score row mentions official data.gouv.fr inventories but does not cleanly expose a single named source surface.	metadata names a source family only	extract named source from local packet
BPSE-00903	LIMEN-SIGNAL-9F1FE730A5E71212	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	86	Country queue row lists American Samoa source targets only and does not expose a named direct surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00904	LIMEN-SIGNAL-9F7DF60BA9CFC89F	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	42	Country queue row lists Algeria source targets only and does not expose a named direct surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00905	LIMEN-SIGNAL-9F8A2CBEFCF292CF	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	43	Country queue row lists Angola targets only and does not expose a named direct source surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00906	LIMEN-SIGNAL-9FC7E7B86C014CFE	wrapper_or_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	58	Country queue row lists Gibraltar targets only and does not expose a named direct source surface yet.	metadata names a source family only	extract named source from local packet
BPSE-00907	LIMEN-SIGNAL-9FDEE5DAAD895DFD	wrapper_or_proxy	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	1616	Country profile bundles several Puerto Rico source examples but does not isolate one reviewable source surface here.	metadata names a source family only	extract named source from local packet
BPSE-00908	LIMEN-SIGNAL-A002486076C537B3	index_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	4476	Index/record row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first
BPSE-00909	LIMEN-SIGNAL-A00D5B96F8944902	index_row	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	21	Index/record row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first
BPSE-00910	LIMEN-SIGNAL-A013C0985AC8A637	source_pack_or_country_profile	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	141	Delta row points toward a named regulator context but does not itself expose the reviewable official surface.	Only source-direction or proxy linkage may be claimed from this row.	extract the named direct regulator source from local metadata first
BPSE-00911	LIMEN-SIGNAL-A03DAC32D80BE8F1	index_row	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	88	Index/record row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first
