row_id	signal_id	promotion_gate	promotion_priority	source_surface_class	source_review_role	shards	queries	source_path	source_line	title_or_snippet	source_review_reason	claim_ceiling	required_hardening_step	forbidden_overread
SRPH-01049	LIMEN-SIGNAL-BD7547FB635F1A22	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	606	"7,VU,Vanuatu,I03,,1,L,2,H,,TRUE,,""RBV official National Regulatory Sandbox Guideline verifies a functioning regulatory sandbox framework with application, testing/monitoring, reporting, and exit controls; scope appears fintech/payments, not"	RBV National Regulatory Sandbox Guideline is a named official source surface with clear scope boundary	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01050	LIMEN-SIGNAL-C0B4A5534C226F4E	needs_named_url_extraction	P3	regulator_or_public_authority	named_official_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_COUNTRY_SCORE_DELTA.csv	144	"RW,I03,1,L,2,M,""Official BNR regulatory sandbox page and Regulation No 41/2022 verify a formal fintech regulatory sandbox with live testing safeguards. It is sectoral and not AI-specific, so human review should decide whether PALLAS sandbox"	Local metadata names a concrete official source surface (BNR) suitable for bounded surface review.	Surface existence and source posture only from local metadata; no broader inference.	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01051	LIMEN-SIGNAL-C1475AF9FD395C26	needs_named_url_extraction	P3	regulator_or_public_authority	official_direct_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1574	"<ul class=""nav navbar-nav""><li><a href=""#section-what-the-regulatory-sandbox-offers"">What the Regulatory Sandbox offers</a></li><li><a href=""#section-who-is-the-regulatory-sandbox-for"">Who is the Regulatory Sandbox for</a></li><li><a href="""	Local HTML identifies the FCA Regulatory Sandbox via canonical fca.org.uk metadata; concrete official sandbox surface.	source-surface existence only; no deployment, legality, prevalence, or safety inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01052	LIMEN-SIGNAL-C4741FC256D3B135	needs_named_url_extraction	P3	regulator_or_public_authority	official_regulator_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_CANDIDATE_MATRIX_DELTA.csv	98	"SC,Seychelles,I03,1,L,2,M,score_and_confidence_change,ready_for_human_review__positive_candidate,TRUE,""Official FSA page verifies a sectoral regulatory sandbox and a listed participant, plus sandbox-exemption guidelines listing. This harden"	row names an official FSA regulatory sandbox page and listed participant as the concrete surface	source-surface existence only; do not infer truth, legality, safety, compliance, prevalence, or ranking	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01053	LIMEN-SIGNAL-C5FE01B12A8C93A6	needs_named_url_extraction	P3	regulator_or_public_authority	direct_official_surface	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-international-20260603T133212Z	1802	"title: ""Singapore MAS FinTech Regulatory Sandbox"","	Seed line names the Singapore MAS FinTech Regulatory Sandbox official page.	must resolve direct public source before promotion	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01054	LIMEN-SIGNAL-C63FDD6BAB5873DF	needs_named_url_extraction	P3	regulator_or_public_authority	official sandbox page	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md	89	- Strong source exists for the Central Bank of Bahrain fintech regulatory sandbox.	names Central Bank of Bahrain fintech regulatory sandbox as a concrete official surface	surface existence only; no legality or deployment inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01055	LIMEN-SIGNAL-C7251753713BED2F	needs_named_url_extraction	P3	regulator_or_public_authority	official sandbox page	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	122	"2,SC,Seychelles,I03,,1,L,2,M,,TRUE,,""Official FSA page verifies a sectoral regulatory sandbox and a listed participant, plus sandbox-exemption guidelines listing. This hardens sandbox evidence but it is financial/digital-asset, not AI-speci"	local review row names an official Seychelles FSA sandbox surface	surface existence only; not an AI-specific sandbox claim	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01056	LIMEN-SIGNAL-C935BFD2186FCF01	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md	684	- SECP has an official regulatory sandbox and guidelines. This is a useful regulatory innovation signal.	SECP sandbox/guidelines are named as a concrete regulator source surface.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01057	LIMEN-SIGNAL-C947D9E8254F2160	needs_named_url_extraction	P3	regulator_or_public_authority	direct_source_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	979	10,IQ,Iraq,I03,,0,L,1,M,,true,,Central Bank of Iraq official page explicitly lists a Regulatory Sandbox and innovation center for fintech/banking solutions. Candidate uplift is sectoral sandbox only; not AI-specific and maturity/admission d	Local review row names the Central Bank of Iraq Regulatory Sandbox surface.	source-surface existence only	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
SRPH-01058	LIMEN-SIGNAL-CAE81AE7C2FC1F26	needs_named_url_extraction	P3	regulator_or_public_authority	official sandbox page	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	1046	"<li class=""active"" aria-current=""page"">Regulatory Sandbox</li>"	Local cached FCA Regulatory Sandbox page is a concrete official surface.	surface existence only; no legality, safety, prevalence, or compliance inference	Extract a named public URL before any case hardening.	Do not treat source-surface review as reviewed-core promotion, incident truth, legality, compliance, safety, deployment proof, prevalence, or ranking.
