queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-03225	LIMEN-SIGNAL-7FDBFBAC45F944D6	country_gap_no_parent_source		Ecuador research-queue search pack (algorithm register)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:192	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03226	LIMEN-SIGNAL-7FEFAAEC76381A31	source_url_extracted	https://cbl.gov.ly/?s=sandbox	Central Bank of Libya - Central Bank search for sandbox terms	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:31384; top_sources URL at /srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:31483	Local atlas top_sources explicitly links I03 to this public URL (negative_evidence_search).	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	review extracted local parent source URL; keep profile-score claims bounded to source-surface posture
BPSE-03227	LIMEN-SIGNAL-80629B68A230C52E	country_gap_no_parent_source		Mongolia research-queue search pack (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:204	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03228	LIMEN-SIGNAL-8089E7A9D019EDF3	country_gap_no_parent_source		Guinea-Bissau research-queue search pack (regulatory sandbox)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:226	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03229	LIMEN-SIGNAL-80C5634DCECDF015	country_gap_no_parent_source		Indonesia research-queue search pack (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:194	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03230	LIMEN-SIGNAL-80C62DDA80AC0D42	country_gap_no_parent_source		Mongolia research-queue search pack (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:204	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03231	LIMEN-SIGNAL-814B7103127CADB3	country_gap_no_parent_source		Barbados research-queue search pack (public sector AI)	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:205	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03232	LIMEN-SIGNAL-8190A9724D8D6C81	country_gap_no_parent_source		Thailand research-queue search pack (AI procurement)	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:202	Research queue row contains only generated country/query targets and source-type hints, not a named public source URL.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named official/vendor/regulator/register source before review
BPSE-03233	LIMEN-SIGNAL-819FBC2A0DB50A97	country_gap_no_parent_source		Taiwan atlas I03 Regulatory sandbox maturity	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24216; country block /srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:24179-24330	Atlas profile indicator has no matching I03 top_sources URL; gap flags include ai_law_status_needs_second_pass;sandbox_not_verified;standards_ai_participation_unverified;no_algorithm_register_found;ai_evidence_lifecycle_not_found.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named underlying source URL/title from local source ledgers before review
BPSE-03234	LIMEN-SIGNAL-81E311E3C1BF40A5	country_gap_no_parent_source		Fiji atlas I05 Public algorithm registers / transparency	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:34600; country block /srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:34547-34698	Atlas profile indicator has no matching I05 top_sources URL; gap flags include no_official_ai_law_found;sandbox_not_verified;standards_ai_participation_unverified;no_algorithm_register_found;ai_evidence_lifecycle_not_found.	source-surface posture only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	resolve a named underlying source URL/title from local source ledgers before review
