signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-AB613071FEA63ECD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json	5343	sha256:5684ccc6262c2600b877b6f4b83839067436e7813d9a49a5015e6220feb8dc4f	public-sector AI evidence,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB674F5BBCC3BC90	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_COUNTRY_SCORE_DELTA.csv	124	sha256:83371b3d5dc80556cea79359712eee3d2178c2577b9d46296da292f3c8dc0b78	TD,I03,1,L,0,M,Second-pass static checks found no public regulatory sandbox evidence on ARCEP or BEAC targets. The frozen score 1 appears weak/indirect; candidate downgrade to 0 is proposed pending human review because absence searches are not exhaustive.,true	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB6BB49BB8DDB8BA	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv	834	sha256:9c99b859bc2cdb475e3157cdafd77cab57a92a6ff6384b836700ac9c943fbfa8	batch-11-mp-mv,transparency/evidence,candidate context source,context review; do not score directly,MV,Maldives,public visibility,Seed-query negative check for public AI register and lifecycle controls,Lane research,local search notes,2026,lane note,negative e	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB6C516402C10BCE	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-122-20260603T0430/source_documents.jsonl	368	sha256:307534efe523ff0a559196de83aff0295744993f431d348f19fc3c83a26aef5c	"{""agent_ids"": [""uk-dwp-cmg-return-letters-ocr""], ""archive_status"": ""local_snapshot_saved"", ""author_or_org"": ""Department for Work and Pensions Child Maintenance Group"", ""collision_guard_targets"": [""world_agent_atlas"", ""agentic_supply_chain_atlas"", ""pallas"", ""fu"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB6DDBAA656092A2	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.jsonl	35	sha256:6c03bb9d688847b42bcca4817b2266ec7835245a1bacb0630299b959b8973c8b	"{""authority"": ""scholarly-doi-source"", ""claim"": ""Spain/AESIA sandbox outputs are a high-value comparator because the guides expose concrete evidence duties: records, risk management, technical documentation, human oversight, post-market monitoring, and incident"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB6E29B3994E7E6C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.md	87	sha256:7e62a093173ff4cea5c559f27fde09a0a97f8fe898cc43e163d276effb09f193	| 1 | Digital Sovereignty and Artificial Intelligence in Canada: From System Fragmentation to Integrated Strategic Capacity in | scholarly-doi-source | needs-clause-verification | algorithm register; canada | https://doi.org/10.54932/vkrw5383 |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB6E47F4053BD9C6	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-v0.2.csv	25	sha256:a387d28d2697af23af33ab64f1278509f42b3e35d4d1dc717d4cf8e416a5d48a	"estonia_standards_conformity_chain,Regulatory Sandboxes Need Evidence Infrastructure,""Estonia can be modeled as a standards-conformity chain connecting TTJA, EVS, EAK, Product Conformity Act, RIA, Kratid, and sectoral sandboxes."",12,estonia; ttja,Cybersecurity"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB70CDE5DE3CAF4A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv	31	sha256:d1a2a705ead019d50e2bd2e473a8748c1d0e791ef550cbd6a65c47d1a499496d	"FI-HEL-AI__data,,Helsinki AI Register — source family — data,Helsinki AI Register,active_register,source_family,yes,""Helsinki, Finland"",Finland,en/fi/sv,see existing Helsinki source ledger / sampled-listing URLs in local root artifacts,2026-06-06,reachable,Pub"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB74AE786AE8D955	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/seeds/hermes-v02-expansion-seeds.json	122	sha256:2c17cafdbabcf7c00062ac0a099236ed0188b48adde62791e22170e27c48f185	"mission: ""Monitor Russian-language primary and state-adjacent legal, regulatory, standards, PKI, public-sector AI, experimental legal regime, and digital-identity sources relevant to AI evidence infrastructure."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-AB760E00D6253C32	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-022/detail-ready-row-local-support-board-v0.1.csv	6	sha256:24bac32074009ac96ff9a64f298352baa010c1b360b2f36112b6b4680350cfac	"DRLSB-005,FI-HEL-AI,FI-HEL-the-rental-apartment-search-chatbot,The rental apartment search chatbot,Finland,official Helsinki detail page linked from active AI Register,detail_accession_only,""detail-page accession candidate only; no prior listing-sample row and"	needs direct source, source-pack resolution, or translation-aware review before example promotion
