queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action	batch_id	review_priority	source_review_role	shards	queries	source_path	source_line
BTR-00003	LIMEN-SIGNAL-02BD2D039A41F64F	candidate_for_parent_source_extraction	Spanish / local English metadata	https://mitic.gov.py/mitic-fortalece-capacidades-tecnicas-en-inteligencia-artificial/	MITIC fortalece capacidades técnicas en inteligencia artificial	Official Spanish source supports sandbox-design capacity language, but not operational sandbox status.	Capacity/source-context only; no operational sandbox, participant, legality, or impact claim.	Extract as parent/context source with explicit planned/design-stage caveat.	20260616T120553Z-lane1-38e6325a	P1_official_or_regulator_review	named_official_source_non_english	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv	139
BTR-00013	LIMEN-SIGNAL-06B39C000F19922B	candidate_for_parent_source_extraction	Romanian / local English metadata	https://www.mcid.gov.ro/wp-content/uploads/2024/02/Strategie-Inteligenta-Artificiala-22012024_clean_final.pdf	Strategia nationala in domeniul inteligentei artificiale 2024-2027	Romanian official strategy is a strong parent/context source but describes planned measures, not implemented cases.	Strategy/source-context only; no operational sandbox, procurement, audit, or compliance claim.	Extract with planned-measure caveats and original-language verification.	20260616T120553Z-lane1-38e6325a	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	517
BTR-00018	LIMEN-SIGNAL-0B83D6DBD6AE7AB0	candidate_for_parent_source_extraction	en	https://sdaia.gov.sa/en/SDAIA/about/Files/AIAdoptionFramework.pdf	Saudi AI Adoption Framework	Local metadata names official guidance, but direct/reader fetch failed; no local text surface to review.	Named-source context only; no adoption, compliance, or policy finding.	Retry controlled parent-source extraction or archive hardening before any case-level use.	20260616T120553Z-lane3-853c3d09	P1_official_or_regulator_review	translation_sensitive_surface	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/runtime/lanes/arabic-language-failed-latest.jsonl	10
BTR-00023	LIMEN-SIGNAL-0D0C2C977448B2E7	candidate_for_parent_source_extraction	en	https://moc.gov.gh/2026/04/24/ghana-launches-national-ai-strategy-to-drive-digital-transformation-and-economic-growth/	Ghana launches National AI Strategy	Local metadata names an English official notice, but fetch timed out and only derived metadata is available.	Named-source context only; no strategy-content or implementation claim.	Retry local source extraction or archive hardening before using as evidence.	20260616T120553Z-lane3-853c3d09	P1_official_or_regulator_review	translation_sensitive_candidate	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/african-multilingual-language-history.jsonl	46
BTR-00027	LIMEN-SIGNAL-0E55EBAEB950D3C9	candidate_for_parent_source_extraction	no	https://www.datatilsynet.no/regelverk-og-verktoy/rapporter-og-utredninger/rapporter-fra-sandkassa/	Rapporter og funn fra sandkassa	Regulator sandbox report index is a concrete parent surface with downloadable project reports, but row is index-level.	Parent-source/index surface only; no individual sandbox project claim.	Extract and review specific original-language project reports before case use.	20260616T120553Z-lane3-853c3d09	P1_official_or_regulator_review	direct_surface_candidate	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	726
BTR-00035	LIMEN-SIGNAL-0FA568E29D79A38A	candidate_for_parent_source_extraction	Spanish	local digest line 8702; original title T-323/24	Colombia Constitutional Court judgment T-323/24 / PretorIA digest entry	Digest explicitly names PretorIA and tutela review-selection context, but human review is marked needed.	candidate public source context only; no legal conclusion or promoted case claim	extract original Spanish judgment/source passage and review before parent-source use	20260616T120553Z-lane2-deffdf3d	P1_official_or_regulator_review	translation_sensitive_candidate	legal-research	court AI	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260607T1635EEST/daily/gaia-foreign-language-digest-latest.json	8702
BTR-00039	LIMEN-SIGNAL-18549A4A31ACBB5A	candidate_for_parent_source_extraction	Spanish	https://www.argentina.gob.ar/tina	Tina national virtual assistant	Local record names a concrete Argentina public-sector chatbot source, but it is derived metadata rather than source text.	candidate source-surface/context only; no deployment, compliance, or risk finding	extract original Spanish public page and preserve source quotations	20260616T120553Z-lane2-deffdf3d	P1_official_or_regulator_review	translation_sensitive_candidate	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/release/gaia-preprint-freeze-20260605T0815EEST/data/global-agent-atlas-v0.1/backups-cycle188-active-lanes-32-foreign-language-public-service-hardening/records.jsonl	352
BTR-00040	LIMEN-SIGNAL-1A82AE9FF5D30098	candidate_for_parent_source_extraction	Dutch	https://algoritmes.overheid.nl/nl	Het algoritmeregister van de Nederlandse overheid	Official Dutch public register surface is named and operational in local metadata, but row is parent-source context not a case record.	register source-surface/context only; no prevalence, ranking, or high-risk classification claim	extract parent register metadata in original Dutch if needed	20260616T120553Z-lane2-deffdf3d	P1_official_or_regulator_review	named_official_source_non_english	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	707
BTR-00042	LIMEN-SIGNAL-1E15C96CF0DCB97A	candidate_for_parent_source_extraction	Turkish	https://acikkaynak.goc.gov.tr/bilge8	Bilge8 institutional AI assistant	Official Turkish page names a concrete public-sector AI assistant, but local row is metadata-level.	candidate system source-surface only; no transparency, data-use, or compliance finding	extract and review original Turkish source text	20260616T120553Z-lane2-deffdf3d	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	945
BTR-00048	LIMEN-SIGNAL-22EF3E5360BE64FD	candidate_for_parent_source_extraction	Slovenian	https://www.gov.si/teme/nacionalni-ekosistem-za-umetno-inteligenco/	Nacionalni ekosistem za umetno inteligenco - competent bodies under ZIUDHPUI	Official Slovenian topic page names AI Act roles and sandbox authority in local metadata, but legal status needs original-source handling.	institutional source-surface only; no legal allocation, compliance, or operational sandbox finding	extract original Slovenian source text and statute reference before any claim uplift	20260616T120553Z-lane2-deffdf3d	P1_official_or_regulator_review	translation_sensitive_surface	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1618
