queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00169	LIMEN-SIGNAL-EE5F83A9BED5B5ED	proxy_or_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/paper/venue/evidence-supply-chain-jipitec-preprint-anon.md	77	Local row points toward a source pack, wrapper, or adjacent artifact without a named reviewable source surface.	must resolve direct public source before promotion	extract one named direct source surface first
BPSE-00170	LIMEN-SIGNAL-F054B5680204D4D2	proxy_or_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	7272	Local row points toward a source pack, wrapper, or adjacent artifact without a named reviewable source surface.	must resolve direct public source before promotion	extract one named direct source surface first
BPSE-00171	LIMEN-SIGNAL-F0B672E808761796	proxy_or_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	843	Local row points toward a source pack, wrapper, or adjacent artifact without a named reviewable source surface.	must resolve direct public source before promotion	extract one named direct source surface first
BPSE-00172	LIMEN-SIGNAL-F0D67F305B12F3C9	proxy_or_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	185	Local row points toward a source pack, wrapper, or adjacent artifact without a named reviewable source surface.	must resolve direct public source before promotion	extract one named direct source surface first
BPSE-00173	LIMEN-SIGNAL-F0DADA2561CC2032	proxy_or_wrapper	P1_official_or_regulator_review	identity-provenance	C2PA	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/claim-support/claim-support-tests-v0.2.3.csv	8	Local row points toward a source pack, wrapper, or adjacent artifact without a named reviewable source surface.	must resolve direct public source before promotion	extract one named direct source surface first
BPSE-00174	LIMEN-SIGNAL-F42AAE709BB9D620	proxy_or_wrapper_surface	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	956	Wrapper or proxy metadata points toward an underlying named source, but the direct reviewable surface is not yet isolated.	name underlying source before review	extract named source and reopen only if found
BPSE-00175	LIMEN-SIGNAL-F5E9AE263F4B8E87	country_summary_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	8130	Country summary describes gaps but does not expose a named source surface.	underlying source unresolved	extract named source from local summaries
BPSE-00176	LIMEN-SIGNAL-F95F0003A8660AA0	review_queue_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	1078	Review-queue summary points toward underlying official sources but not a named reviewable surface here.	underlying source unresolved	extract named source from local review queue
BPSE-00177	LIMEN-SIGNAL-F97E36D4A3A16E99	country_summary_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	7213	Country summary describes infrastructure but does not expose a named reviewable source surface.	underlying source unresolved	extract named source from local summaries
BPSE-00178	LIMEN-SIGNAL-F9AD296588FEE1C6	index_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	132	Country index summarizes review status but does not expose a named reviewable source surface.	underlying source unresolved	extract named source from local index
BPSE-00179	LIMEN-SIGNAL-F9C57FFBB17B498F	translation_digest_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/gaia/tyche-research-vault/papers/global-agent-atlas/daily/gaia-foreign-language-digest-latest.json	4055	Foreign-language digest paraphrases an underlying Spanish source but does not expose a named reviewable surface cleanly here.	underlying source unresolved	extract named source for translation-aware review
BPSE-00180	LIMEN-SIGNAL-FA7638B2ED00E133	review_load_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	38	Country review-load summary points toward underlying official sources but does not expose a named reviewable surface here.	underlying source unresolved	extract named source from local review load
BPSE-00181	LIMEN-SIGNAL-FA7F0C9AD3DF0A7F	review_change_wrapper	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	547	Confidence-change row names a judiciary AI policy but does not expose the underlying source surface here.	underlying source unresolved	extract named source from local review change log
BPSE-00182	LIMEN-SIGNAL-FB1491B0950E13E8	proxy_or_wrapper_surface	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_COUNTRY_SCORE_DELTA.csv	39	"Proxy or derived metadata references GQ,I08,2,M,2,M,""Public-contracts bill sources strengthen procurement-governance evidence b but does not cleanly expose a direct reviewable source surface."	wrapper/proxy only; no direct-source claim yet	extract named direct source
BPSE-00183	LIMEN-SIGNAL-FD2A14665BF44D45	proxy_or_wrapper_surface	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SUMMARY.md	120	Proxy or derived metadata references | PW | I01 | 0/L | 1/M | Official Supreme Court AI-use policy dated 2025-02-25 is direct A but does not cleanly expose a direct reviewable source surface.	wrapper/proxy only; no direct-source claim yet	extract named direct source
BPSE-00184	LIMEN-SIGNAL-FFB00BBDA22214C6	wrapper/proxy artifact	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	8189	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	cannot exceed named-surface extraction from local metadata	extract one named source surface first
BPSE-00185	LIMEN-SIGNAL-FFDC9F73EECF864E	wrapper/proxy artifact	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	5680	wrapper or adjacent artifact points toward a source family without exposing one named reviewable surface	cannot exceed named-surface extraction from local metadata	extract one named source surface first
BPSE-00186	LIMEN-SIGNAL-FFE30B793C43CE48	summary wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SUMMARY.md	137	summary row bundles multiple Kiribati sources and does not expose one named reviewable surface	cannot exceed named-surface extraction from local metadata	extract one named source surface first
BPSE-00187	LIMEN-SIGNAL-0024864383C32241	country_gap_or_score_placeholder	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	18	Row points to a country profile, research queue, or aggregate score surface that names a topic gap but not a concrete source to promote directly.	Only indicates a review target or aggregate gap placeholder, not a direct-source example.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
BPSE-00188	LIMEN-SIGNAL-008901EC02C0D766	country_gap_or_score_placeholder	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	34	Row points to a country profile, research queue, or aggregate score surface that names a topic gap but not a concrete source to promote directly.	Only indicates a review target or aggregate gap placeholder, not a direct-source example.	Extract a named official/regulator source from adjacent local source-pack material before any promotion.
