row_id	scope	metric_key	metric_value	evidence_used	paper_thesis_use	visualization_dashboard_hook	uncertainty_note	next_smallest_publishability_move
LBS023-001	duplicate_governance_package	row_count	42	results/clusters/duplicate-clusters-v0.1.tsv	Methods/results denominator for the duplicate-governance apparatus	Figure 4 control-surface denominator card	Counts depend on the current canonical ledger only; future threshold-changing row admissions can move them	Recheck only after a threshold-changing duplicate/recurrence/sidecar action lands
LBS023-002	duplicate_governance_package	cluster_status_split	identifier_collision_blocker=10;stable_duplicate_cluster=9;reviewed_not_duplicate=11;no_cluster_review_row=12	results/clusters/duplicate-clusters-v0.1.tsv	Compact paper/table statement of how the atlas governs duplicates, non-merges, and residuals	Stacked bar or Sankey from raw rows to control states	This is governance structure, not event prevalence	Use this split in reviewer-facing methods prose before adding new inventory rows
LBS023-003	graph_visible_subset	edge_split	identifier_collision=14;reviewed_nonmerge=11;total=25	results/clusters/duplicate-clusters-v0.1.tsv;results/dashboard/duplicate-review-graph.tsv	Figure 4 caption-safe graph composition statement	Duplicate-review graph legend / caption control	Graph-visible edges are control overlays, not same-event duplicate proof	Only change when a new reviewed non-merge or identifier-collision row materializes
LBS023-004	stable_duplicate_clusters	evidence_mix	T1_single_public_source=5;T3_authoritative_source=4	results/clusters/duplicate-clusters-v0.1.tsv	Limitations note on which collapse rows still rest on thinner vs stronger evidence tiers	Evidence-tier funnel segment for lineage-collapse rows	T1 rows remain weaker and should not be overread as authoritative recurrence evidence	Prefer one new authoritative same-event companion outside the New Hampshire lifecycle before expanding prose claims
LBS023-005	reviewed_nonmerge_overlays	evidence_mix	T3_authoritative_source=11	results/clusters/duplicate-clusters-v0.1.tsv	Supports the claim that reviewed non-merge overlays are now authority-backed rather than heuristic-only	Reviewer-safe subtype-recurrence panel	Authority-backed non-merge overlays still do not imply event identity or ecosystem prevalence	Best next gain is one additional direct-action research-integrity package or other threshold-changing reviewed overlay
LBS023-006	singleton_and_sidecar_surface	ledger_only_split	singleton_or_other_no_cluster_review_row=12;explicit_sidecars=2;seed_silent_sidecars=2	results/clusters/duplicate-clusters-v0.1.tsv	Methods note on why some rows remain count-visible but graph-silent	Residual/frontier queue card plus extended-reviewed-local-surface explainer	This bucket mixes ordinary singletons, one residual frontier exemplar, and two extended-only sidecars	Keep prose explicit about which rows are seed-silent versus simply awaiting overlap review
LBS023-007	residual_frontier	residual_frontier_extension_rows	REVIEW-SINGLETON-LIMEN-008-LEAD-007=1	results/clusters/duplicate-clusters-v0.1.tsv;results/boost/limen-dedupe-cluster-taxonomy/fake-article-network-direct-authority-upgrade-audit-2026-06-08T15-23-59Z.tsv	Directly supports a bounded methods/result sentence on the only intentional residual frontier row	Residual-frontier dashboard panel with action-depth subcaption	One archived SSRN action-bearing pair hardens the row but does not justify reviewed recurrence or prevalence claims	Count progress only if a second direct platform/publisher/institution action record or other reviewed overlap package lands
LBS023-008	multi_state_controls	supports_multi_state_control_split	yes=29;no=13	results/clusters/duplicate-clusters-v0.1.tsv	Explains why many rows participate in more than one governance role and why the ledger is a mixed control surface	Control-overlap matrix / heatmap	Overlap counts describe governance complexity, not event duplication depth	Use this to justify a matrix view before proposing any new taxonomy label
LBS023-009	research_integrity_recurrence	direct_notice_recurrence_row	REVIEW-NOMERGE-RI-SPRINGER-001	results/clusters/duplicate-clusters-v0.1.tsv;results/taxonomy/taxonomy-delta-v0.1.md	Pairs with the residual row to explain the live boundary between reviewed recurrence and hardened residual state	Two-row comparison card: direct-notice recurrence vs single-pair action residual	Current direct-notice recurrence is still single-publisher-family and should not be generalized cross-publisher	Next threshold change is a second cross-publisher/platform/institution direct-action package
LBS023-010	sidecar_controls	sidecar_row_ids	REVIEW-SIDECAR-LIMEN-000013;REVIEW-SIDECAR-LIMEN-000014	results/clusters/duplicate-clusters-v0.1.tsv	Thesis appendix or methods note on extended reviewed local surface versus seeded headline package	Extended-surface toggle in dashboard prototype	These rows are deliberately count-silent for seeded headline claims	Only revisit if routing policy changes or a sidecar graduates into seeded core
