signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-A1C1762042DE7495	translation_review_needed	translation_sensitive_source_pack	Country-language overlay points to plausible official source surfaces but local evidence is translation-mediated.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-064/country-language-overlay.json
LIMEN-SIGNAL-A1D4F6760E83F125	reject_noise	query_script_noise	Search-query script line is not a named direct source surface.	derived/internal artifact only; no direct source-surface claim.	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/scripts/global_agent_atlas_sharpen.py
LIMEN-SIGNAL-A1E31C8D1CE10D45	negative_evidence_candidate	official_search_negative	Local matrix row records failed checks for a public algorithm register on official Georgian surfaces.	absence/search-negative/gap evidence only; not proof of non-existence.	route to negative-evidence or gap queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-A1EEF997B5A460E3	needs_named_source_extraction	developer_doc_proxy	Fact row refers to government developer-document evidence but does not expose the named reviewable source surface here.	wrapper/proxy evidence only; no direct source-surface claim until a named underlying source is extracted.	extract named underlying source surface	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-300-active-lanes-40-global-south-humanitarian-forecasting/facts.jsonl
LIMEN-SIGNAL-A2000F1CDA5BA533	merge_existing_surface	existing_registry_surface	Government of Canada AI Register row comes from an already-modeled local registry surface.	dedupe to an already-modeled local source surface only; no new source-surface promotion.	merge into existing local surface record	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv
LIMEN-SIGNAL-A206BA0D8929B359	reject_noise	scholarly_index_record	Scholarly index metadata is not a direct public source surface.	derived/internal artifact only; no direct source-surface claim.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-A20F39714C56102E	negative_evidence_candidate	official_search_negative	Local row records a checked-official negative for no public algorithm register in Niue.	absence/search-negative/gap evidence only; not proof of non-existence.	route to negative-evidence or gap queue	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-A2108CE960762FBF	translation_review_needed	translation_sensitive_official_record	Local multilingual official-source record is translation-sensitive and should stay translation-bounded.	plausible direct source surface only; translation-aware posture review required before any stronger claim.	route to translation-aware source review	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.3-preprint-20260605T050732Z/corpus/v0.2-working/records/south-asian-language-history.jsonl
LIMEN-SIGNAL-A213D949B54DFF30	merge_existing_surface	existing_registry_surface	Dutch Algorithm Register sample row duplicates an already-modeled local registry surface.	dedupe to an already-modeled local source surface only; no new source-surface promotion.	merge into existing local surface record	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/denominator-eligibility-audit-v0.1.csv
LIMEN-SIGNAL-A2248BC82D339126	reject_noise	scholarly_index_record	Scholarly proceedings record is not a direct public source surface.	derived/internal artifact only; no direct source-surface claim.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl
LIMEN-SIGNAL-A2367F80A80C638C	needs_named_source_extraction	legal_context_proxy	Local law record is a jurisdictional/legal hook rather than a named reviewable source surface for this queue.	wrapper/proxy evidence only; no direct source-surface claim until a named underlying source is extracted.	extract named underlying source surface	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-288-active-lanes-37-malaysia-public-sector-ai-governance/laws.jsonl
LIMEN-SIGNAL-A244E6B9BA0F20F2	source_reviewed_candidate	official_procurement_portal	Names Bermuda procurement notices and contract awards as a concrete official procurement surface.	source surface exists locally as named; no substantive incident, legality, compliance, safety, deployment, prevalence, or ranking claim.	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv
LIMEN-SIGNAL-A24FA14668E9F250	source_reviewed_candidate	official_procurement_guidance	Names a concrete New Zealand Government Procurement guidance/news surface.	source surface exists locally as named; no substantive incident, legality, compliance, safety, deployment, prevalence, or ranking claim.	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv
LIMEN-SIGNAL-A27AC48884F7DD7E	needs_named_source_extraction	summary_digest_proxy	Claim-support digest points toward Puerto Rico official materials but does not expose one clean reviewable source surface here.	wrapper/proxy evidence only; no direct source-surface claim until a named underlying source is extracted.	extract named underlying source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-A283EE8EDF1E57A2	reject_noise	scholarly_index_record	Scholarly index metadata is not a direct public source surface.	derived/internal artifact only; no direct source-surface claim.	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl
