queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-02937	LIMEN-SIGNAL-A077515E4831ABB2	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	31272	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02938	LIMEN-SIGNAL-A1777B689273EE91	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25477	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02939	LIMEN-SIGNAL-A19F9E3620562DC7	atlas_profile_or_section_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	23491	Atlas country profile/section text points toward procurement or register review but does not expose a named reviewable source surface in the row.	No direct-source claim until a named local source surface is extracted from the profile context.	Extract the named official/regulator/vendor/register source and re-queue that surface only.
BPSE-02940	LIMEN-SIGNAL-A40113580CC3A00C	country_profile_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	20070	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02941	LIMEN-SIGNAL-A44C9A8305E9BC3C	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22362	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02942	LIMEN-SIGNAL-A774CDD20FBFBD58	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	35386	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02943	LIMEN-SIGNAL-A7A13CDBF7AE80DE	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	28828	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02944	LIMEN-SIGNAL-A8655A2D3F43D7BD	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21505	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02945	LIMEN-SIGNAL-A8FEDD76F730869E	country_profile_wrapper	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21905	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02946	LIMEN-SIGNAL-AA0F13F26A499C19	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21048	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02947	LIMEN-SIGNAL-ADA00A396C9E57A2	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	25020	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02948	LIMEN-SIGNAL-AE7C1A41A78C9262	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	34929	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
BPSE-02949	LIMEN-SIGNAL-AE9B818552207938	country_profile_wrapper	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	29133	Country-profile metadata points toward adjacent public-sector surfaces but does not expose a named reviewable direct source in the local row.	Source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim.	extract the named source surface from the country profile before review
