queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00553	LIMEN-SIGNAL-523CA239D728DD79	named_source_proxy	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	61	Queue metadata names a target source class but does not expose a named reviewable source yet.	pointer/proxy only until named source is extracted	extract named source surface from local proxy
BPSE-00554	LIMEN-SIGNAL-524754976A86AF71	named_source_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	64	Queue metadata names a target source class but does not expose a named reviewable source yet.	pointer/proxy only until named source is extracted	extract named source surface from local proxy
BPSE-00555	LIMEN-SIGNAL-5308D43E0D717A47	named_source_proxy	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	45	Queue metadata names a target source class but does not expose a named reviewable source yet.	pointer/proxy only until named source is extracted	extract named source surface from local proxy
BPSE-00556	LIMEN-SIGNAL-53184E403164FF0A	named_source_proxy	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	4	Queue metadata names a target source class but does not expose a named reviewable source yet.	pointer/proxy only until named source is extracted	extract named source surface from local proxy
BPSE-00557	LIMEN-SIGNAL-5387F8121D64C669	source_pack_or_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	243	Proxy/wrapper metadata points toward a source, but no named reviewable surface is exposed.	metadata points toward source only	extract named source before promotion
BPSE-00558	LIMEN-SIGNAL-53912DEF79597925	source_pack_or_wrapper	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	21	Queue/profile row lists target source families but does not expose a named source surface.	metadata points toward source only	extract named source before promotion
BPSE-00559	LIMEN-SIGNAL-53DE06E51E1138FF	source_pack_or_wrapper	P2_article_relevance_review	public-sector	AI register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_ESTONIA_FINLAND_PREPRINT_SAMPLE.tex	348	Derived text names source families but not one single directly reviewable source row.	metadata points toward source only	extract named source before promotion
BPSE-00560	LIMEN-SIGNAL-544A402F9AA7C0C9	source_pack_or_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	67	Proxy/wrapper metadata points toward a source, but no named reviewable surface is exposed.	metadata points toward source only	extract named source before promotion
BPSE-00561	LIMEN-SIGNAL-54A9DA1106087086	source_pack_or_wrapper	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	34	Queue/profile row lists target source families but does not expose a named source surface.	metadata points toward source only	extract named source before promotion
BPSE-00562	LIMEN-SIGNAL-54C0A081B43A96DA	source_pack_or_wrapper	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/RESULT.md	120	Proxy/wrapper metadata points toward a source, but no named reviewable surface is exposed.	metadata points toward source only	extract named source before promotion
