route_id	manuscript_lines	manuscript_section	claim_focus	status	controlling_artifacts	visual_or_table_support	caption_or_claim_control	evidence_used_now	reviewer_risk_if_reused_without_control	paper_thesis_use	dashboard_hook	next_smallest_publishability_move
MPR-048-001	10-16	Abstract	LIMEN is an evidence-infrastructure method rather than an incident ranking or prevalence study.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-001; results/paper-snapshot-20260607/paper/reviewer-objection-appendix-v0.1.tsv:ROA-001..ROA-003	n/a	PCR-001	Frozen paper snapshot and reviewer-objection appendix already encode the method-not-ranking ceiling.	Reviewers may still read the abstract as anecdotal corpus framing if the evidence-infrastructure sentence is detached from claim-ceiling language.	Abstract/contribution spine for the first LIMEN paper and thesis methods chapter.	Landing-card text for dashboard/about panel explaining why the observatory encodes limits.	Keep the abstract tied to PCR-001 whenever title/subtitle or opening sentences are revised.
MPR-048-002	28-44	Study design	The frozen manuscript denominator is 21 case threads with 15 stronger bounded examples, 6 limitations/discovery rows, and 6 translation-dependent rows.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-002..PCR-004; results/paper-snapshot-20260607/status.md	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv; results/boost/limen-boost-011/source-authority-balance.tsv	CCR-005; CCR-014	The denominator and translation counts are already frozen in the synchronized snapshot and safe aggregate bundle.	Any silent import of post-freeze sidecars or live 25-lineage drift would weaken reviewer trust in count discipline.	Methods/data section and thesis provenance note on freeze discipline.	Denominator badge plus translation overlay for frozen-paper dashboard mode.	Preserve the 21-lineage freeze note and keep DoNotPay/Workado/Springer/Datatilsynet outside denominator prose unless full recomputation is chosen.
MPR-048-003	49-94	Method	Public-source-only access, duplicate control, evidence classes, and claim boundaries are substantive method rules rather than housekeeping.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-005..PCR-010; results/paper-snapshot-20260607/review/negative-results-table.tsv	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	CCR-018; CCR-009; CCR-010	Existing duplicate, source-depth, and negative-result artifacts already support the method as a bounded evidence protocol.	If duplicate control or blocked-source handling is summarized without the sidecar controls, reviewers can recast the method as ad hoc curation.	Core methods section and thesis evidence-infrastructure chapter.	Method tabs: duplicate-control QA, source-depth ladder, and blocked-source registry.	When revising methods prose, cite one duplicate-control and one negative-results support artifact explicitly in-text or appendix notes.
MPR-048-004	98-105	Results 4.1	The corpus contains non-interchangeable source families, so composition should be read as observability boundary rather than completeness.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-001; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-001	results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv	CCR-008	Figure 1 plus its source-family claim-ceiling bundle already support bounded source-composition prose.	If Figure 1 is reused without thin-family blocker language, seeded families can look equally mature or complete.	Main results figure and thesis section on source-strategy breadth.	Source-family saturation map with blocker legend.	Keep Figure 1/Table 1 control-bundle references attached whenever Results 4.1 wording is tightened.
MPR-048-005	106-113	Results 4.2	The set contains both stronger public records and thinner single-source leads, and the paper labels them differently.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-003..PCR-004; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-005	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv	CCR-005	The refreshed 21-lineage safe funnel supports the stronger-versus-thinner evidence maturity claim.	Dropping the denominator/confidence banner would let readers overread the funnel as prevalence or uniform certainty.	Headline evidence-maturity result for paper, dashboard, and thesis chapter.	Evidence-tier funnel with denominator and confidence overlays.	Keep the refreshed safe funnel, not the older staged funnel, as the sole count-bearing support for Results 4.2.
MPR-048-006	114-120	Results 4.3	Counts depend on duplicate review, label-collision control, and non-merge discipline before totals are reported.	supported_now	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-005; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-004	results/boost/limen-dashboard-paper-forge/duplicate-review-graph.tsv; results/clusters/duplicate-clusters-v0.1.tsv	CCR-018	The live Figure 4 contract now fully materializes all graph-eligible reviewed edges while keeping graph-versus-ledger scope explicit.	If reviewed-not-duplicate overlays are read as recurrence evidence, the figure becomes a substantive incident graph instead of a QA graph.	Methods-quality results block and thesis appendix on join safety.	Duplicate-control graph legend and join-safety QA badge.	Preserve the non-recurrence ceiling and graph-versus-ledger wording whenever Figure 4 prose or legends are reused.
MPR-048-007	122-128	Results 4.4	Visible, thin, and zero-seed categories are results about corpus shape, not real-world absence.	supported_now_but_sidecar_bound	results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-002; results/paper-snapshot-20260607/paper/reviewer-objection-appendix-v0.1.tsv:ROA-010	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv	CCR-001; CCR-002	The taxonomy heatmap is publication-usable only with the live 11/1/3 support-state wording and fragility/zero-seed sidecars.	Without the sidecars, reviewers may read zero-seed rows as real-world absence or flatten candidate-only and authority-backed rows together.	Core novelty/gap result and thesis taxonomy chapter.	Taxonomy heatmap plus zero-seed and fragility overlays.	When touching Results 4.4, carry the live support-state split and explicit zero-seed warning into caption or adjacent prose.
MPR-048-008	130-151	Results 4.5 and Negative Results	Official-looking or authoritative sources still support different ceilings; blocked, summary-only, accusation-stage, and sidecar records remain methodologically valuable negatives.	supported_now_but_needs_table_citation	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-006..PCR-010; results/paper-snapshot-20260607/review/negative-results-table.tsv:NEG-001..NEG-010; results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-007; LIMEN-VIS-012	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/procedural-contamination-source-depth-panel-v0.1.tsv	CCR-009; CCR-010	The manuscript narrative is supported, but reviewer resilience improves if Table 1A/Table 1E or appendix citations travel with the Figure 5 and negative-results discussion.	Without explicit table/appendix anchors, reviewers may read 'official source' as a uniform document-depth class or treat blocked/403 surfaces as missing diligence.	Main methodological result, negative-results section, and thesis claim-support map for source-depth ceilings.	Source-depth ladder; negative-results card; blocked-source tooltip.	Add or preserve explicit appendix/table citations near Table 2 / Figure 5 prose when polishing the manuscript again.
MPR-048-009	177-185	Limitations	The paper is small, not prevalence-ready, and still lacks a true second-coder reliability result.	supported_now	results/paper-snapshot-20260607/status.md; results/paper-snapshot-20260607/paper/reviewer-objection-appendix-v0.1.tsv:ROA-002; ROA-006	results/paper-snapshot-20260607/accelerated-submission/audit/second-coder-instructions.md; results/paper-snapshot-20260607/accelerated-submission/audit/second-coder-worksheet.tsv	ROA-002; ROA-006	Current artifacts support limitation prose and clearly separate protocol dry-run from completed inter-rater reliability.	The main risk is accidental overstatement of the current audit as reliability evidence.	Limitations section and reviewer-response appendix; thesis reproducibility note.	Audit-status badge and second-coder pipeline card.	Do not strengthen reliability wording until an actual independent second-coder pass is completed.
MPR-048-010	195-205	Data and public source availability	Selected public exemplars are safe only as bounded anchors and sidecars, not as denominator-changing additions or broad legal/compliance exemplars.	supported_now_but_bound_by_sidecar_role	results/paper-snapshot-20260607/paper/paper-claim-register-v0.1.tsv:PCR-007..PCR-009; PCR-011; results/paper-snapshot-20260607/review/negative-results-table.tsv:NEG-004..NEG-010	results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv	PCR-008; PCR-009; PCR-011; CCR-015	Current cited exemplars are defendable when their sidecar or bounded-source roles remain explicit.	A reader could otherwise infer that all cited examples share the same denominator status or support harm/compliance conclusions.	Data/public-source availability note and thesis provenance appendix.	Example-card panel with sidecar-role and source-depth metadata.	Keep public-source exemplar notes posture-specific and preserve sidecar/non-denominator language for FTC and Datatilsynet examples.
