signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-C3127CFCA938C83C	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.csv	168	sha256:bc84d688237376f920212b11808154569d18959f5d7f520b2076610f50e57a70	37206a0bdbf7272f2e5a48e8,evidence-package-design,strong,149.2955,use cautiously with cited support,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/papers/03-tyche-thesis-atlas-data-method-v0.2.2.pdf,atlas,/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C3154132B8AAB544	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/projects/public-ai-procurement-gap/publication-goal-card-20260607-full-research-upgrade.md	1	sha256:34f2c23585e5bbf1d0c5fb4242863415082155454b075770e4e48f4463b38bca	# Publication Goal Card: Public AI Procurement Gap	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C315C0D42D34CD89	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-level-denominator-v0.2.csv	8	sha256:051f7f5f20ce18bbdd384a56cf7dcebf1f569dde94a9746afdc8b3c0f8936bbf	"REC-DEN-FI-HEL-AI-SAMPLE-1,FI-HEL-AI-SAMPLE-1,FI-HEL-AI,City of Helsinki AI Register,Outdoors chatbot Urho,listing_snippet,listing_snippet,no,individual_record_only_exclude_listing_snippets,""Helsinki, Finland"",Finland,https://ai.hel.fi/en/ai-register/,2026-06-"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C319FF44A366D96A	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	87	sha256:f6efb4d4f5cd4b4c274a20e2aa8c77f74308a3fa91e1fa65d2f06e2de0165f5a	"MN,Mongolia,43.3,40.6,D thin visibility,0.79,33.3,33.3,66.7,46.7,50.0,20,18,0,0,medium,6,10,Medium: gap interpretation,""human review required for I01, I02, I03, I05, I08, I10; weak or indirect source evidence remains for I10"",no_enacted_ai_law_found;no_dedicat"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C31CB7A4553C40C7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl	489	sha256:0be13b8f1627f9d29a2c6bbda1d12956ceab8407f054a430a75b05c0de20c777	"{""already_in_main_dataset"": true, ""authors"": [""Umesh Bodkhe"", ""Sudeep Tanwar"", ""Karan Parekh"", ""Pimal Khanpara"", ""Sudhanshu Tyagi"", ""Neeraj Kumar""], ""category"": ""scholarly-index-result"", ""cited_by_count"": 738, ""doi"": ""https://doi.org/10.1109/access.2020.298857"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C31F54017964773C	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	1096	sha256:6f3518d070adb39722d90053be861ddbb20f25911eab043421109f7f5275be7f	"{""already_in_main_dataset"": false, ""authors"": [""IRINA CHERESHNEVA""], ""category"": ""scholarly-index-result"", ""container_title"": ""Public Administration"", ""doi"": ""10.22394/2070-8378-2022-24-2-80-87"", ""domain"": ""doi.org"", ""is_referenced_by_count"": 3, ""lane"": ""books"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C321CAA5D75461F9	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/country-readiness/pallas-country-ai-readiness-indicators-v0.2.jsonl	84	sha256:7c0f4a9ef83b6e395a2639c81f5a2c9e44cbf20da66904cfc288a8d270007b57	"{""corpus_version"": ""v0.2"", ""country"": ""United States"", ""country_id"": ""united_states"", ""country_priority"": ""P1"", ""generated_at"": ""2026-06-05T11:00:06Z"", ""indicator"": ""Data protection / privacy authority"", ""indicator_id"": ""data_protection"", ""source_count"": 131,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C325957C47060C46	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	6	sha256:1bc459c34f232f8be266fa3e3599ba4b4b39de3a99e05090a7e07c4baf00edf0	IL,Israel,high,B structured but incomplete,high,Israel AI Act implementation competent authority; Israel algorithm register public sector AI; Israel AI regulatory sandbox; Israel AI procurement public sector guidance; Israel AI audit logs provenance post-marke	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C326EC4F6CAEF53E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-gaia-gaps-20260604T051859Z	4563	sha256:e922baf7726a2eb8005e3fe1232a13d0a82be0ffedc05fa28462544278b74f44	"why: ""public algorithm register for public-sector AI transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-C32C2A23B610AB70	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json	3230	sha256:7a64ad7e5a395ecd1fe4857abcce343a34b035f1b33997b863c9c512b1da3e1c	"text: ""Candidate +1 only if France-level sandbox context is accepted for BL; no BL participation found.\"",,,,,,,,bl-source-hardening,score_increase 7,BL,Saint Barthelemy,I04,,1,M,1,M,,FALSE,,AFNOR/EU OCT context remains national/international standards conte"	needs direct source, source-pack resolution, or translation-aware review before example promotion
