queue_id	signal_id	bulk_translation_verdict	language_reviewed	source_url_or_locator	source_name	reason	claim_ceiling	next_action
BTR-00449	LIMEN-SIGNAL-340701EF2A9EF649	source_surface_only_no_case	fr	https://www.art.cm/sites/default/files/documents/AAMI%20audit%20technique%20des%20r%C3%A9seaux%20de%20communications%20%C3%A9lectroniques%20ouverts%20au%20public%20au%20Cameroun%20am%C3%A9lior%C3%A9%20par%20BC%20-%5B1%5D.pdf	ART technical audit procurement notice	French official procurement PDF surface is a telecom technical-audit notice, not AI lifecycle evidence.	source-surface/negative-context only; no AI evidence or policy claim	retain only as negative clarification or sector procurement context
BTR-00450	LIMEN-SIGNAL-343AEAFF9F4D3416	candidate_for_parent_source_extraction	ms/en	https://www.malaysia.gov.my/en/my-initiative/whole-government-digital-services/tadbir-urus/national-guidelines-on-artificial-intelligence-governance-and-ethics-aige	Malaysia National Guidelines on AI Governance and Ethics	Local metadata shows a reachable official Malaysia government AIGE page; translation risk remains for policy details.	official source-surface existence and title only; no governance-effect claim	extract canonical source metadata; require original-language review before any substantive claim
BTR-00451	LIMEN-SIGNAL-354D86A1187036C7	needs_original_language_source	fa	https://dotic.ir/	Public procurement legal repository candidate	Local row records CDN 403; no Persian source content was retrieved for review.	unverified locator only; no procurement or AI governance claim	retry with original-language/source-access workflow before use
BTR-00452	LIMEN-SIGNAL-3595B8B32429F236	candidate_for_parent_source_extraction	nl/en MT	https://algoritmes.overheid.nl/en	Dutch Government Algorithm Register	Local metadata shows reachable Dutch government algorithm-register surface and warns English descriptions are machine translated.	source-surface existence only; do not rely on machine-translated descriptions	extract parent source; use Dutch originals for case-level review
BTR-00453	LIMEN-SIGNAL-36C5ED6FEE179A65	cross_project_duplicate	it	https://www.garanteprivacy.it/temi/intelligenza-artificiale	Garante Privacy: AI - Intelligenza artificiale	Same Italian regulator AI surface appears again in this batch; keep one canonical parent candidate.	duplicate source-surface only; no legal or policy claim	deduplicate against BTR-00459 and retain one canonical Garante source record
BTR-00454	LIMEN-SIGNAL-36E60F7CC7D6BFE0	translation_source_reviewed	en	https://static.au.int/en/document/44004-doc-en-continentalaistrategyjuly2024pdf	African Union Continental AI Strategy PDF	Local metadata shows an English AU continental AI strategy surface; not translation-sensitive on the stored record.	strategy source-surface/context only; no implementation or compliance claim	route to ordinary parent-source quality review if in scope
BTR-00455	LIMEN-SIGNAL-36ED6E1A6B55032C	candidate_for_parent_source_extraction	th	https://www.etda.or.th/th/pr-news/AI_Gov_Anual.aspx	ETDA Generative AI Governance Guideline for Organizations	Local Thai ETDA page is reachable and AI-guideline titled, but substantive content remains translation-sensitive.	official source-surface existence and title only; no guidance-effect claim	extract canonical source metadata; require Thai review for substance
BTR-00456	LIMEN-SIGNAL-37AC4C261CA96C38	source_surface_only_no_case	de	https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Dossier/reallabore-testraeume-fuer-innovation-und-regulierung.html	Reallabore – Testräume für Innovation und Regulierung	German ministry page supports general regulatory-sandbox infrastructure, not explicit AI Act sandbox operation.	general sandbox context only; no AI Act operational claim	retain as context; seek AI-specific original source before promotion
BTR-00457	LIMEN-SIGNAL-381AD7CE9B22CB42	candidate_for_parent_source_extraction	th	https://www.etda.or.th/th/Our-Service/AIGC/index.aspx	ETDA AI Governance Center	Local metadata shows reachable Thai official ETDA AIGC page; details remain translation-sensitive.	official source-surface existence and title only; no service capability claim	extract canonical source metadata; require Thai review for any substantive use
BTR-00458	LIMEN-SIGNAL-38DB8092969617D3	source_surface_only_no_case	de	https://www.rtr.at/rtr/service/ki-servicestelle/projekte-initiativen/Projekte_-_Initiativen.de.html	RTR KI-Servicestelle Projekte & Initiativen	German RTR page is an AI initiatives/support surface; local note says no clear operational AI Act sandbox.	source-surface/context only; no enforcement or sandbox-operation claim	retain as Austrian service-desk context; seek stronger official sandbox source
