queue_id	signal_id	bulk_source_verdict	extracted_source_url	source_name	evidence_location	reason	claim_ceiling	next_action
BPSE-02985	LIMEN-SIGNAL-FB556073D4E65F22	country_gap_no_parent_source		New Caledonia - Public-sector AI procurement governance	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:35843	dimension label/score row has no matching local top_source URL for this parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	keep as country-profile gap placeholder unless a named evidence URL is separately selected
BPSE-02986	LIMEN-SIGNAL-FC43FAEB0C5773DC	source_url_extracted	https://www.rppa.gov.rw/e-procurement	E-Procurement, Rwanda Public Procurement Authority	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:27791-27794	local country profile top_sources has I08 official procurement URL	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	review extracted local parent source under processing-state boundary
BPSE-02987	LIMEN-SIGNAL-FDE9F2E1F3B8AC87	source_url_extracted	https://rmiparliament.org/cms/images/LEGISLATION/PRINCIPAL/2023/2023-0062/2023-0062_1.pdf	Procurement Code Act 2023	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:35568-35571	local country profile top_sources has I08 official legislation PDF	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	review extracted local parent source under processing-state boundary
BPSE-02988	LIMEN-SIGNAL-0064821A592722BD	parent_source_wrapper		Burundi research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:218	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
BPSE-02989	LIMEN-SIGNAL-009045480147253F	parent_source_wrapper		Sierra Leone research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:242	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
BPSE-02990	LIMEN-SIGNAL-0099CB8D31C1BB12	parent_source_wrapper		Liberia research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:229	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
BPSE-02991	LIMEN-SIGNAL-00C9C6742D709228	country_gap_no_parent_source		Sao Tome and Principe - Public algorithm registers / transparency	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json:28347	dimension label/score row has no matching local top_source URL for this parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	keep as country-profile gap placeholder unless a named evidence URL is separately selected
BPSE-02992	LIMEN-SIGNAL-0148F53FB7FA49B6	parent_source_wrapper		Monaco research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:197	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
BPSE-02993	LIMEN-SIGNAL-025D54DB41E9724A	parent_source_wrapper		Chile research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv:188	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
BPSE-02994	LIMEN-SIGNAL-02E485AB7ADB3A9E	parent_source_wrapper		Djibouti research queue query bundle	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv:222	research queue row is a generated query bundle, not a single parent source	source-surface triage only; no incident truth, legality, compliance, safety, deployment, prevalence, or ranking claim	human must choose a concrete named source URL before source review
