signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-96F110989BE6782D	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv
LIMEN-SIGNAL-96F2233C5CEC3770	needs_named_source_extraction	index_row	Index row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/nordic-language-records.jsonl
LIMEN-SIGNAL-96F24462AF6D13E2	needs_named_source_extraction	index_row	Index row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-96F8DB16DA5AB927	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_patent_power_lane.py.merge-partial-latest-20260530T141221Z.bak
LIMEN-SIGNAL-96FC540885C8BCC1	source_reviewed_candidate	direct_official_source_surface	Local evidence names a concrete official source surface suitable for bounded review.	May claim bounded existence of this official source surface only.	review the named official source surface	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv
LIMEN-SIGNAL-96FC63F893AAC997	needs_named_source_extraction	index_row	Index row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/russian-language-latest.jsonl
LIMEN-SIGNAL-96FFA28B9810874D	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/05-policy-legal-synthesis/RESULT.md
LIMEN-SIGNAL-96FFC01C92034A7B	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_SOURCE_REFRESH.csv
LIMEN-SIGNAL-9701ACC8CE1121F0	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-9702B78E0E0F779A	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/corpus/v0.2-working/records/books-theory-latest.jsonl
LIMEN-SIGNAL-97095CE2BFEDB616	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/projects/public-ai-procurement-gap/results/boost/public-ai-procurement-gap-boost-004/evidence-delta.json
LIMEN-SIGNAL-9713D786155604A1	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv
LIMEN-SIGNAL-9721B0D8BC5DD8C7	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-117/argentina-law-evidence-row.json
LIMEN-SIGNAL-97280CB60B7EEEC1	reject_noise	internal_derived_artifact	Internal derived artifact does not expose a reviewable direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-curated.json
LIMEN-SIGNAL-9728C43E45F5A80F	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/cause-comparability-evidence-type-table-20260520T174625Z.md
LIMEN-SIGNAL-972BB84067B34952	merge_existing_surface	existing_registry_surface	Points to an already-modeled Helsinki AI Register surface.	Deduplicate to the existing Helsinki registry surface only.	merge into the existing Helsinki registry surface	/srv/tyche/gaia/tyche-research-vault/data/eu-agent-atlas-v0.1/snapshots/ai.hel.fi-b3a6ee9c807d44ed.bin
LIMEN-SIGNAL-97350422DFC24896	merge_existing_surface	existing_registry_surface	Points to an already-modeled Helsinki AI Register surface.	Deduplicate to the existing Helsinki registry surface only.	merge into the existing Helsinki registry surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.csv
LIMEN-SIGNAL-9737A1B28FA30E0F	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/multilingual/multilingual-law-to-evidence-v0.2.jsonl
LIMEN-SIGNAL-973AA841A58DF6ED	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-97412D47835340CB	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-9748E3EB455BB0EC	reject_noise	internal_derived_artifact	Internal derived artifact does not expose a reviewable direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-010/taxonomy-threshold-register.tsv
LIMEN-SIGNAL-9749265112FA01C1	reject_noise	internal_derived_artifact	Derived row does not itself provide a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json
LIMEN-SIGNAL-974EE73C643BDBAF	reject_noise	internal_derived_artifact	Internal derived artifact does not expose a reviewable direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-001/source-family-threshold-trigger-board-20260612T1305.tsv
LIMEN-SIGNAL-9751F0FF372326D1	merge_existing_surface	existing_registry_surface	Points to an already-modeled Helsinki AI Register surface.	Deduplicate to the existing Helsinki registry surface only.	merge into the existing Helsinki registry surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-9753656D16EB7C20	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-976CC6A586AB47E0	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv
LIMEN-SIGNAL-976E81B4210C1A05	needs_named_source_extraction	index_row	Index row may help trace sources but does not itself expose a direct reviewable surface.	Only unresolved source-direction may be claimed from this row.	extract a named direct source from local metadata first	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.1-freeze/data/lanes/articles-books-proceedings-records.jsonl
LIMEN-SIGNAL-97729F1CC3B36A2A	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/gaia/tyche-research-vault/journal.md
LIMEN-SIGNAL-977463A6A05EB2F9	reject_noise	internal_derived_artifact	Internal manuscript/config/log artifact is not a direct-source surface.	No direct-source claim should be made from this derived artifact.	drop from the direct-source queue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/draft.md
LIMEN-SIGNAL-977C09B3FC5D1C46	needs_named_source_extraction	country_profile_wrapper	Country/profile row points toward sources but does not expose a named review target.	Only source-direction may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-977C673F7B041D04	merge_existing_surface	existing_registry_surface	Points to an already-modeled Helsinki AI Register surface.	Deduplicate to the existing Helsinki registry surface only.	merge into the existing Helsinki registry surface	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050050Z/tables/registry-gap-map-v0.2.preview.csv
LIMEN-SIGNAL-97831E673FC82BB6	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv
LIMEN-SIGNAL-978AE8A176126E2C	needs_named_source_extraction	source_pack_or_country_profile	Wrapper/profile row points toward sources but does not expose a named review target.	Only source-direction or proxy linkage may be claimed from this row.	extract a named underlying source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv
LIMEN-SIGNAL-978D711090F162C7	negative_evidence_candidate	search_negative_or_weak_source	Local row preserves a bounded negative finding or weak-source limit.	Only bounded absence/evidence-limit wording is supportable from this row.	retain as negative evidence with explicit checked-surface bounds	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_CANDIDATE_MATRIX_DELTA.csv
