signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-B33195EA9463E258	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_LANE_SOURCE_CANDIDATES.csv	689	sha256:76f3fdcdebf9d42da2110e45566990463466a079f2ac317ad5712a5facd101cb	batch-20-ec-tw,transparency/evidence,candidate score-bearing source,source hardening before score update,KZ,Kazakhstan,Public visibility,Search for Kazakhstan algorithm register / public AI inventory,No official public register found,N/A,2026,research finding,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B3335E50BDB0C482	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-confidence-burden-typology-v0.1.json	1786	sha256:c3ac4358fdc62243ea3f3e6e61cfa85f40dcdfd62edffc2ec3857190e94807eb	"summary: ""Netherlands shows strong public evidence infrastructure: national AI Act implementation and supervision planning, active AP algorithm oversight, a large public algorithm register, mature standards/digital identity/open-data layers, and NIS2/Cyberbe"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B3373F3C1F5E0B0F	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/source-cache/v0.2/objects/dc/dc55afd30b050ca679015bf6.html	111	sha256:eb93944e3b2eb55a96c9999a92dded8846b41940bfd3fd719add673332992e65	"name: ""Regulatory Sandbox"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B33E4D2965F16E8B	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-014/kr-country-summary-review-card-v0.1.json	84	sha256:0ddcff4d06adc263dca40a0fa4d3da37f2418f603aece40c55812b9f63d7ee82	public AI inventory or algorithm register,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B34621390B550A00	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h2-lifecycle-infra-contrast-v0.1.csv	16	sha256:07689c86f79c9cd7687fdd5f42727ddbbb59da283181a2170eff840222e45c24	"BE,Belgium,3.0,3,3,3,3,1,M,20,generic_only,0,I01_no_confirmed_national_AI_Act_implementing_authority;I02_capacity_fragmented;I03_no_sandbox_found;I05_no_national_algorithm_register_found;I10_no_operational_evidence_register_found,""Belgium shows strong digital"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B34A13DA182AA593	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_SOURCE_REFRESH.csv	305	sha256:6ee4da3314528588bf1997b9bc227d4b9aaf085f828cbde47bd5c8824d72cd04	"NO,Norway,I10,Anskaffelse av generativ KI,Digitaliseringsdirektoratet (Digdir),https://www.digdir.no/kunstig-intelligens/anskaffelse-av-generativ-ki/7546,2026-05-31,official AI procurement guidance,AI lifecycle logging evidence,H,""Same Digdir guidance mentions"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B34A4D33C8B214C3	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-candidate-only-boundaries-update.md	208	sha256:a2376decc71f6c3f7af251fe86183b390f7828081f9f772fafdc037e8e173b3b	The source-family cause-profile figure in `analysis/figures/source-family-cause-profile.svg` is included as a working diagnostic for this stratification rule. It is derived from `analysis/source-family-cause-counts.csv` and intentionally keeps Retraction Watch	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B353F204F85ADE53	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	712	sha256:d08bf10397976f7a1702bdb3280d2e7130d5151b8a063558c5c411686e883082	"9,KN,Saint Kitts and Nevis,I05,,0,L,0,M,,true,,""E-services and NTRC registry pages show public portals/sector registries, but no public algorithm register, AI-system register, or automated-decision transparency register was found in official sources checked."","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B35C83CEFC6D6692	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl	35	sha256:9684bf0c11bdf128905dde0d5a2fd2fe00be1dfa66711c054b1583a9dcfb00c2	"{""already_in_main_dataset"": false, ""authors"": [""Huixin Zhong""], ""category"": ""scholarly-index-result"", ""container_title"": ""AI Magazine"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.1002/aaai.12183"", ""domain"": ""doi.org"", ""factory_record_id"": ""dd3998be327235be50"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-B35ED321AC8F0F8E	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/systematic-literature-screening-20260608.csv	42	sha256:ef1473781a9d90ed17e969eea94de978881676e6887612b5236f05321f9a1640	"Crossref,registers,""""""algorithmic transparency register"""""",163644,16,Algorithmic Transparency as a Due Process Requirement in Automated Decision-Making,,10.2139/ssrn.5997154,,https://doi.org/10.2139/ssrn.5997154,""registers: """"algorithmic transparency register"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
