signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-EFA872EDBE3DC1DC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	22550	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F02AE32CBFF0EB97	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	29071	sha256:9359e952845fad0ddf47dbf89f9306b1c940a2c0eabc5397e644df72d648178a	"weak_source_warning: ""I01: Official National AI Strategy 2025-2027 and launch page materially improve source strength and show implementa; I03: BoZ regulatory sandbox page/guidelines evidence an operational financial-sector sandbox; AI Strategy separatel; I0"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F07048D8186A73A3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	16429	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F0BAF232BFA9BA93	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	37172	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F162124DACB77035	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	190	sha256:a3c8c10b9760f43d4e82c1349354d52517b2b6bc2edb9dd20a00f31c080d8a64	VA,Vatican City,high,C fragmented but observable,medium,Vatican City AI Act implementation competent authority; Vatican City algorithm register public sector AI; Vatican City AI regulatory sandbox; Vatican City AI procurement public sector guidance; Vatican Ci	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F1DEDF2170EDBC23	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	229	sha256:5848fb3e3175d05e871a57fb98e494465dbb7b757fbbd5de4b88621a31fc1a62	LR,Liberia,high,D thin visibility,medium,Liberia AI Act implementation competent authority; Liberia algorithm register public sector AI; Liberia AI regulatory sandbox; Liberia AI procurement public sector guidance; Liberia AI audit logs provenance post-market	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F20AE34F4D86EC62	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	21024	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F2F92C233D2E77F5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	33343	sha256:5ff2bd7ffb151cc8e3a35705f550242917c15c0ae14a318ce0a1da7c0dd726a9	"weak_source_warning: ""No public official AI-specific law or AI Act implementation source was verified.; No public official Tunisia-wide AI regulatory sandbox was verified; the sandbox evidence is fintech-specific.; No public algorithm register or automated-d"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F37EA714561EC879	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	190	sha256:a3c8c10b9760f43d4e82c1349354d52517b2b6bc2edb9dd20a00f31c080d8a64	VA,Vatican City,high,C fragmented but observable,medium,Vatican City AI Act implementation competent authority; Vatican City algorithm register public sector AI; Vatican City AI regulatory sandbox; Vatican City AI procurement public sector guidance; Vatican Ci	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F3D438ADD6ED8D9E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	228	sha256:1c0b4cfa76084efe206de8ff21816e5565c68fec6fccb69b81d95910698873d5	LS,Lesotho,high,D thin visibility,medium,Lesotho AI Act implementation competent authority; Lesotho algorithm register public sector AI; Lesotho AI regulatory sandbox; Lesotho AI procurement public sector guidance; Lesotho AI audit logs provenance post-market	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F41717AAB93499FE	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	20105	sha256:22fcf699d3a6fbe53e58504ff33acb4976d763015ebe55b0e5e1a727222adc57	"label: ""Public algorithm registers / transparency"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F447A94B69F743D4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	239	sha256:4ffe20f5833b14d8e691d45bb522e61ae3d3f20d48c2158b7ce9342789445e97	RW,Rwanda,high,D thin visibility,medium,Rwanda AI Act implementation competent authority; Rwanda algorithm register public sector AI; Rwanda AI regulatory sandbox; Rwanda AI procurement public sector guidance; Rwanda AI audit logs provenance post-market monito	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F4D94C6C90C45D5D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	198	sha256:cfa464107f21b4d4c1fb07c7dab15a0f849535fb2083b35d14545d3cc5c7caf7	OM,Oman,high,D thin visibility,medium,Oman AI Act implementation competent authority; Oman algorithm register public sector AI; Oman AI regulatory sandbox; Oman AI procurement public sector guidance; Oman AI audit logs provenance post-market monitoring; Oman A	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F4ECB86CB9A5416C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	23604	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F532C56C1AE0A821	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	249	sha256:0c180b6d3eb1d611d34cabbbbb0dc126a9e3a780ae35aa668bec9dd2ec3ee5dd	VE,Venezuela,high,D thin visibility,medium,Venezuela AI Act implementation competent authority; Venezuela algorithm register public sector AI; Venezuela AI regulatory sandbox; Venezuela AI procurement public sector guidance; Venezuela AI audit logs provenance	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F57217FB17A7C58E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	208	sha256:61c08878f19764b507ea929cf8aee0d6c301325ce718d218f738d1712f1e8821	TT,Trinidad and Tobago,high,D thin visibility,medium,Trinidad and Tobago AI Act implementation competent authority; Trinidad and Tobago algorithm register public sector AI; Trinidad and Tobago AI regulatory sandbox; Trinidad and Tobago AI procurement public se	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F6CA3F33AE39BDB8	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	227	sha256:9b2efeda68c287274522cfd9325946677816180b406f2a88d9f92e22ff2122a7	KE,Kenya,high,D thin visibility,medium,Kenya AI Act implementation competent authority; Kenya algorithm register public sector AI; Kenya AI regulatory sandbox; Kenya AI procurement public sector guidance; Kenya AI audit logs provenance post-market monitoring;	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F72D1FCD484DEF6C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	public sector AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	183	sha256:c47fed25b98679481a1633198b93db8353b95650291e810825cbcdeb7b185002	MY,Malaysia,high,C fragmented but observable,medium,Malaysia AI Act implementation competent authority; Malaysia algorithm register public sector AI; Malaysia AI regulatory sandbox; Malaysia AI procurement public sector guidance; Malaysia AI audit logs provena	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F73B4DEA0A2E3F86	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	232	sha256:ba34c971e81b7da03dfb37d7a54e48b978168d2616ba352156b16e3bc2952263	MR,Mauritania,high,D thin visibility,medium,Mauritania AI Act implementation competent authority; Mauritania algorithm register public sector AI; Mauritania AI regulatory sandbox; Mauritania AI procurement public sector guidance; Mauritania AI audit logs prove	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F778CF1700B8968F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	34410	sha256:393c13f58c6645cbec4cfe3f9ddf64ffe02f0b4b16a8778ff606222ad745e2fa	"weak_source_warning: ""No AI-specific regulatory sandbox for Christmas Island was found. ASIC's Enhanced Regulatory Sandbox is official but sectoral and not AI-specific.; No public Christmas Island algorithm register or AI transparency register was found. Thi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F79159B28494577A	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	33976	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-F7D14CFB645F8E1E	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-17T07:28:54Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json	27569	sha256:99517119119ea146dc2a89f8a54afc3bd5aeae7a5a87444f3c075f861ebf0121	"label: ""Regulatory sandbox maturity"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
