surface	field	value	count	interpretation
full_first_pass_review	first_pass_verdict	merge_with_existing_surface	21572	triage verdict only
full_first_pass_review	first_pass_verdict	reject_as_cross_project_noise	18462	triage verdict only
full_first_pass_review	first_pass_verdict	promote_to_source_review	7603	triage verdict only
full_first_pass_review	first_pass_verdict	hold_needs_direct_source	5761	triage verdict only
full_first_pass_review	first_pass_verdict	hold_low_relevance	1773	triage verdict only
full_first_pass_review	first_pass_verdict	hold_needs_human_translation	554	triage verdict only
direct_source_review_queue	review_priority	P2_article_relevance_review	9772	review priority only
direct_source_review_queue	review_priority	P1_official_or_regulator_review	3967	review priority only
direct_source_review_queue	review_priority	P3_candidate_review	179	review priority only
source_review_completion_ledger	completion_disposition	closed_source_surface_anchor_only	1417	completion/closure state
source_review_completion_ledger	completion_disposition	residual_no_named_url_reviewed	138	completion/closure state
source_review_completion_ledger	completion_disposition	residual_parent_source_wrapper	66	completion/closure state
source_review_completion_ledger	completion_disposition	closed_existing_reviewed_core_or_duplicate	15	completion/closure state
source_review_completion_ledger	completion_disposition	closed_snapshot_only_no_original_url	10	completion/closure state
source_review_promotion_hardening	promotion_resolution	open_promotion_hardening	1631	workflow resolution
source_review_promotion_hardening	promotion_resolution	linked_existing_reviewed_core	15	workflow resolution
reviewed_core_promotion_packet	promotion_readiness	source_surface_or_context_only	1991	readiness state
reviewed_core_promotion_packet	promotion_readiness	duplicate_existing_reviewed_core	15	readiness state
case_extraction_results	case_extraction_verdict	closed_noncase_source_surface	949	extraction verdict
case_extraction_results	case_extraction_verdict	case_candidate_for_hardening	13	extraction verdict
case_extraction_results	case_extraction_verdict	needs_original_source_text	6	extraction verdict
case_extraction_results	case_extraction_verdict	blocked_no_public_source	5	extraction verdict
case_extraction_results	case_extraction_verdict	closed_duplicate_existing_core	3	extraction verdict
case_extraction_results	case_extraction_verdict	reject_noise	1	extraction verdict
hardening_review	hardening_verdict	source_verified_case_candidate_needs_acceptance	11	hardening gate
hardening_review	hardening_verdict	case_candidate_source_fetch_or_support_gap	2	hardening gate
autoreview	effective_decision	hold_source_only	7	advisory auto-review
autoreview	effective_decision	hold_source_gap	2	advisory auto-review
autoreview	effective_decision	promoted_to_reviewed_core	2	advisory auto-review
autoreview	effective_decision	duplicate_existing_core	1	advisory auto-review
autoreview	effective_decision	hold_low_evidence	1	advisory auto-review
final_adjudication	final_decision	hold_source_only	8	final inclusion/exclusion decision
final_adjudication	final_decision	hold_source_gap	2	final inclusion/exclusion decision
final_adjudication	final_decision	promoted_to_reviewed_core	2	final inclusion/exclusion decision
final_adjudication	final_decision	duplicate_existing_core	1	final inclusion/exclusion decision
final_adjudication	final_decision	hold_low_evidence	1	final inclusion/exclusion decision
ai_washing_posture	authority_posture	settled_regulator_order	2	authority posture
ai_washing_posture	authority_posture	authoritative_charging_stage	1	authority posture
ai_washing_posture	authority_posture	verification_queue	1	authority posture
