queue_id	signal_id	source_review_role	review_priority	shards	queries	source_path	source_line	reason	claim_ceiling	next_action
BPSE-00097	LIMEN-SIGNAL-98DF9849977A26C0	wrapper/proxy row	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	249	score-change note cites underlying laws/bills but is still a narrative wrapper	no direct source claim from this row	extract named underlying source surface first
BPSE-00098	LIMEN-SIGNAL-99D2F472BC4FFE03	wrapper/proxy row	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_14_CANDIDATE_MATRIX_DELTA.csv	36	candidate-matrix delta cites underlying official datasets but is still a narrative wrapper	no direct source claim from this row	extract named underlying source surface first
BPSE-00099	LIMEN-SIGNAL-9A1C3D358A20FABC	wrapper/proxy row	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	145	country-index row summarizes examples but does not expose one named reviewable surface	no direct source claim from this row	extract named underlying source surface first
BPSE-00100	LIMEN-SIGNAL-9A5F9D5D2EB4E92A	wrapper/proxy row	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_6_SUMMARY.md	147	summary table lists underlying Palau sources but is still a wrapper	no direct source claim from this row	extract named underlying source surface first
BPSE-00101	LIMEN-SIGNAL-9A76468A615DA1AF	wrapper/proxy row	P1_official_or_regulator_review	residual-weird	AI incident	/srv/tyche/gaia/tyche-research-vault/notes/trace-x-case-briefs-section6.md	83	case-brief note points toward a named CJEU judgment but is not the source surface itself	no direct source claim from this row	extract named underlying source surface first
BPSE-00102	LIMEN-SIGNAL-9D1A8AF7E9508B09	wrapper/proxy row	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_COUNTRY_PROFILES.md	797	country profile lists example sources but does not expose one reviewable source surface	no direct source claim from this row	extract named underlying source surface first
BPSE-00103	LIMEN-SIGNAL-A07ADD7334AB8EC5	proxy_or_wrapper_source_surface	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/data/facts.json	4432	Local metadata points toward an underlying source surface but does not yet expose a clean named review target.	must resolve direct public source before promotion	extract the named underlying source surface locally before review
BPSE-00104	LIMEN-SIGNAL-A177679748B6437C	proxy_or_wrapper_source_surface	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_WEAK_SOURCE_WARNINGS.md	304	Local row is a source-pack/proxy entry that still needs named source extraction.	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	extract the named underlying source surface locally before review
BPSE-00105	LIMEN-SIGNAL-A5B6784A543C1985	hardening_summary_wrapper	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_HARDENING_SUMMARY.csv	35	Country hardening summary points toward underlying sources but does not expose one reviewable surface here.	wrapper/proxy evidence only; no direct source-surface claim until a named underlying source is extracted.	extract named underlying source surface
BPSE-00106	LIMEN-SIGNAL-A62BCD996994AFA3	matrix_pointer	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	693	Matrix row points toward Government Gazette/RONLAW procurement anchors but does not expose one named reviewable surface cleanly here.	wrapper/proxy evidence only; no direct source-surface claim until a named underlying source is extracted.	extract named underlying source surface
BPSE-00107	LIMEN-SIGNAL-A7309C1F87D3A0D2	derived_matrix_pointer	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv	1993	Matrix delta cites a guideline but does not expose a named reviewable source surface here.	extract named direct source before review	extract exact guideline title or URL locally
