signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-3E4A375B63BBF852	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	automated decision	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/books-theory-latest.jsonl	159	sha256:6ee6f5496eba58622cf678f264cc3c172a5e594533d5466275fde576bd080b47	"{""already_in_main_dataset"": false, ""authors"": [""Tshilidzi Marwala""], ""category"": ""scholarly-index-result"", ""container_title"": ""Advanced Information and Knowledge Processing"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.1007/978-3-319-11424-8"", ""domain"": ""doi."	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E515BD129FAEBF6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/spanish-portuguese-language-latest.jsonl	24	sha256:8d886330af2730da0c723a9e4f23c644132b33ff5691a5ee6b4411d4eaf1cc5b	"{""already_in_main_dataset"": false, ""authors"": [""María Paz Hermosilla"", ""Mariana Germán""], ""category"": ""scholarly-index-result"", ""container_title"": ""REVISTA CHILENA DE LA ADMINISTRACIÓN DEL ESTADO"", ""corpus_version"": ""v0.2-working"", ""doi"": ""10.57211/revista.v11"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E54F6DC6FD6BA20	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-evidence-matrix-v0.1.preview.csv	4	sha256:59e5030a21c31544f349209fc5e6177f328a25c25e2100f4adf914c115b9572e	"FI-HEL-AI,City of Helsinki AI Register,active_register,""Helsinki, Finland"",Finland,en/fi/sv,https://ai.hel.fi/en/,2026-06-05,Public municipal website; reuse terms not fully assessed in v0.1,yes,yes,yes,partial,yes,partial,no,partial,yes,yes,yes,unknown,Atlas e"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E5F24E69FE36E3A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.csv	224	sha256:d1bb42e9d11775e3bcfe7bd0a1e6bf9d6ddaef8a232f1f92261dfcdb99a185c4	RS,Serbia,weak,1,M,0.81,45.6,32,high,world_matrix_language_gap,none,,,register_scarce_medium_confidence,no adopted AI law found; no designated AI regulator found; no AI regulatory sandbox found; no public algorithm register found; no AI-specific procurement re	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E62D6D6AB570F60	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-boost-105/anchor-drift-audit.json	8	sha256:71a50815b67b0a56a66014b2d1e67a9d39971729e13083d13c82c2f54d6e79e4	"assignment: ""Harden public-sector agent records and public algorithm register links for high-signal countries. Expansion shard 105; avoid duplicating earlier gaia boost 045 work, prefer unresolved gaps and leave a negative result if the shard is already cove"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E640487594683B1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	402	sha256:121fee4b2574dac624f8201d935112c58abb8106f23a571d26a0410a25b1258a	- I03: Kratt/Bürokratt evidence shows experimentation/adoption infrastructure, not a formal AI Act regulatory sandbox.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E640F18A5EF6CF7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv	146	sha256:7f6ee26f38896ed7f12469f0bd702dc7ce512f6358a86937a72f0332fbb96329	"GA,Gabon,I08,ARMP legal texts page,ARMP Gabon,https://armp.ga/index.php/textes-juridiques/,2026-05-30,official_procurement_portal,positive_anchor,M,""ARMP legal texts page provides public procurement legal framework material, including code/ordinances/laws/decr"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E69B0B877AFEFB1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/analysis/evidence-package/evidence-package-semantic-links-v0.2.jsonl	400	sha256:c2098cd249f232924ec3b98fa99dae06749efe34c33dd3785fb76ad7fee8f0c3	"{""corpus_version"": ""v0.2"", ""evidence_objects"": ""incident-reporting evidence; risk-management file; provenance receipt"", ""field_id"": ""cybersecurity_controls_incident_readiness"", ""generated_at"": ""2026-06-05T11:01:03Z"", ""relation"": ""claim-supports-field"", ""source"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E6C0575F395C5E4	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2.2-paper-grade-20260604T114556Z/corpus/v0.2-working/records/global-south-kenya-history.jsonl	22	sha256:2a130f295db66d82a7c52342ebf0691ab2881afde443457c01d29914d9c97813	"{""already_in_main_dataset"": false, ""authors"": [""Shaphali Gupta"", ""V. Kumar"", ""Esraa Karam""], ""category"": ""scholarly-index-result"", ""cited_by_count"": 104, ""corpus_version"": ""v0.2-working"", ""doi"": ""https://doi.org/10.1016/j.indmarman.2019.09.009"", ""domain"": ""doi"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E76252F4A144E43	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/sources/v02-gap-sprint.json	3301	sha256:a9bd54d6ed93ba49905c6d243b13055b85a81213131ec4e0dbea571367c9a880	algorithm or AI register entry,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E779F61E7DC5D07	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/hypothesis-lab/pallas-h4-jurisdiction-family-split-v0.1.json	348	sha256:df0c3dbb19eea19f3455c1b21c12314ab65dabd8cb8c3876fcd802fe4a9126fa	"gap_flags_excerpt: ""no dedicated AI law found; no AI-specific competent authority found; no public algorithm register found; no AI procurement guidance found; no AI lifecycle audit/post-market/revocation framework found"""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E7993E03D4B7DA4	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_patent_power_lane.py.partial-proxy-20260530T140843Z.bak	242	sha256:8abbbe7ae2a991d2dbea0eb42237fb244f2b0a3354b3a70d0e4c0f03f2ce2a99	'why': 'Find IP around public-sector algorithm registers, audit metadata, and compliance inventories.',	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E7BF268E1FC2D2A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv	77	sha256:5b29008a2a64e4f323773792f0d8efbd60ff651343349fb24c21b91191a0f7f7	TZ,Tanzania,high,D thin visibility,high,Tanzania AI Act implementation competent authority; Tanzania algorithm register public sector AI; Tanzania AI regulatory sandbox; Tanzania AI procurement public sector guidance; Tanzania AI audit logs provenance post-mar	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E8079FAA330C42E	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_250_COUNTRY_MATRIX.csv	149	sha256:4639d2417a9dfc0141a1884c91bc04e0cc68af78820fa6baa3b35ae2825a8a24	"GI,Gibraltar,35.0,32.2,D thin visibility,0.74,40.0,13.3,66.7,33.3,16.7,22,14,0,0,high,7,10,Medium: gap interpretation,""human review required for I01, I02, I03, I04, I05, I08, I10; weak or indirect source evidence remains for I03, I04"",no_ai_law_found; no_ai_co"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E81F996EF365221	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_INDEX.csv	60	sha256:6fa5bea35b0654b36e135f332cb610d6803c74d4e7aa7c65f5ed2c895f01e60c	"BN,Brunei,48.3,45.8,C fragmented but observable,0.82,53.3,13.3,83.3,46.7,66.7,23,21,0,0,medium,6,10,Medium: gap interpretation,""human review required for I01, I02, I04, I05, I08, I10"",no_binding_ai_act_found; no_public_algorithm_register_found; no_ai_specific_"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E8E8FFC88F799CC	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_COUNTRY_PROFILES.md	711	sha256:0caeadb11ddbcd36116d08714048a4bd4adadb0457989db92859f0bcdfaaa196	French Southern and Antarctic Lands is classified as D thin visibility with a raw observability score of 31.7 and a confidence-adjusted score of 27.4. The visible strengths are I02 2/M; I09 2/M. The main thin points are I01 0/L; I03 1/L; I04 1/L; I05 0/L; I06	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E92416C03405EC3	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/program/04-estonia-finland-case-study/paper/venue/estonia-finland-ai-and-ethics-preprint.md	60	sha256:3f3b39e04ac5beddd44d289f68b3b2f3ff6d72ab893bd25eec6e8a8f270affae	PALLAS uses ten indicators: I01 AI law / AI Act implementation; I02 competent authority / regulator capacity; I03 regulatory sandbox maturity; I04 standards-body participation; I05 public algorithm registers / transparency practice; I06 digital identity, PKI,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-3E932B7A85FAAEC6	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-sample-records-v0.2.preview.csv	9	sha256:e048785b7f51e16e293fdf23b21ac8ad5f676bc84fac21fa61affa1a2d04a42f	"FI-HEL-AI-SAMPLE-5,FI-HEL-AI,City of Helsinki AI Register,""Helsinki, Finland"",Finland,English/Finnish/Swedish site; sample from English listing,https://ai.hel.fi/en/ai-register/,2026-06-05,Sotebot Hester,City of Helsinki,yes,partial,partial,partial,no,unknown,"	needs direct source, source-pack resolution, or translation-aware review before example promotion
