signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-70CD8C1D37A98D6E	needs_named_source_extraction	wrapper_or_proxy_row	Local row in sandboxes-cases-latest.jsonl is a wrapper/proxy and does not yet expose one named reviewable source surface.	wrapper points toward a source; no direct-source claim until a named surface is extracted	extract one named source surface from local metadata before requeue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-70CEF90C10C2DE22	needs_named_source_extraction	wrapper_or_proxy_row	Local row in OBSERVABILITY_RESEARCH_QUEUE.csv is a wrapper/proxy and does not yet expose one named reviewable source surface.	wrapper points toward a source; no direct-source claim until a named surface is extracted	extract one named source surface from local metadata before requeue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-70D9887FC0D2F2CE	merge_existing_surface	already_modeled_registry_surface	Dutch register sample row is already modeled under the Dutch national Algorithm Register surface.	dedupe to existing local surface only; no separate promotion	dedupe into existing modeled surface	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-015/normalized-long-export-pilot-v0.1.csv
LIMEN-SIGNAL-70DC827F94C51D81	needs_named_source_extraction	wrapper_or_proxy_row	Local row in OBSERVABILITY_RESEARCH_QUEUE.csv is a wrapper/proxy and does not yet expose one named reviewable source surface.	wrapper points toward a source; no direct-source claim until a named surface is extracted	extract one named source surface from local metadata before requeue	/srv/tyche/pallas/pallas-ai-agent-observatory/program/08-observability-index/OBSERVABILITY_RESEARCH_QUEUE.csv
LIMEN-SIGNAL-70E065B1B5A0583D	needs_named_source_extraction	wrapper_or_proxy_row	Local row in sandboxes-cases-latest.jsonl is a wrapper/proxy and does not yet expose one named reviewable source surface.	wrapper points toward a source; no direct-source claim until a named surface is extracted	extract one named source surface from local metadata before requeue	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/sandboxes-cases-latest.jsonl
LIMEN-SIGNAL-70E4704636268E29	negative_evidence_candidate	negative_search_or_gap_warning	Local row in PALLAS_SECOND_PASS_SPRINT_7_CANDIDATE_MATRIX_DELTA.csv records bounded negative or gap evidence rather than a promotable direct surface.	search-limited negative evidence only; not proof of absence	retain only as bounded negative-evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_7_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-70EAA3AE377EA1F0	reject_noise	derived_internal_artifact	Local row in hermes_remote_factory.py.no-egress-gate-20260530T130201Z.bak is a derived/internal artifact rather than a direct source surface.	no direct-source promotion; derived artifact only	drop from direct-source queue	/srv/tyche/atlas/tyche-thesis-atlas-factory/bin/hermes_remote_factory.py.no-egress-gate-20260530T130201Z.bak
LIMEN-SIGNAL-70EAFE24A37C3FBD	needs_named_source_extraction	wrapper_or_proxy_row	Local row in claim-support-digest.json is a wrapper/proxy and does not yet expose one named reviewable source surface.	wrapper points toward a source; no direct-source claim until a named surface is extracted	extract one named source surface from local metadata before requeue	/srv/tyche/pallas/pallas-ai-agent-observatory/results/exploitation-wave-pallas-20260605T192929Z/claim-support-digest.json
LIMEN-SIGNAL-70F433A986864371	negative_evidence_candidate	negative_search_or_gap_warning	Local row in PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv records bounded negative or gap evidence rather than a promotable direct surface.	search-limited negative evidence only; not proof of absence	retain only as bounded negative-evidence anchor	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CANDIDATE_MATRIX_DELTA.csv
LIMEN-SIGNAL-70F69216AC0DE34C	merge_existing_surface	already_modeled_registry_surface	algorithmregister.org is already modeled locally as EUROCITIES-ATS in the registry evidence matrix.	dedupe to existing local surface only; no separate promotion	dedupe into existing modeled surface	/srv/tyche/projects/public-ai-registry/data/registry-evidence-matrix-v0.1.csv
