signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-D7B461B4C0FECCC0	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_REVIEW_QUEUE.csv	406	sha256:b2688dbd9d7c68070a5d3bcba63debc3e9d45caa55043cb30d4c2a69d77c61d2	"5,FJ,Fiji,I05,,0,L,0,M,,TRUE,,""Official portal search for algorithm-register terms did not identify a public algorithm register; confidence in conservative zero improves, but the search is not exhaustive."",,,,fj-source-hardening,confidence_only"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7B7C566DA13BC82	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/records/southeast-asian-language-history.jsonl	1	sha256:e75d7a66a10486710ecb342d9175a12d8a80abe28ba6663e2ff24fd8ed1cf9a6	"{""access_method"": ""direct"", ""already_in_main_dataset"": false, ""category"": ""multilingual-official-source"", ""content_hash"": ""ae98436a9ef72d6706115bc5bfe9ebb7702254e5872f5913c6b50466bd792309"", ""content_type"": ""text/html; charset=utf-8"", ""corpus_version"": ""v0.2-wo"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7B8010539646CB8	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_WEAK_SOURCE_WARNINGS.md	565	sha256:4879c94274069f3d6742a7f1b380eda89b97525f297fffbf9b3737f376c14efa	- No complete AI procurement framework, model clauses, or audit/provenance control set was verified.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7C074BBDD24FB1B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv	86	sha256:5c20c983872b6e91bc646d41cacee864f248675310cfcc071911e2218629a4cf	MA,Morocco,I03,AMMC Fintech portal,Autorité Marocaine du Marché des Capitaux,https://www.ammc.ma/fr/fintech,2026-05-31,official_financial_market_regulator,partial,M,AMMC states it created a special FinTech portal to accompany actors/projects; no public regulat	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7C1397097F79EFD	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_COUNTRY_MATRIX.csv	50	sha256:2a0d6b215bcaf5ff1f320253e91b3ff9d9b534207f089b4219624ec0ab3554dd	pallas-readiness-sprint-2,GE,Georgia,1,M,1,M,2,H,1,M,0,L,2,H,2,H,1,M,1,M,1,M,22,AI_ACT_NO_DEDICATED_LAW;NO_AI_COMPETENT_AUTHORITY_FOUND;SANDBOX_SECTORAL_FINTECH_ONLY;NO_ALGORITHM_REGISTER_FOUND;DATA_PORTAL_ACCESS_WEAK;NO_AI_PROCUREMENT_RULES_FOUND;NO_AI_LIFECY	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7C9277AA06979E8	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md	845	sha256:29932fab547f13a240a8000eb2532227b60927993917652241bfdeb3f9f4fc70	| no_named_ai_competent_authority | No AI law, AI authority, sandbox, standards participation, algorithm register, strong cyber baseline, or AI evidence-lifecycle source was found. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7CA6A4C9FE42BA6	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/gaia/tyche-research-vault/build/jipitec/mapping-paper-jipitec-open.md	347	sha256:8688d4c130d05ed1f01ba953db88ea8011503e941f578aaafec063b3180cda0d	| Cross-jurisdiction | — | eIDAS trusted lists give qualified trust services cross-Union recognition [^2]; the AI Act has no equivalent for high-risk AI evidence packages. The mapping assumes operator trust anchors plus the underlying trust-service validation,	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7D08D767B605F5C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_15_CANDIDATE_MATRIX_DELTA.csv	76	sha256:e79c5a54f13e209d4bdad87573ed77c221418424a74b7c242e0fb0a7aadff4ff	"mf-source-hardening,MF,Saint Martin,I05,0,L,0,M,confidence_only,""No score change; confidence improves for the negative finding. Local sitemap and data.gouv.fr organization check did not reveal a public algorithm register or AI transparency inventory. This is c"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7D7441665664153	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P2_article_relevance_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_WEAK_SOURCE_WARNINGS.md	393	sha256:9b663215cef823fd62cd2776d03bbd6ab25783fddccb1254762c47b53f352576	| no_algorithm_register_found | AI-specific legal implementation and public-sector AI evidence controls need a targeted second pass. |	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-D7D81CCB4B77BE72	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P2_article_relevance_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050415Z/tables/registry-gap-map-v0.2.csv	4	sha256:88d2f42a6152b55e1d82e613fa6f06dced16d1dad487c37db000459d4b04e0d4	"GM-SRC-FI-HEL-AI,FI-HEL-AI,,City of Helsinki AI Register,active_register,source_level,substantive_page,""Helsinki, Finland"",Finland,Helsinki,en/fi/sv,https://ai.hel.fi/en/,2026-06-05,licence_unresolved,Public municipal website; reuse terms not fully assessed in"	needs direct source, source-pack resolution, or translation-aware review before example promotion
