as_of_utc	candidate_subtype	source_review_rows	review_row_count	unique_lineage_count	authoritative_or_direct_lineages	single_public_lineages	dominant_categories	jurisdiction_scope	language_scope	example_titles	adoption_signal	why_now	observatory_hook	caution
2026-06-08T20:36:13Z	model_mediated_execution_surface_failures	REVIEW-NOMERGE-CODEEXEC-001;REVIEW-NOMERGE-CODEEXEC-002	2	3	3	0	agentic_control_failure;security_risk	Global	English	Auto-GPT sandbox escape and host code execution risk via unsanitized file basename | LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk | LlamaIndex safe_eval allowed model-mediated command injection via Python execution paths	promote_methods_note_only	Two reviewed non-merge rows cover three distinct frameworks and three unique lineages around model-mediated code reaching Python or OS execution surfaces.	security x agentic subtype heatmap and reviewer-safe recurrence panel	Subtype only; not a same-event cluster and not a prevalence claim.
2026-06-08T20:36:13Z	agent_file_disclosure_and_tool_boundary_failures	REVIEW-NOMERGE-CREWAI-001;REVIEW-NOMERGE-FILEREAD-001	2	3	3	0	agentic_control_failure;security_risk	Global	English	CrewAI JSON loader allowed arbitrary local file read on the server | CrewAI RAG search tools enabled server-side request forgery and internal/cloud content acquisition | Claude Code default allowlist enabled unauthorized file read and network exfiltration before forced update	promote_methods_note_only	Two reviewed non-merge rows cover local file disclosure, SSRF, and tool-boundary bypass patterns across Claude Code and CrewAI.	tool-boundary risk overlay for agent frameworks	Subtype only; keep product-specific vulnerabilities as distinct lineages.
2026-06-08T20:36:13Z	framework_runtime_state_and_memory_trust_boundary_failures	REVIEW-NOMERGE-LANGCHAIN-001	1	2	2	0	agentic_control_failure;security_risk	Global	English	LangChain LLMMathChain allowed prompt injection into Python exec, creating arbitrary code execution risk | LangChain broad load() allowlists enabled attacker-controlled object revival, chat-history poisoning, and possible credential or request side effects	hold_until_second_framework_or_second_langchain_component	LangChain now has one reviewed bounded recurrence package spanning execution and unsafe serialized state revival, but only one framework family currently supports it.	runtime-state / memory-poisoning watch panel	Do not promote from one framework family alone into a top-level label.
2026-06-08T20:36:13Z	official_non_finance_false_ai_capability_enforcement	REVIEW-NOMERGE-FTC-001	1	2	2	0	ai_washing_or_false_ai_claim;education_workplace_or_hr;legal_procedural_contamination	United States	en	FTC final order and complaint package on DoNotPay AI-lawyer and robot-lawyer claims | FTC final order and complaint package on Workado / Content at Scale AI detector accuracy claims	promote_methods_note_only	The DoNotPay and Workado package gives LIMEN one bounded official non-finance recurrence family outside the SEC finance subset.	false-capability enforcement split: finance vs non-finance	Keep complaint/final-order posture explicit and do not overread into general detector or legal-services conclusions.
2026-06-08T20:36:13Z	biometric_governance_and_facial_recognition_oversight	REVIEW-NOMERGE-ICO-001;REVIEW-NOMERGE-BIOMETRIC-001	2	3	3	0	education_workplace_or_hr;public_sector_misuse_or_gap;surveillance_biometrics_or_policing	UK;FR	en;fr	UK ICO orders Serco Leisure and associated trusts to stop biometric attendance monitoring | UK ICO reprimands Essex school over facial-recognition canteen payments | French CNIL warning-page legality challenge on facial-recognition use for stadium-ban screening	promote_methods_note_only	Two reviewed non-merge rows now cover one UK regulator-family recurrence pair plus one cross-jurisdiction legality/oversight pair, widening reviewer-safe biometric-governance comparison to three distinct lineages without collapsing posture differences.	biometric governance comparator card; reviewer-safe recurrence panel; Figure 4 overlay note	Bounded recurrence only; keep enforcement notice, reprimand, and legality-warning postures separate and do not treat the French row as deployment proof or the ORION sidecar as part of the reviewed overlay package.
2026-06-08T20:36:13Z	regulated_finance_ai_washing_enforcement	REVIEW-NOMERGE-SEC-001	1	2	2	0	ai_washing_or_false_ai_claim;finance_insurance_or_market	CA;US	en	SEC settlement with Delphia over false and misleading statements about AI and machine learning use | SEC settlement with Global Predictions over false and misleading AI financial-adviser claims	already_bounded_keep_no_top_level_change	The SEC Delphia and Global Predictions pair remains a clean regulator-batch recurrence package and should stay bounded to regulated-finance AI-washing.	finance enforcement recurrence panel	Do not merge distinct firms or imply broader market prevalence from one batch announcement.
2026-06-08T20:36:13Z	publisher_direct_notice_research_integrity	REVIEW-NOMERGE-RI-SPRINGER-001;REVIEW-NOMERGE-RI-AI-MANIP-001	2	3	3	0	legal_procedural_contamination;normative_or_moral_outlier	unknown_or_multijurisdictional	en	Springer Nature correction / retraction notice for a journal article citing unverifiable references | Springer Nature chapter-level notice for a book chapter with fabricated or unverifiable references | NEJM archived retraction notice for AI-assisted image manipulation in a case-study figure	keep_extended_surface_only_until_seeded_or_second_non_springer_lineage	LIMEN now has two machine-readable reviewed non-merge direct-notice overlays covering three direct-notice lineages, including one cross-publisher pair. That widens the shadow package beyond a Springer-only recurrence while still staying below seeded category promotion.	research-integrity recurrence panel; source-depth appendix; residual-vs-shadow-package explainer	Extended reviewed local surface only; not a seeded category, not prevalence evidence, and not a basis for merging distinct scholarly objects or inferring shared intent across publishers.
2026-06-08T20:36:13Z	agent_tool_authorization_boundary_failures	REVIEW-NOMERGE-TRUSTBOUNDARY-001	1	2	2	0	agentic_control_failure;security_risk	Global	en	PraisonAI Platform workspace member could add arbitrary user as owner, enabling agent-workspace identity abuse | Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40	promote_methods_note_only	The PraisonAI and Playwright MCP pair gives LIMEN one reviewer-safe non-merge recurrence around authorization-boundary failure in agent-tool orchestration without requiring a same-event claim.	trust-boundary breadth panel and Figure 4 reviewed-overlay edge	Bounded recurrence only; do not infer broad ecosystem prevalence or collapse identity-abuse and DNS-rebinding paths into one event.
2026-06-08T20:36:13Z	mcp_deployment_trust_boundary_failures	REVIEW-NOMERGE-MCP-001	1	2	2	0	agentic_control_failure;security_risk	Global	en	Playwright MCP origin validation flaw allowed unauthorized local MCP requests via DNS rebinding before 0.0.40 | ToolHive MCP deployment utility stored secrets in run config files before 0.0.33, exposing local secret material	promote_methods_note_only	The Playwright MCP and ToolHive pair makes the MCP/deployment trust-boundary slice two lineages wide, which is enough for reviewer-safe recurrence framing but not for a new top-level label.	MCP/deployment trust-boundary panel and security-publication cell matrix	Subtype only; keep MCP exposure narrow and do not restate it as non-MCP trust-boundary breadth.
2026-06-08T20:36:13Z	singleton_or_residual_queue	REVIEW-SINGLETON-LIMEN-000008	1	1	1	0	deepfake_or_synthetic_identity;unlawful_or_allegedly_unlawful_use;public_sector_misuse_or_gap	United States	en	FCC pursues and settles Lingo Telecom deepfake robocall enforcement over New Hampshire primary spoofing	hold_singleton	Useful watch-state or residual frontier row, but still below duplicate, recurrence, or top-level-taxonomy promotion threshold.	residual queue / singleton watch panel	Needs a second reviewed lineage or stronger direct authority before subtype promotion.
