source_cluster_key	packet_rows	signal_ids	source_lanes	source_host	source_url_or_locator	source_name	queries	representative_title_or_snippet	public_disposition	completion_status	destination	rationale	required_before_reviewed_core	required_before_obscure_ai	boundary
https://doi.org/10.3233/978-1-61499-609-5-157	1	LIMEN-SIGNAL-717ECE58A157F94B	bulk_named_source_autoresolve	doi.org	https://doi.org/10.3233/978-1-61499-609-5-157	doi.org	automated decision	Local row in books-theory-latest.jsonl is a wrapper/proxy and does not yet expose one named reviewable source surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.3233/faia241240	1	LIMEN-SIGNAL-D1BB30FEEE9B72F8	bulk_named_source_autoresolve	doi.org	https://doi.org/10.3233/faia241240	doi.org	algorithm register	Source-pack/index/profile row points toward a source but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.3233/faia251630	1	LIMEN-SIGNAL-DFFB850F6B58D16A	bulk_named_source_autoresolve	doi.org	https://doi.org/10.3233/faia251630	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.32370/iaj.3281	1	LIMEN-SIGNAL-EC01725EEA9D2209	bulk_named_source_autoresolve	doi.org	https://doi.org/10.32370/iaj.3281	doi.org	automated decision	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.32457/20.500.12728/9031202111	1	LIMEN-SIGNAL-983C9BF4F2BFDA98	bulk_named_source_autoresolve	doi.org	https://doi.org/10.32457/20.500.12728/9031202111	doi.org	algorithm register	Index row may help trace sources but does not itself expose a direct reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.32457/20.500.12728/90422020113	1	LIMEN-SIGNAL-7B5FC5D1915B4F34	bulk_named_source_autoresolve	doi.org	https://doi.org/10.32457/20.500.12728/90422020113	doi.org	algorithm register	Scholarly/index metadata points toward sources but does not expose a named reviewable surface.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.32782/pma2663-5240-2025.46.7	1	LIMEN-SIGNAL-DBE76DC99F8A689E	bulk_named_source_autoresolve	doi.org	https://doi.org/10.32782/pma2663-5240-2025.46.7	doi.org	algorithm register	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.33063/dl.vi.425	2	LIMEN-SIGNAL-DFCCC9FA4C1DB6E0; LIMEN-SIGNAL-E99F02BC9C16D730	bulk_named_source_autoresolve	doi.org	https://doi.org/10.33063/dl.vi.425	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.33236/2307-910x-2020-1-29-45-53	1	LIMEN-SIGNAL-04A5F6937B8AD4CA	bulk_named_source_autoresolve	doi.org	https://doi.org/10.33236/2307-910x-2020-1-29-45-53	doi.org	AI evidence	wrapper/index row points toward source material but does not yet expose a named reviewable surface	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
https://doi.org/10.33357/ys.176476	1	LIMEN-SIGNAL-CEF28989D3C98B17	bulk_named_source_autoresolve	doi.org	https://doi.org/10.33357/ys.176476	doi.org	regulatory sandbox	Internal corpus/atlas aggregate cites a source but does not expose a standalone reviewable source surface row.	noncase_scholarly_or_index_surface	closed_noncase_source_surface	source_family_accounting	Scholarly/index source surface, useful for traceability but not a case-level AI edge-case record.	A concrete event/entity claim and direct source would be required before reviewed-core consideration.	Not ObscureAI material without a reviewed case-level claim ceiling.	Disposition accounting only; no reviewed-core promotion or ObscureAI addition occurred.
