artifact_id	artifact_type	title	readiness_state	verified_current_state	primary_source	paper_use	claim_ceiling	main_blocker	next_smallest_publishability_move
LIMEN-VIS-001	figure	Source-family saturation map	ready_now	15 source-family rows; seeded=13; planned=2; grounded_now=13; thin-family blockers remain concentrated in sf08, sf09, sf11, sf13, and appendix-only/manual-overlay sf06	results/source-map/source-family-figure1-register-v0.1.tsv; results/source-map/source-family-evidence-policy-matrix-v0.1.tsv; results/boost/limen-dashboard-paper-forge/source-family-coverage.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008; results/boost/limen-boost-001/blocked-source-priority-register.tsv; results/boost/limen-boost-049/source-family-table1-claim-ceilings.tsv; results/boost/limen-boost-037/route-b-blocker-register.tsv; results/boost/limen-boost-049/source-host-friction-matrix.tsv; results/boost/limen-boost-013/blocked-source-state-typology-v0.1.tsv; results/boost/limen-boost-013/blocked-source-claim-wording-contract.tsv	Methods/data figure on declared observability boundary, source-strategy breadth, and thin-family blocker concentration.	Supports bounded claims about declared evidence coverage, readiness classes, typed thin-family blocker semantics, and host-aware route friction rather than corpus completeness, prevalence, or equal evidentiary depth across seeded families.	Figure 1 reuse is safe only when the seeded/planned denominator is paired with the typed claim-ceiling table for `sf08`, `sf09`, `sf11`, `sf13`, and appendix-only/manual-overlay `sf06`, the evidence-use policy matrix, the ranked Route-B blocker register, the host-friction overlay, and the shard-013 blocker typology plus wording contract; otherwise thin-family depth risks collapsing into generic readiness.	Keep the corrected 13-seeded/2-planned denominator, route all Figure 1 reuse through `results/source-map/source-family-figure1-register-v0.1.tsv`, `results/source-map/source-family-evidence-policy-matrix-v0.1.tsv`, `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-008`, `results/boost/limen-boost-001/blocked-source-priority-register.tsv`, `results/boost/limen-boost-049/source-family-table1-claim-ceilings.tsv`, `results/boost/limen-boost-037/route-b-blocker-register.tsv`, `results/boost/limen-boost-049/source-host-friction-matrix.tsv`, `results/boost/limen-boost-013/blocked-source-state-typology-v0.1.tsv`, and `results/boost/limen-boost-013/blocked-source-claim-wording-contract.tsv`, and pair the figure with Table 1 so claim ceilings, evidence-use bands, blocker order, route friction, exact blocker forms, and next verification moves travel together whenever shared wording is refreshed.
LIMEN-VIS-002	figure	Taxonomy support heatmap	ready_now_with_live_mechanical_split	15 category rows; live_core_dashboard_taxonomy=39_governed_record_refs/29_unique_lineages; live_extended_dashboard_taxonomy=44_governed_record_refs/34_unique_lineages; mechanical_figure_contract_still=35_visible_rows/27_lineages; authoritatively_seeded=11; candidate_only_seeded=1; zero_seed_local_gap=3; route_state_board_consumed=TSRB-058; overlay_ready=2; boxed_comparator_ready=1; appendix_nested_ready=1; frontier_queue_or_singleton_watch=3; seeded_but_authority_thin=1; zero_seed_methods_guardrail=1	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-001; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-002; results/boost/limen-boost-058/taxonomy-subtype-readiness-board.tsv; results/boost/limen-boost-058/taxonomy-authority-fragility-matrix.tsv; results/boost/limen-boost-034/taxonomy-promotion-frontier.tsv; results/boost/limen-boost-060/figure2-refresh-bundle-contract.tsv; results/boost/limen-boost-022/zero-seed-differentiation-matrix.tsv; results/boost/limen-boost-022/zero-seed-currentness-audit.tsv; results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv	Core novelty/gap figure for the first LIMEN paper.	Supports claims about uneven local support, visible gaps, bounded overlay-vs-queue routing, seeded-but-authority-thin caution, and explicit recurrence-versus-maturity fragility ceilings; not empirical incidence, completeness, or absence.	Figure 2 reuse is no longer blocked mainly by missing route-state or zero-seed logic; it is blocked by live-versus-mechanical denominator drift. The live dashboard taxonomy consumer is already at `39 governed record refs / 29 unique lineages` core with `44 / 34` extended beneath it, but the current boost-local heatmap and mirrored dashboard copy still mechanically carry `35 / 27`, so publication-safe reuse depends on keeping the drift audit, subtype-role, fragility, and typed zero-state semantics attached rather than narrating the staged heatmap as denominator-current.	Reuse Figure 2 through `results/dashboard-paper/figure2-live-denominator-drift-audit-v0.1.tsv`, `results/dashboard-paper/taxonomy-shared-surface-currentness-audit-v0.1.tsv`, CCR-001 and CCR-002, the fragility matrix, subtype-readiness board, zero-seed differentiation matrix, zero-seed currentness audit, and shard-010 paper-fragment; refresh the mechanical heatmap source only if the live `39 / 29` core and `44 / 34` extended dashboard contracts can move together with those sidecars instead of outrunning them.
LIMEN-VIS-003	figure	Legal uncertainty matrix	ready_now	15 rows; review_priority High=10; Medium=5; direct_local_EU_AI_Act_primary_text_anchor=1; no_direct_framework_anchor=1	results/boost/limen-dashboard-paper-forge/legal-uncertainty-matrix.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-019; results/crosswalks/legal-review-frontier-v0.1.tsv; results/crosswalks/framework-anchor-coverage-v0.1.tsv	Hostile-reviewer defense figure/table hybrid for conclusion limits.	Supports claims that LIMEN encodes stronger-source needs and legal/normative caution explicitly; not automated legal qualification.	Only one row currently has a direct local EU AI Act primary-text anchor and only one row still has no direct framework/policy anchor, so anchor depth and non-automation cautions must travel with the figure.	Reuse through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-019`, keep Figure 3 framed as a stronger-source-needs matrix rather than a legal conclusion engine, and refresh the row if the review-route split or direct-anchor counts change.
LIMEN-VIS-004	figure	Duplicate-review quality-control graph	ready_now	25 reviewed graph edges; identifier_collision_blocker=14; reviewed_not_duplicate=11; the graph now materializes every graph-eligible reviewed package in the live duplicate-control ledger, including the seeded-core trust-boundary overlay and the latest non-merge recurrence pair	results/dashboard/duplicate-review-graph.tsv; results/clusters/duplicate-clusters-v0.1.tsv; results/boost/limen-boost-047/duplicate-graph-gap-register.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018	Methods-quality figure on join safety and duplicate control.	Supports claims about namespace risk, subtype-preserving non-merges, and overcount prevention; not recurrence or repeated-event prevalence.	The graph export remains reviewer-safe only if shared prose keeps the graph-versus-ledger split explicit and preserves the non-recurrence ceiling for reviewed-not-duplicate overlays even though no graph-eligible package is currently missing.	Reuse through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-018`, keep file-qualified or normalized keys canonical, and preserve Figure 4 as a bounded export below the fuller duplicate ledger while the graph remains complete for the current graph-eligible reviewed layer.
LIMEN-VIS-005	figure	Publication-safe evidence-tier funnel	ready_now_but_keep_caution_overlay	21 publication-safe lineages: T3_authoritative_source=14; T3_authoritative_source_direct_url_resolved=1; T1_single_public_source=6; confidence caps high=15, medium=0, low=6	results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv; results/boost/limen-boost-011/publication-safe-aggregate-summary.md; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-005	Bounded methods/results figure on evidence maturity under normalized lineage-safe joins.	Supports current denominator-aware maturity claims only; not completeness, prevalence, or flat equivalence across all included rows.	One newest high-cap row is still a bounded singleton ahead of duplicate-review catch-up; geography overlays remain separate.	Use this as the headline funnel, keep the denominator/confidence banner explicit, and demote the older 17-record staged funnel to provenance/appendix status.
LIMEN-VIS-006	figure	Jurisdiction/language visibility map	usable_but_bounded	12 staged jurisdiction-language rows including 2 bounded non-English authoritative sidecars outside the six-row multilingual ladder, plus a 21-lineage safe aggregate with translation_dependent=6 and not_translation_dependent=15	results/boost/limen-dashboard-paper-forge/jurisdiction-language-coverage.tsv; results/boost/limen-boost-053/multilingual-figure6-visibility-overlay.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016; results/boost/limen-boost-011/refreshed-evidence-funnel-safe.tsv; results/boost/limen-boost-053/rare-language-package-boundary-board.tsv	Observability and language-bias figure for methods/limitations discussion.	Supports claims about uneven visibility and translation-review pressure, not stable country ranking or geographic prevalence.	Coverage remains sparse and mixed-authority, and the staged map is weaker than the refreshed safe aggregate contract.	Use only through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-016`, keeping Slovenia as the sole default substantive multilingual geography, Finland on a caution-only layer, Lithuania/Estonia queue-only, and Denmark/France visible only as bounded non-English authoritative sidecars outside the multilingual ladder.
LIMEN-VIS-007	table	Authoritative document-depth facet	ready_now	10 rows; document_grade=7; follow_through_grade=1; partial_document_grade=1; summary_grade=1	results/dashboard-paper/authoritative-document-depth-facet-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-009; results/dashboard-paper/authoritative-package-state-panel-v0.1.tsv	Reviewer-facing table showing that authoritative support is not procedurally uniform even inside the current shared package and that the default Table 1A facet remains narrower than the full 11-row authoritative core.	Supports narrow claims about document-depth heterogeneity, posture-aware reuse, and next-upgrade needs; not merits, severity ranking, detector-validity proof, or flat equivalence across all authoritative rows.	One EEOC-linked row remains summary-grade only, one Nate charging-stage row remains normalization-limited despite captured document presence, and Workado remains package-state-only rather than silently added to the default facet.	Keep the table in the main package with caption control `CCR-009`, preserve the seven direct-document rows plus the bounded Slovenian follow-through row as distinct from the Nate and EEOC ceilings, and target one court-facing complaint/decree/order capture plus one cleaner Nate caption source before stronger court-depth rhetoric.
LIMEN-VIS-008	table	Public-sector disclosure asymmetry comparison	ready_now	6 rows across 4 surface classes: public_ai_register_entry=2; regulator_enforcement_package=2; official_project_page=1; regulator_decision_page_governance_anchor=1; Helsinki now has a family-level same-buyer procurement companion with IBM-consistent award metadata and EUR 270,992 value; Amsterdam now also has exact-row current+history CSV exports with 10 downloadable history rows; Denmark adds a rare-language legal-basis governance sidecar without buyer-side traceability	results/dashboard-paper/public-sector-disclosure-asymmetry-v0.1.md; results/dashboard-paper/public-sector-proof-ceilings-v0.1.tsv; results/boost/limen-continuous-experiments/public-sector-disclosure-comparison-v0.1.tsv; results/boost/limen-continuous-experiments/sf09-helsinki-procurement-detail-probe-v0.1.tsv; results/dashboard-paper/amsterdam-register-export-history-audit-v0.1.tsv; results/boost/limen-boost-006/public-sector-caption-control-register.tsv; results/boost/limen-boost-042/public-sector-traceability-ladder.tsv; results/boost/limen-boost-054/public-sector-threshold-impact-board.tsv; results/authoritative-scout/authoritative-claim-support-register-v0.1.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015	Reviewer-facing table/panel on disclosure-surface heterogeneity in public-sector AI.	Supports bounded claims that project pages, regulator packages, and register entries expose different reconstruction fields; not broad procurement-transparency or deployment-effectiveness conclusions.	Buyer-side public-sector traceability is still not exact row-linked procurement proof; Amsterdam's machine-readable export depth improves row-provenance claims but not acquisition-trace claims, exact UK ICO wording should stay routed through the authoritative claim-support register, and package-level denominator rhetoric should stay tied to Figure 7 authority-balance controls.	Reuse only through `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-015`, keep the Helsinki procure... [truncated]
LIMEN-VIS-009	table	AI-washing posture ladder	ready_now	4 rows: 2 settled regulator-order exemplars; 1 authoritative charging-stage hidden-human row; 1 explicit final-authority queue row; one bounded official non-finance FTC sidecar remains linked but outside the default core ladder; one companion remedy/control strip now explains sidecar, overlay, chronology, settlement-sidecar, and queue semantics without denominator change	results/dashboard-paper/ai-washing-posture-table-v0.1.tsv; results/dashboard-paper/ai-washing-authority-diversification-panel-v0.1.tsv:AWADP-009-005..AWADP-009-006; results/boost/limen-boost-009/paper-table-register.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-003; results/boost/limen-boost-045/ai-washing-posture-remedy-strip.tsv; results/boost/limen-boost-045/ai-washing-hostile-reviewer-response-kit.tsv:AWHRRK-045-001..AWHRRK-045-006; results/boost/limen-boost-033/ai-washing-prose-guardrail-matrix.tsv:APGM-033-001..APGM-033-007	Reviewer-facing table showing that LIMEN can separate settled AI-washing findings, charge-stage hidden-human allegations, explicit negative/queue states, denominator-neutral official non-finance diversification, and one compact posture-versus-remedy companion strip inside one subtype package.	Supports bounded claims about procedural posture, sanction visibility, diversification-without-core-rewrite, remedy/control heterogeneity, and evidence ceilings within shard 009; not prevalence, adjudicated hidden-human deception, or cross-sector generalization.	No regulator-final or adjudicated hidden-human-as-AI exemplar is yet present, the Nate row still depends on charging-stage materials with unresolved exact docket metadata, and DoNotPay still requires an explicit synchronized denominator decision before any sidecar-to-core revision; the strip clarifies richer FTC branch semantics but does not change row state.	Use as a main-text or appendix posture table only with `caption-control-register-v0.1.tsv:CCR-003`, the diversification sidecar, the remedy/control strip, and the shard-045 rebuttal bundle, while keeping the queue row visible until a final-authority hidden-human exemplar is captured or a deliberate sidecar-to-core revision is made.
LIMEN-VIS-010	figure	Authority-balance composition panel	usable_but_bounded_legacy_single_state	21 lineages split authority_anchor=7; technical_authority=7; translation_caution_authority=1; provisional_or_limitations_only=6; treat as a bounded legacy single-state export below the live 23-lineage multistate-safe publication projection, the broader 28-lineage seeded-core duplicate/taxonomy package, and the separate 33-lineage extended reviewed local surface until singleton-plus-collision metadata can travel together for LIMEN-000008 and LIMEN-000009	results/boost/limen-boost-011/source-authority-balance.tsv; results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv; results/boost/limen-boost-012/figure7-multistate-safe-export.tsv; results/boost/limen-boost-012/figure7-sidecar-consumption-contract.tsv; results/boost/limen-boost-011/source-authority-balance-summary.md; results/boost/limen-boost-011/singleton-multistate-propagation.tsv; results/boost/limen-boost-035/authority-balance-multistate-repair.tsv; results/boost/limen-boost-035/figure7-broader-family-currentness-audit.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-014; results/boost/limen-boost-059/figure7-shared-consumer-implementation-audit.tsv:F7SCI-059-001..003	Reviewer-facing denominator-control figure showing why current lineages are not narratively interchangeable and how bounded projected reuse must travel.	Supports bounded claims about evidence composition and caption discipline, not a ranking of social importance or severity.	The figure remains live-publication-usable only as a 21-lineage legacy single-state panel by default, but projected 23-lineage reuse is now implemented as an explicit sidecar-aware shared-consumer path through `results/dashboard-paper/figure7-sidecar-consumption-matrix-v0.1.tsv`, `results/boost/limen-boost-012/figure7-multistate-safe-export.tsv`, and `results/boost/limen-boost-012/figure7-sidecar-consumption-contract.tsv`; the broader 28-lineage seeded core and 33-lineage extended local surface still must not be flattened into this figure's denominator or treated as the visible shared panel.	Use only with `results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-014`, the explicit sidecar-consumption matrix, and the broader-family currentness audit; keep the default visible panel at 21 unless the sidecar is invoked intentionally and preserve the difference between authority-anchor, technical-authority, translation-caution, and provisional rows.
