support_id	claim_type	claim_text	source_id	verbatim_support_or_exact_paraphrase	source_artifact_type	support_confidence	reviewer_caution
CS-009-001	reviewer_safe_core_claim	Authoritative AI-washing exemplars exist in the local LIMEN corpus, but current support is narrow to regulated-finance SEC enforcement findings.	SRC-SEC-2024-36	The Securities and Exchange Commission today announced settled charges against two investment advisers, Delphia (USA) Inc. and Global Predictions Inc., for making false and misleading statements about their purported use of artificial intelligence (AI). The firms agreed to settle the SEC’s charges and pay $400,000 in total civil penalties.	press_release	high	Supports existence of two SEC-backed exemplars; does not support cross-sector prevalence.
CS-009-002	capability_misstatement	Delphia represented that it used AI and machine learning with client data in its investment process when no such data was being used.	SRC-SEC-IA-6573	These proceedings concern false and misleading statements made by Delphia, a former registered investment adviser, in its regulatory filings, advertisements, and social media relating to its purported use of artificial intelligence and machine learning. From at least August 2019 to August 2023, Delphia represented that it used artificial intelligence and machine learning to analyze its retail clients’ spending and social media data to inform its investment advice when, in fact, no such data was being used in its investment process. After an examination by the Commission’s Division of Examinations, Delphia agreed to correct the false and misleading statements in 2021 and to take steps to ensure that no such statements were made in the future. While certain corrective efforts were made, additional false and misleading statements concerning the use of its retail clients’ data in the investment process continued to be made through August 2023. In addition, Delphia failed to adopt and implement written policies and procedures reasonably designed to prevent violations of the Advisers Act and the rules adopted thereunder. As a result of this conduct, Delphia willfully violated Sections 206(2) and 206(4) of the Advisers Act and Rules 206(4)-1 and 206(4)-7 thereunder.	administrative_order	high	Use as SEC settlement findings, not independent judicial fact-finding.
CS-009-003	sanction_amount	Delphia was ordered to pay a civil money penalty of $225,000.	SRC-SEC-IA-6573	Delphia shall, within 10 days of entry of this Order, pay a civil money penalty of $225,000	administrative_order	high	Supports exact sanction amount for case table.
CS-009-004	branding_and_service_misstatement	Global Predictions falsely claimed expert AI-driven forecasts and first-regulated-AI-financial-advisor status.	SRC-SEC-IA-6574	From the date of its registration, which occurred after the compliance date for the Amended Marketing Rule, Global Predictions disseminated material to more than one person on its public website and social media sites, as well as in emails to current and prospective clients, that constituted advertisements, and that contained false and misleading statements. For example, Global Predictions claimed on its public website that its technology incorporated “[e]xpert AI-driven forecasts,” when in fact it did not. Global Predictions also inaccurately claimed to be the “first regulated AI financial advisor” on its public website, in emails to current and prospective clients, and on various social media sites and, in turn, could not produce documents to substantiate this claim.	administrative_order	high	Supports AI-branding inflation claim; avoid broader claims about all AI financial advice.
CS-009-005	sanction_amount	The SEC press release supports a combined total of $400,000 in civil penalties across both firms.	SRC-SEC-2024-36	The Securities and Exchange Commission today announced settled charges against two investment advisers, Delphia (USA) Inc. and Global Predictions Inc., for making false and misleading statements about their purported use of artificial intelligence (AI). The firms agreed to settle the SEC’s charges and pay $400,000 in total civil penalties.	press_release	high	Combined figure only; use case-specific order for exact per-firm sanctions where needed.
CS-009-006	sanction_amount	Global Predictions was ordered to pay a civil money penalty of $175,000.	SRC-SEC-IA-6574	Respondent shall pay a civil money penalty in the amount of $175,000 to the Commission for transfer to the general fund of the United States Treasury.	administrative_order	high	Supports exact sanction amount for case table.
CS-009-007	negative_evidence_boundary	No adjudicated or regulator-final hidden-human-as-AI exemplar has yet been seeded in shard 009.	QUEUE-HUMAN-AS-AI-001	Current hidden-human support is limited to a charging-stage DOJ record and should not be promoted as an adjudicated or regulator-final finding.	verification_queue	high	Preserves non-claim boundary and keeps charge-stage support distinct from settled or regulator-final evidence.
CS-009-008	charging_stage_core_claim	A public authoritative charging-stage source now supports a hidden-human-behind-AI allegation outside regulated finance.	SRC-DOJ-SDNY-2025-04-09	Matthew Podolsky, the Acting United States Attorney for the Southern District of New York, and Christopher G. Raia, the Assistant Director in Charge of the New York Field Office of the Federal Bureau of Investigation (“FBI”), announced today an Indictment charging ALBERT SANIGER, the former Chief Executive Officer of Nate, Inc. (“nate”), with engaging in a scheme to defraud investors and prospective investors of nate by making false and misleading statements about nate’s use of proprietary AI technology and its operational capabilities.	press_release	high	Use as existence proof of an authoritative charging-stage record only; not as proof of guilt or adjudicated fact.
CS-009-009	human_hidden_behind_ai_allegation	The DOJ press release states that nate relied heavily on human workers, including hundreds of contractors in the Philippines, to manually process transactions that users believed were being done by automation.	SRC-DOJ-SDNY-2025-04-09	In truth, nate relied heavily on teams of human workers—primarily located overseas—to manually process transactions in secret, mimicking what users believed was being done by automation. SANIGER used hundreds of contractors, or “purchasing assistants,” in a call center located in the Philippines to manually complete purchases occurring over the nate app. In or about the fall of 2021, with the busy holiday shopping approaching, and despite his numerous prior representations that nate did not use bots (or “dumb bots”, as he referred to them), SANIGER directed nate’s engineering team to develop “bots” to automate some transactions on the nate app. After creating the bots, nate used bots in addition to the manual teams to complete purchases that were purportedly being completed by AI technology.	press_release	high	Strong for the allegation wording; still a charging-stage statement quoting allegations contained in the indictment.
CS-009-010	procedural_caution	The DOJ source itself states that the criminal charges are accusations and that the defendant is presumed innocent unless and until proven guilty.	SRC-DOJ-SDNY-2025-04-09	The charges contained in the Indictment are merely accusations and the defendant is presumed innocent unless and until proven guilty.	press_release	high	Must travel with any manuscript use of the Nate row to prevent overstatement.
