as_of_utc	lane_id	category_code	staged_seed_case_count_31_23	live_lineage_count_34_26	delta_live_minus_staged	divergence_state	bounded_cause_now	paper_safe_interpretation	key_source_paths
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	unlawful_or_allegedly_unlawful_use	5	5	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	security_risk	9	10	1	live_exceeds_staged	Playwright MCP (`LIMEN-000012`) adds one security_risk lineage after duplicate-ledger governance; staged Figure 2 still reflects the pre-Playwright bundle.	Do not reuse the staged Figure 2 count as a live headline without a synchronized refresh bundle.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	agentic_control_failure	9	10	1	live_exceeds_staged	Playwright MCP (`LIMEN-000012`) adds one agentic_control_failure lineage after duplicate-ledger governance; staged Figure 2 still reflects the pre-Playwright bundle.	Do not reuse the staged Figure 2 count as a live headline without a synchronized refresh bundle.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	institutional_absurdity	3	3	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	public_sector_misuse_or_gap	7	7	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	deepfake_or_synthetic_identity	3	3	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	legal_procedural_contamination	2	3	1	live_exceeds_staged	DoNotPay (`LIMEN-000010`) remains the bounded live-only uplift versus the staged Figure 2 bundle.	Do not reuse the staged Figure 2 count as a live headline without a synchronized refresh bundle.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	health_medical_or_mental_health	0	0	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	education_workplace_or_hr	4	5	1	live_exceeds_staged	Workado (`LIMEN-000011`) remains the bounded live-only uplift versus the staged Figure 2 bundle.	Do not reuse the staged Figure 2 count as a live headline without a synchronized refresh bundle.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	finance_insurance_or_market	2	2	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
2026-06-07T16:34:39Z	limen-dashboard-paper-forge	surveillance_biometrics_or_policing	3	3	0	count_stable	No category-count divergence beyond denominator-layer drift; staged row count matches the current live lineage count.	Category count is currently stable across staged Figure 2 and the live duplicate/taxonomy layer; remaining caution is denominator-layer mismatch, not row-level count drift.	results/boost/limen-dashboard-paper-forge/taxonomy-heatmap.tsv; results/taxonomy/taxonomy-delta-v0.1.md; results/clusters/status.md
