signal_id	source_review_verdict	source_review_role	reason	claim_ceiling	next_action	source_path
LIMEN-SIGNAL-95271C81A697C8E3	reject_noise	derived manuscript / analysis artifact	Local row is a manuscript, scholarly hit, script, backup, or derived analysis artifact rather than a direct source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/shadow-audit-v0.1/paper/draft.md
LIMEN-SIGNAL-952CE6B3705980E0	merge_existing_surface	already-modeled registry / atlas surface	Local metadata already models this named register or record surface; keep as a dedupe pointer, not a fresh promotion.	dedupe to existing local surface only	merge into existing surface	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/public-release-codebook-v0.1.csv
LIMEN-SIGNAL-9536A3CE7AEBB223	merge_existing_surface	already-modeled registry / atlas surface	Local metadata already models this named register or record surface; keep as a dedupe pointer, not a fresh promotion.	dedupe to existing local surface only	merge into existing surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-v0.1.csv
LIMEN-SIGNAL-953A732B83AFD811	needs_named_source_extraction	wrapper / country-profile artifact	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-20260605T192332Z/claim-support-digest.json
LIMEN-SIGNAL-953DB2D18266C80F	needs_named_source_extraction	wrapper / country-profile artifact	Local row points toward possible source families or a country/profile wrapper but does not expose a single named reviewable source surface yet.	names adjacent artifact only	extract named source surface first	/srv/tyche/pallas/pallas-ai-agent-observatory/program/01-pallas-atlas/app/data/pallas_atlas_countries.json
LIMEN-SIGNAL-95428DC2003BB98A	source_reviewed_candidate	named official / regulator source surface	Local metadata names a concrete official source surface with enough detail for bounded source-surface review.	source-surface existence only	queue bounded source-surface review	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_SOURCE_REFRESH.csv
LIMEN-SIGNAL-954487B5B2B1CDD6	merge_existing_surface	already-modeled registry / atlas surface	Local metadata already models this named register or record surface; keep as a dedupe pointer, not a fresh promotion.	dedupe to existing local surface only	merge into existing surface	/srv/tyche/gaia/tyche-research-vault/results/boost/gaia-multilingual-coverage/translation-review-queue.json
LIMEN-SIGNAL-954DA2FD3EB565BE	merge_existing_surface	already-modeled registry / atlas surface	Local metadata already models this named register or record surface; keep as a dedupe pointer, not a fresh promotion.	dedupe to existing local surface only	merge into existing surface	/srv/tyche/gaia/tyche-research-vault/submissions/agent-atlas-public-release-2026-06-01/03-zenodo-agent-atlas-artifact-v0.1/artifact/data/eu-agent-atlas-v0.1/exports/eu-agent-atlas-facts-v0.1.csv
LIMEN-SIGNAL-955510CFC5845C15	reject_noise	derived manuscript / analysis artifact	Local row is a manuscript, scholarly hit, script, backup, or derived analysis artifact rather than a direct source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-rescinded-model-boundary-update.md
LIMEN-SIGNAL-9555C143C836D536	negative_evidence_candidate	negative / weak source note	Local row records a bounded search-negative, weak-source, timeout, or absence-style note rather than a promotable source surface.	bounded negative evidence only	retain as negative-evidence row	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md
LIMEN-SIGNAL-95589207B6E1E4B8	reject_noise	derived manuscript / analysis artifact	Local row is a manuscript, scholarly hit, script, backup, or derived analysis artifact rather than a direct source surface.	not a direct-source surface	drop from direct-source queue	/srv/tyche/projects/limen-ai-edge-case-atlas/sources/sources.md
