source_cluster_key	case_extraction_verdict	source_url_or_locator	source_name	source_host	proposed_case_title	proposed_evidence_tier	proposed_limen_categories	source_record_date	jurisdiction	bounded_claim_candidate	claim_ceiling	forbidden_overread	rationale	required_before_reviewed_core	required_before_obscure_ai	next_action
https://gov.br/iti/pt-br/assuntos/icp-brasil	closed_noncase_source_surface	https://www.gov.br/iti/pt-br/assuntos/icp-brasil	gov.br	gov.br		official source surface; noncase	AI evidence source surface; regulatory sandbox source surface		Brazil	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official ICP-Brasil institutional/topic page; source surface is certification infrastructure context, not a concrete AI edge-case event or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/ai-for-the-good-of-all-2025.pdf	closed_noncase_source_surface	https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/ai-for-the-good-of-all-2025.pdf	gov.br	gov.br		official source surface; noncase	regulatory sandbox source surface	2025	Brazil	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official 2025 AI policy/strategy PDF; strategy context only, with no isolated event, incident, vulnerability, or finding in this cluster.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/publications/artificial-intelligence-resources	closed_noncase_source_surface	https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/publications/artificial-intelligence-resources/	Artificial Intelligence Guidelines and Resources for the Irish Public Service	gov.ie		official source surface; noncase	AI procurement source surface		Ireland	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official Irish public-service AI resources hub; index/guidance surface, not a bounded edge-case event or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/publications/guidelines-for-the-responsible-use-of-ai-in-the-public-service	closed_noncase_source_surface	https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/publications/guidelines-for-the-responsible-use-of-ai-in-the-public-service/	gov.ie	gov.ie		official source surface; noncase	AI procurement source surface		Ireland	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official responsible-use guidance page; normative policy surface, not an event/finding suitable for case hardening.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	closed_noncase_source_surface	https://www.gov.il/BlobFolder/policy/ai_2023/en/Israels%20AI%20Policy%202023.pdf	gov.il	gov.il		official source surface; noncase	AI evidence source surface		Israel	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official Israel AI policy PDF; policy/governance source surface only, no concrete edge-case record in this cluster.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.ls/download/draft-artificial-intelligence-policy_1-0	closed_noncase_source_surface	https://www.gov.ls/download/draft-artificial-intelligence-policy_1-0/	AI Policy and Implementation Plan - regulatory sandbox proposal	gov.ls		official source surface; noncase	regulatory sandbox source surface		Lesotho	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official Lesotho draft AI policy implementation-plan download page; sandbox/policy proposal, not a concrete edge-case event/finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.sr/wp-content/uploads/2023/09/Suriname-National-Digital-Strategy-2023-2030.pdf	closed_noncase_source_surface	https://gov.sr/wp-content/uploads/2023/09/Suriname-National-Digital-Strategy-2023-2030.pdf | /srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv:775	Government of Suriname National Digital Strategy 2023-2030	gov.sr		official source surface; noncase	policy/guidance source surface	2023	Suriname	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official Suriname digital strategy PDF and local source-pack locator explicitly mark it as indirect only; no public algorithm register or case-level event.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.uk/algorithmic-transparency-records/dfe-attendance-reports-using-similar-schools	closed_noncase_source_surface	https://www.gov.uk/algorithmic-transparency-records/dfe-attendance-reports-using-similar-schools	gov.uk	gov.uk		official source surface; noncase	automated decision source surface		United Kingdom	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	UK algorithmic-transparency record for a school-attendance comparison tool; official system disclosure, but no explicit adverse event, vulnerability, or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-chat	closed_noncase_source_surface	https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-chat	gov.uk	gov.uk		official source surface; noncase	policy/guidance source surface		United Kingdom	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	UK algorithmic-transparency record for GOV.UK Chat; official system disclosure, but no explicit edge-case event, vulnerability, or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.uk/algorithmic-transparency-records/dwp-cmg-return-letters-processing	closed_noncase_source_surface	https://www.gov.uk/algorithmic-transparency-records/dwp-cmg-return-letters-processing	gov.uk	gov.uk		official source surface; noncase	automated decision source surface		United Kingdom	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	UK algorithmic-transparency record for DWP return-letter processing; official system disclosure, but no explicit edge-case event, vulnerability, or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gov.za/news/media-statements/communications-and-digital-technologies-launch-national-ai-stakeholder-forum	closed_noncase_source_surface	https://www.gov.za/news/media-statements/communications-and-digital-technologies-launch-national-ai-stakeholder-forum	gov.za	gov.za		official source surface; noncase	AI evidence source surface		South Africa	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official South African government media statement about launching an AI stakeholder forum; institutional policy process, not a concrete edge-case finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://guatemala.un.org/es/311127-evaluaci%C3%B3n-de-ia-en-guatemala	closed_noncase_source_surface	https://guatemala.un.org/es/311127-evaluaci%C3%B3n-de-ia-en-guatemala	Evaluación de IA en Guatemala	guatemala.un.org		official source surface; noncase	regulatory sandbox source surface	2026-03-04	Guatemala	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	UN Guatemala story about AI assessment / AI Sprint support; programme-assessment surface, not a concrete edge-case incident or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/publicaciones/guia-para-evaluacion-del-estudio-impacto-algoritmico-eia/guia-para	closed_noncase_source_surface	https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/comunicacion/publicaciones/guia-para-evaluacion-del-estudio-impacto-algoritmico-eia/guia-para	Guia para la evaluacion del Estudio de Impacto Algoritmico (EIA)	gub.uy		official source surface; noncase	AI evidence source surface; automated decision source surface		Uruguay	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	Official Agesic algorithmic impact assessment guide; methodology/guidance surface, not a particular system event or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
https://ico.org.uk/for-organisations/advice-and-services/regulatory-sandbox	closed_noncase_source_surface	https://ico.org.uk/for-organisations/advice-and-services/regulatory-sandbox/	UK ICO Regulatory Sandbox	ico.org.uk		official source surface; noncase	policy/guidance source surface		United Kingdom	The cited public source is a policy, guidance, strategy, programme, index, or transparency-record surface; this batch item does not itself contain a concrete AI edge-case event or finding.	May be used only as contextual source-surface accounting unless a later pass identifies a precise case-level passage and bounded claim.	Do not infer incident truth, legal finding, safety finding, compliance finding, deployment proof, prevalence, guilt, or ranking from this source surface.	ICO regulatory sandbox service page; programme description, not a participant-specific case, incident, or finding.	Identify a concrete event/action/vulnerability/finding/official record passage, affected system/entity, source date, and bounded claim ceiling.	Only consider after reviewed-core hardening establishes a case-level claim with public evidence; no ObscureAI addition from this row alone.	Do not promote; retain as closed source-surface accounting unless a later original-source pass isolates a case-level record.
