as_of_utc	lane_id	cluster_id	canonical_case_id	representative_title_or_scope	cluster_basis	jurisdiction_scope	language_scope	evidence_tier_ceiling	publication_layer_now	seeded_headline_eligible_now	route_reason	lineage_counting_rule	namespace_collision_flag	overlap_control_states	graph_review_surface_status	paper_use_profile	visualization_band_profile	claim_ceiling_profile	review_notes	provenance_inputs
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-AUTH-LIMEN-000012	data/cases/authoritative-candidates.jsonl:LIMEN-000012	Datatilsynet / AI-supported disability-allowance screening opinion	standalone_lineage_pending_future_overlap_review	Denmark	da	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	yes	identifier_collision_blocker,no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The row widens rare-language public-sector governance coverage and adds a second education/public-sector pairing, but it is still a bounded legal-basis opinion package rather than a harm finding or duplicate event. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000012` against the unrelated Playwright MCP security row, so singleton handling and join-safety both apply.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/danish-public-sector-governance-anchor-v0.1.tsv
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000008	data/cases/authoritative-candidates.jsonl:LIMEN-000008	FCC / Lingo Telecom deepfake robocall enforcement matter	standalone_lineage_pending_future_overlap_review	United States	en	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	yes	identifier_collision_blocker,no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. This row materially changes taxonomy counts and still lacks a reviewed same-event duplicate or actor-family recurrence package, but it now also sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000008` against the unrelated LangChain state-revival record; singleton handling and join-safety therefore both apply.	data/cases/authoritative-candidates.jsonl
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000009	data/cases/security-agentic-candidates.jsonl:LIMEN-000009	PraisonAI Platform ownership-assignment abuse	standalone_lineage_pending_future_overlap_review	Global	en	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	yes	identifier_collision_blocker,no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The mechanism is reviewer-legible but still singleton-strength locally, so this row should remain a bounded watch state rather than a promoted subtype or duplicate cluster. At the same time it now sits inside bare-ID collision blocker `REVIEW-IDCOLLISION-LIMEN-000009` against the unrelated ORION public-sector row, so singleton handling and join-safety both apply.	data/cases/security-agentic-candidates.jsonl
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000010	data/cases/authoritative-candidates.jsonl:LIMEN-000010	FTC / DoNotPay AI-lawyer claims package	standalone_lineage_pending_future_overlap_review	United States	en	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-finance authoritative AI-claim coverage, but there is still no reviewed same-event duplicate or event-merge candidate; preserve FTC complaint/final-order posture and do not infer unauthorized-practice adjudication.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000011	data/cases/authoritative-candidates.jsonl:LIMEN-000011	FTC / Workado AI-detector accuracy claims package	standalone_lineage_pending_future_overlap_review	United States	en	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The row strengthens non-finance AI-claim and detector-governance coverage, but there is still no same-event duplicate or reviewer-safe recurrence package; preserve FTC complaint/final-order posture and do not overread the order as a general scientific verdict on detectors.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/ftc-nonfinance-promotion-matrix-v0.1.tsv
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000012	data/cases/security-agentic-candidates.jsonl:LIMEN-000012	Playwright MCP Server	standalone_lineage_pending_future_overlap_review	Global	en	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The row usefully seeds MCP/plugin-style trust-boundary coverage, but there is still no reviewed same-event duplicate, derivative queue copy, or bounded recurrence package; do not upgrade singleton-strength evidence into a broader prevalence claim.	data/cases/security-agentic-candidates.jsonl; results/boost/limen-continuous-experiments/playwright-mcp-promotion-sync-report-v0.1.md
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-000015	data/cases/authoritative-candidates.jsonl:LIMEN-000015	CNIL / unnamed sports club proposed facial-recognition warning matter	standalone_lineage_pending_future_overlap_review	France	fr	T3_authoritative_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	singleton_ledger_only				Keep as a standalone lineage counted by normalized_record_key. The row materially widens non-U.S./non-UK biometric-governance authority breadth, but it remains a bounded warning-page posture rather than proof of deployment, sanction, or same-event duplication. Preserve the French original and do not promote singleton-strength evidence into a broader recurrence or prevalence claim.	data/cases/authoritative-candidates.jsonl; results/authoritative-scout/french-cnil-warning-candidate-board-v0.1.tsv; results/authoritative-scout/french-cnil-companion-link-audit-v0.1.tsv; results/authoritative-scout/french-cnil-official-search-discovery-audit-v0.1.tsv
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LMWCS-20260606-002	data/cases/multilingual-candidates.jsonl:LMWCS-20260606-002	Finnish intimate-image abuse lead	standalone_lineage_pending_future_overlap_review	Finland	fi	T1_single_public_source	core_seeded_singleton	yes	core seeded singleton counted by normalized record key with bounded watch-state language	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row	singleton_ledger_only	limitations/frontier note for one-lineage watch states	singleton_watch_panel|future_overlap_queue	Use only as a bounded singleton exemplar with explicit no-overlap-yet language; do not infer recurrence or prevalence from one row.	Keep as a standalone lineage counted by normalized_record_key. The row remains useful negative evidence and a residual/deepfake watch item, but direct-source and police corroboration are still incomplete.	data/cases/multilingual-candidates.jsonl
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SINGLETON-LIMEN-008-LEAD-007	results/boost/limen-boost-008/candidate-cases.jsonl:LIMEN-008-LEAD-007	Fake-article citation-network lead across preprint and indexing surfaces	standalone_residual_frontier_lineage_pending_future_overlap_review	unknown_or_multijurisdictional	en	T1_single_public_source	extended_only_residual_frontier_singleton	no	extended-only residual frontier singleton preserved for queue/methods visibility	count_as_singleton_lineage_pending_future_overlap_review	no	no_cluster_review_row,residual_frontier_extension	singleton_ledger_only				Keep as a singleton residual frontier row. It is useful for methods, dashboard queueing, and citation-network figure design because it preserves a network-level contamination pattern that does not yet have direct platform moderation, indexing-service action, publisher statement, or institutional report support. Do not promote it into a same-event duplicate, fake-paper prevalence claim, or new top-level label from one specialist outlet report alone.	results/boost/limen-boost-008/candidate-cases.jsonl; results/boost/limen-boost-008/status.md
2026-06-08T06:52:54Z	limen-boost-023	REVIEW-SIDECAR-LIMEN-000013	data/cases/authoritative-candidates.jsonl:LIMEN-000013	FTC / Rytr LLC AI-generated reviews chronology	standalone_authoritative_sidecar_explicitly_seed_silent	United States	en	T3_authoritative_source	extended_only_seed_silent_sidecar	no	extended-only count-silent FTC sidecar preserved for methods/reviewer/thesis reuse	extended_reviewed_local_surface_only_never_seeded_headline_counts	no	no_cluster_review_row,extended_sidecar_admission,seed_silent_sidecar	sidecar_ledger_only				Admit only on the extended reviewed local surface as a count-silent complex-posture sidecar. Keep outside the seeded 34/37/27 headline package and use for methods/reviewer/thesis discussion of regulatory reversibility rather than as a stable current-order exemplar or prevalence support.	data/cases/authoritative-candidates.jsonl; sources/authoritative-source-ledger.tsv; results/authoritative-scout/ftc-late-disposition-resolution-board-v0.1.tsv; results/authoritative-scout/ftc-held-case-document-read-board-v0.1.tsv
