as_of_utc	audit_id	audited_surface	package_role	live_state_checked	evidence_basis	audit_result	paper_thesis_use	dashboard_hook	residual_risk	if_future_change_then
2026-06-07T15:18:34Z	SSSA-019-001	claims.md:LIMEN-C-004A and LIMEN-C-004B	shared claim ceiling pair	Claims still preserve the governance-context versus sole-default-results split and keep shard 007 framed as evidence architecture rather than a balanced deepfake-event inventory.	claims.md:LIMEN-C-004A; claims.md:LIMEN-C-004B; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv; results/boost/limen-boost-043/claim-support-bridge.tsv:CSB-043-001..002	aligned_no_patch_needed	Claim-support map, thesis claim appendix, and reviewer memo anchor.	table1f_claim_ceiling_card	If either claim is later broadened without preserving the one-default-row contract, reviewer-visible overread returns immediately.	Patch claims, the publication-cell ladder, and the result-block citation bundle together before reusing shard-007 prose.
2026-06-07T15:18:34Z	SSSA-019-002	results/boost/limen-boost-007/provenance-confusion-manuscript-bundle.tsv	shared manuscript entry point	The shared manuscript bundle still couples the claim pair, the six publication cells, the FCC lifecycle evidence spine, the visual-encoding contract, the geography/language sidecar, and the promotion-gate bundle without flattening them into one denominator.	results/boost/limen-boost-007/provenance-confusion-manuscript-bundle.tsv:PCMB-007-001..007; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	aligned_no_patch_needed	Main manuscript/thesis reuse bundle for shard 007.	manuscript_bundle_for_table1f	A future Finland/New Hampshire upgrade could make the bundle stale if cell roles change but the bundle is not refreshed.	Re-audit the bundle immediately after any publication-role or gate-state change.
2026-06-07T15:18:34Z	SSSA-019-003	draft/preprint.md:Shard 007 framing fragment	manuscript-facing prose surface	The preprint fragment still narrates shard 007 through the live one-exemplar architecture: two left anchors, one governance-context bundle, one FCC lifecycle row, limitations-only Finland/Lithuania, blocked-origin New Hampshire, and metadata-only Pennsylvania.	draft/preprint.md lines 21-29; results/boost/limen-boost-019/result-block-bridge.tsv:RBB-019-001..006; results/boost/limen-boost-019/provenance-confusion-result-block-citation-bundle.tsv:PC-RBCB-019-001..006	aligned_no_patch_needed	Preprint results block, thesis bridge paragraph, and reviewer-response prose control.	preprint_result_block_qc	Future ad hoc wording edits could silently drop New Hampshire/Pennsylvania hidden-row logic while keeping only the FCC hero sentence.	When touching preprint prose, route through the citation bundle first rather than paraphrasing from memory.
2026-06-07T15:18:34Z	SSSA-019-004	papers/article-architecture-v0.1.md:Table 1F block	paper architecture spine	The article-architecture Table 1F slot still uses CCR-013 with the manuscript bundle and visual-encoding contract, preserves the 2 / 1 / 1 / 2 split, and keeps New Hampshire blocked-origin plus Pennsylvania metadata-only logic outside the default body.	papers/article-architecture-v0.1.md lines 335-336; results/boost/limen-boost-007/table1f-control-travel-kit.tsv:T1F-TK-007-001..008; results/boost/limen-boost-055/table1f-manuscript-integration-bridge.tsv	aligned_no_patch_needed	Figure/table order control, thesis exhibit routing, and hostile-reviewer checklist support.	table1f_architecture_slot	If the architecture row updates without the underlying travel kit, caption drift could reintroduce denominator ambiguity.	Patch the article-architecture line together with the travel kit and markdown-surface sync layer.
2026-06-07T15:18:34Z	SSSA-019-005	dashboard/limen-dashboard-spec-v0.1.md:Table 1F spec line	dashboard placement prose	The dashboard spec still treats Table 1F as a bounded publication-cell ladder, keeps 2 left anchors + 1 governance-context + 1 FCC default-results + 2 limitations-only multilingual cells visible, and routes New Hampshire/Pennsylvania to methods or appendix logic instead of default table rows.	dashboard/limen-dashboard-spec-v0.1.md lines 411-416; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013; results/dashboard-paper/shared-export-promotion-register-v0.1.tsv:exp-014	aligned_no_patch_needed	Dashboard legend/tooltip routing, hidden-row toggle logic, and thesis figure note.	dashboard_table1f_contract	Risk is false implication that the intended shared dashboard export already exists or that hidden rows are visible defaults.	Keep exp-014 attached whenever dashboard-path prose is reused.
2026-06-07T15:18:34Z	SSSA-019-006	results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-014	shared figure/table registry row	The canonical Table 1F register row still records the live six-cell split `left_anchor=2; methods_context=1; main_results=1; limitations_only=2` and points to the current publication-cell ladder plus caption controls.	results/dashboard-paper/figure-table-priority-register-v0.1.tsv:LIMEN-VIS-014; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv; results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	aligned_no_patch_needed	Canonical machine-readable Table 1F registry row for figure/table planning and thesis inventory.	limen_vis_014_registry_control	Any future denominator or visibility shift would become chart-level drift if LIMEN-VIS-014 is not updated in lockstep with the source TSV.	Patch LIMEN-VIS-014 together with the publication-cell ladder and caption row.
2026-06-07T15:18:34Z	SSSA-019-007	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013	shared overread-control row	CCR-013 still preserves the one-default-row FCC contract, the hidden Finland/Lithuania limitations state, and the explicit blocked-origin/methods caution for New Hampshire.	results/dashboard-paper/caption-control-register-v0.1.tsv:CCR-013; results/boost/limen-boost-055/provenance-visual-encoding-contract.tsv; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	aligned_no_patch_needed	Caption-safe Table 1F legend reuse, tooltip governance, and reviewer-safe methods note.	table1f_caption_guardrail	If future edits soften the hidden-row gate wording without a real source upgrade, Table 1F would overstate package maturity.	Patch the caption row and visual-encoding contract together whenever shard-007 rhetoric changes.
2026-06-07T15:18:34Z	SSSA-019-008	results/boost/limen-boost-007/table1f-control-travel-kit.tsv	travel discipline bundle	The travel kit still ties claims, the publication-cell ladder, CCR-013, exp-014, the result-block bridge, and the article/dashboard surfaces together without losing the one-default-row architecture.	results/boost/limen-boost-007/table1f-control-travel-kit.tsv:T1F-TK-007-001..008; results/boost/limen-boost-019/result-block-bridge.tsv; results/boost/limen-boost-019/provenance-confusion-publication-cells.tsv	aligned_no_patch_needed	Travel-discipline artifact for article, dashboard-planning, thesis, and rebuttal reuse.	table1f_travel_bundle	Travel-kit drift would reappear if one shared surface updates while the bundle's must-travel-with logic stays stale.	Refresh the travel kit immediately after any shard-007 role, export, or caption change.
2026-06-07T15:18:34Z	SSSA-019-009	results/boost/limen-boost-019/provenance-confusion-result-block-citation-bundle.tsv	result-block prose spine	The clause-to-citation register still matches the live shard-007 package hierarchy: topic sentence, anchor clause, governance-context clause, FCC main-results clause, limitations clause, and caption-preservation clause.	results/boost/limen-boost-019/provenance-confusion-result-block-citation-bundle.tsv:PC-RBCB-019-001..006; results/boost/limen-boost-019/result-block-bridge.tsv:RBB-019-001..006; draft/preprint.md lines 21-29	aligned_no_patch_needed	Deterministic paragraph-level evidence routing for preprint, article architecture, reviewer response, and thesis drafting.	result_block_citation_sidebar	If a future prose edit reuses only the FCC clause and drops the paired limitations/caption clauses, the package becomes reviewer-fragile again.	Reuse the whole citation bundle rather than isolated sentences.
2026-06-07T15:18:34Z	SSSA-019-010	results/boost/limen-boost-019/status.md and paper-fragment.md	lane-local reporting surfaces	Lane-local reporting still states that the artifact stack hardens shard-007 reuse without promoting Finland, Lithuania, Pennsylvania, or New Hampshire and without creating a second substantive row.	results/boost/limen-boost-019/status.md; results/boost/limen-boost-019/paper-fragment.md; results/boost/limen-boost-019/provenance-confusion-result-block-citation-bundle.tsv	aligned_no_patch_needed	Lane-local audit trail, thesis methods appendix note, and cycle-level provenance log.	lane_status_traceability	A later lane cycle could create self-contradiction if status or paper-fragment claims a promotion that the shared package still rejects.	Update lane-local reporting immediately after any threshold-changing shard-007 source upgrade.
